timeline,ＡＧＣ株式会社
2006-12,$14.95B
2007-01,$16.63B
2007-02,$16.54B
2007-03,$17.35B
2007-04,$16.94B
2007-05,$16.95B
2007-06,$17.4B
2007-07,$16.73B
2007-08,$15.17B
2007-09,$16.15B
2007-10,$16.44B
2007-11,$16.1B
2007-12,$15.68B
2008-01,$13.85B
2008-02,$12.59B
2008-03,$11.5B
2008-04,$12.96B
2008-05,$14.52B
2008-06,$13.43B
2008-07,$12.54B
2008-08,$12.21B
2008-09,$9.58B
2008-10,$6.34B
2008-11,$5.61B
2008-12,$5.19B
2009-01,$4.93B
2009-02,$4.42B
2009-03,$5.34B
2009-04,$6.03B
2009-05,$7.19B
2009-06,$7.98B
2009-07,$8.46B
2009-08,$8.34B
2009-09,$7.46B
2009-10,$8.03B
2009-11,$7.77B
2009-12,$9.04B
2010-01,$9.33B
2010-02,$9.13B
2010-03,$10.84B
2010-04,$11.55B
2010-05,$9.92B
2010-06,$8.68B
2010-07,$9.06B
2010-08,$8.44B
2010-09,$8.76B
2010-10,$7.96B
2010-11,$9.6B
2010-12,$9.76B
2011-01,$10.53B
2011-02,$11.71B
2011-03,$10.76B
2011-04,$10.56B
2011-05,$9.85B
2011-06,$9.63B
2011-07,$9.19B
2011-08,$7.7B
2011-09,$7.79B
2011-10,$7.15B
2011-11,$6.58B
2012-01,$6.33B
2012-02,$7.44B
2012-03,$7.15B
2012-04,$6.45B
2012-05,$5.38B
2012-06,$5.43B
2012-07,$4.71B
2012-08,$4.83B
2012-09,$5.3B
2012-10,$5.52B
2012-11,$6.4B
2012-12,$6.38B
2013-01,$6.17B
2013-02,$6.42B
2013-03,$6.57B
2013-04,$7.78B
2013-05,$7.48B
2013-06,$6.58B
2013-07,$6.47B
2013-08,$5.87B
2013-09,$6.2B
2013-10,$6.16B
2013-11,$6.73B
2013-12,$6.66B
2014-01,$5.96B
2014-02,$5.7B
2014-03,$6.09B
2014-04,$5.9B
2014-05,$5.77B
2014-06,$6.08B
2014-07,$6.26B
2014-08,$5.74B
2014-09,$6.06B
2014-10,$5.87B
2014-11,$5.84B
2014-12,$6.0B
2015-01,$6.42B
2015-02,$7.68B
2015-03,$8.03B
2015-04,$8.21B
2015-05,$8.27B
2015-06,$7.49B
2015-07,$7.41B
2015-08,$7.35B
2015-09,$7.1B
2015-11,$7.38B
2015-12,$7.09B
2016-01,$7.41B
2016-02,$5.58B
2016-03,$6.28B
2016-04,$6.61B
2016-05,$6.85B
2016-06,$5.63B
2016-07,$6.08B
2016-08,$6.71B
2016-09,$6.62B
2016-10,$7.49B
2016-11,$7.57B
2016-12,$8.11B
2017-01,$8.56B
2017-02,$9.36B
2017-03,$9.2B
2017-04,$9.85B
2017-05,$9.22B
2017-06,$9.64B
2017-07,$9.48B
2017-08,$8.75B
2017-09,$8.51B
2017-10,$8.95B
2017-11,$9.36B
2017-12,$9.76B
2018-01,$9.54B
2018-02,$8.88B
2018-03,$8.78B
2018-04,$8.92B
2018-05,$8.76B
2018-06,$8.48B
2018-07,$9.31B
2018-08,$8.76B
2018-09,$9.28B
2018-10,$7.24B
2018-11,$7.53B
2018-12,$6.69B
2019-01,$7.19B
2019-02,$7.53B
2019-03,$7.57B
2019-04,$7.38B
2019-05,$6.82B
2019-06,$7.26B
2019-07,$6.53B
2019-08,$5.98B
2019-09,$6.53B
2019-10,$7.47B
2019-11,$7.79B
2019-12,$7.67B
2020-01,$7.32B
2020-02,$6.41B
2020-03,$5.19B
2020-04,$5.26B
2020-05,$5.95B
2020-06,$5.98B
2020-07,$5.77B
2020-08,$5.95B
2020-09,$5.99B
2020-10,$6.28B
2020-11,$6.7B
2020-12,$6.98B
2021-01,$7.27B
2021-02,$7.41B
2021-03,$8.69B
2021-04,$9.46B
2021-05,$9.54B
2021-06,$9.34B
2021-07,$9.17B
2021-08,$9.98B
2021-09,$11.46B
2021-10,$11.12B
2021-11,$11.12B
2021-12,$10.97B
