timeline,東海カーボン株式会社
2003-12,$0.54B
2004-01,$0.49B
2004-02,$0.56B
2004-03,$0.67B
2004-04,$0.7B
2004-05,$0.62B
2004-06,$0.72B
2004-07,$0.68B
2004-09,$0.64B
2004-10,$0.65B
2004-11,$0.66B
2004-12,$0.71B
2005-02,$0.76B
2005-03,$0.82B
2005-04,$0.78B
2005-05,$0.83B
2005-07,$0.9B
2005-09,$0.91B
2005-10,$0.87B
2005-12,$0.99B
2006-01,$1.23B
2006-02,$1.22B
2006-03,$1.33B
2006-04,$1.28B
2006-05,$1.23B
2006-06,$1.15B
2006-08,$1.45B
2006-09,$1.35B
2006-10,$1.42B
2006-11,$1.43B
2006-12,$1.55B
2007-01,$1.68B
2007-02,$1.79B
2007-03,$1.78B
2007-04,$1.91B
2007-05,$1.95B
2007-06,$2.12B
2007-07,$2.4B
2007-08,$2.46B
2007-09,$2.39B
2007-10,$2.63B
2007-11,$2.19B
2007-12,$1.97B
2008-01,$1.63B
2008-02,$1.79B
2008-03,$1.97B
2008-04,$2.12B
2008-05,$2.41B
2008-06,$2.12B
2008-07,$2.53B
2008-08,$2.22B
2008-09,$1.47B
2008-10,$0.99B
2008-11,$0.76B
2008-12,$0.73B
2009-01,$0.66B
2009-02,$0.62B
2009-03,$0.78B
2009-04,$0.87B
2009-05,$0.91B
2009-06,$1.0B
2009-07,$1.01B
2009-08,$0.95B
2009-09,$0.84B
2009-10,$0.89B
2009-11,$0.77B
2009-12,$0.88B
2010-01,$0.82B
2010-02,$0.92B
2010-03,$1.04B
2010-04,$1.07B
2010-05,$0.9B
2010-06,$0.81B
2010-07,$0.88B
2010-08,$0.94B
2010-09,$1.0B
2010-10,$0.91B
2010-11,$0.89B
2010-12,$0.95B
2011-01,$0.91B
2011-03,$0.78B
2011-04,$0.8B
2011-05,$0.84B
2011-07,$0.82B
2011-08,$0.75B
2011-09,$0.73B
2011-10,$0.75B
2011-11,$0.72B
2011-12,$0.79B
2012-01,$0.78B
2012-02,$0.83B
2012-04,$0.76B
2012-05,$0.65B
2012-06,$0.66B
2012-07,$0.61B
2012-08,$0.46B
2012-09,$0.45B
2012-10,$0.48B
2012-11,$0.54B
2012-12,$0.68B
2013-02,$0.6B
2013-03,$0.61B
2013-04,$0.62B
2013-05,$0.58B
2013-06,$0.5B
2013-07,$0.53B
2013-08,$0.55B
2013-09,$0.64B
2013-10,$0.63B
2013-11,$0.65B
2013-12,$0.69B
2014-01,$0.63B
2014-02,$0.58B
2014-03,$0.66B
2014-04,$0.62B
2014-05,$0.54B
2014-07,$0.56B
2014-08,$0.55B
2014-09,$0.57B
2014-10,$0.54B
2014-11,$0.63B
2014-12,$0.67B
2015-01,$0.64B
2015-02,$0.66B
2015-03,$0.64B
2015-04,$0.66B
2015-05,$0.71B
2015-06,$0.72B
2015-07,$0.68B
2015-08,$0.56B
2015-09,$0.54B
2015-10,$0.62B
2015-11,$0.7B
2015-12,$0.64B
2016-01,$0.61B
2016-02,$0.5B
2016-04,$0.55B
2016-05,$0.6B
2016-06,$0.48B
2016-07,$0.5B
2016-08,$0.51B
2016-10,$0.6B
2016-11,$0.72B
2016-12,$0.71B
2017-01,$0.76B
2017-02,$0.86B
2017-03,$0.91B
2017-04,$0.92B
2017-05,$1.07B
2017-06,$1.17B
2017-07,$1.34B
2017-08,$1.49B
2017-09,$1.99B
2017-10,$2.11B
2017-11,$2.23B
2017-12,$2.62B
2018-01,$2.97B
2018-02,$3.5B
2018-03,$3.1B
2018-04,$2.59B
2018-05,$4.2B
2018-06,$3.74B
2018-07,$3.86B
2018-08,$3.73B
2018-09,$4.19B
2018-10,$3.32B
2018-11,$2.96B
2018-12,$2.35B
2019-01,$2.79B
2019-02,$2.9B
2019-03,$2.6B
2019-04,$2.4B
2019-05,$1.96B
2019-06,$2.11B
2019-07,$2.03B
2019-08,$1.91B
2019-09,$2.04B
2019-10,$2.08B
2019-11,$2.02B
2019-12,$2.06B
2020-01,$1.9B
2020-02,$1.86B
2020-03,$1.69B
2020-04,$1.66B
2020-05,$1.74B
2020-06,$1.9B
2020-07,$1.79B
2020-08,$1.78B
2020-09,$2.11B
2020-10,$2.3B
2020-11,$2.21B
2020-12,$2.26B
2021-01,$2.52B
2021-02,$2.81B
2021-03,$3.3B
2021-04,$3.35B
2021-05,$3.25B
2021-06,$2.97B
2021-07,$2.73B
2021-08,$2.87B
2021-09,$3.04B
2021-10,$2.68B
2021-11,$2.45B
2021-12,$2.25B
