timeline,ＴＯＴＯ株式会社
2004-03,$3.83B
2004-04,$3.87B
2004-05,$3.84B
2004-06,$3.76B
2004-07,$3.55B
2004-08,$3.54B
2004-09,$3.14B
2004-10,$3.11B
2004-11,$3.01B
2004-12,$3.21B
2005-01,$3.08B
2005-02,$2.96B
2005-03,$3.02B
2005-04,$2.93B
2005-05,$2.83B
2005-06,$2.88B
2005-07,$2.85B
2005-08,$2.88B
2005-09,$2.95B
2005-10,$2.91B
2005-11,$3.53B
2005-12,$3.27B
2006-01,$3.44B
2006-02,$3.23B
2006-03,$3.58B
2006-04,$3.88B
2006-05,$3.7B
2006-06,$3.59B
2006-07,$3.58B
2006-08,$3.92B
2006-09,$3.65B
2006-10,$3.8B
2006-11,$3.75B
2006-12,$3.91B
2007-01,$4.23B
2007-02,$4.1B
2007-03,$3.87B
2007-04,$3.72B
2007-05,$3.59B
2007-06,$3.5B
2007-07,$3.32B
2007-08,$3.03B
2007-09,$2.73B
2007-10,$2.72B
2007-11,$2.9B
2007-12,$2.91B
2008-01,$2.78B
2008-02,$2.9B
2008-03,$3.09B
2008-04,$2.92B
2008-05,$2.66B
2008-06,$2.45B
2008-07,$2.59B
2008-08,$2.67B
2008-09,$2.52B
2008-10,$2.2B
2008-11,$1.93B
2008-12,$1.83B
2009-01,$1.59B
2009-02,$1.39B
2009-03,$1.5B
2009-04,$1.49B
2009-05,$1.7B
2009-06,$2.07B
2009-07,$1.98B
2009-09,$1.72B
2009-10,$1.68B
2009-11,$1.42B
2009-12,$1.92B
2010-01,$1.81B
2010-02,$1.94B
2010-03,$2.09B
2010-05,$1.88B
2010-06,$1.95B
2010-07,$1.93B
2010-08,$1.75B
2010-09,$1.88B
2010-10,$1.75B
2010-11,$1.83B
2010-12,$1.77B
2011-01,$1.76B
2011-02,$2.05B
2011-03,$2.01B
2011-04,$1.9B
2011-05,$1.8B
2011-06,$1.88B
2011-07,$1.81B
2011-08,$1.86B
2011-09,$2.08B
2011-10,$1.98B
2011-11,$1.85B
2011-12,$1.79B
2012-01,$1.87B
2012-02,$1.85B
2012-03,$1.88B
2012-04,$1.79B
2012-05,$1.6B
2012-06,$1.79B
2012-07,$1.76B
2012-09,$1.73B
2012-10,$1.81B
2012-11,$1.7B
2012-12,$1.95B
2013-01,$2.19B
2013-02,$2.53B
2013-03,$2.52B
2013-04,$3.06B
2013-05,$3.21B
2013-06,$3.06B
2013-07,$3.03B
2013-08,$3.5B
2013-09,$3.95B
2013-10,$3.97B
2013-11,$4.32B
2013-12,$4.79B
2014-01,$4.72B
2014-02,$4.13B
2014-03,$4.24B
2014-04,$4.28B
2014-05,$3.81B
2014-06,$4.04B
2014-07,$3.86B
2014-08,$3.75B
2014-09,$3.57B
2014-10,$3.64B
2014-11,$4.2B
2014-12,$4.17B
2015-01,$3.88B
2015-02,$4.93B
2015-03,$5.3B
2015-04,$5.05B
2015-05,$6.11B
2015-06,$6.55B
2015-07,$6.0B
2015-08,$5.31B
2015-09,$5.51B
2015-10,$6.13B
2015-11,$6.31B
2015-12,$6.36B
2016-01,$5.73B
2016-02,$4.82B
2016-03,$5.24B
2016-04,$5.68B
2016-05,$6.28B
2016-06,$6.06B
2016-07,$6.62B
2016-08,$5.86B
2016-09,$5.66B
2016-10,$6.27B
2016-11,$6.54B
2016-12,$6.9B
2017-01,$6.8B
2017-02,$6.45B
2017-03,$6.27B
2017-04,$6.35B
2017-05,$6.3B
2017-06,$6.4B
2017-07,$6.63B
2017-08,$6.24B
2017-09,$7.07B
2017-10,$8.25B
2017-11,$9.31B
2017-12,$9.92B
2018-01,$9.3B
2018-02,$8.44B
2018-03,$8.37B
2018-04,$9.27B
2018-05,$8.51B
2018-06,$7.67B
2018-07,$7.78B
2018-08,$7.02B
2018-09,$7.04B
2018-10,$6.05B
2018-11,$6.56B
2018-12,$5.69B
2019-01,$6.29B
2019-03,$7.01B
2019-04,$7.0B
2019-05,$6.04B
2019-06,$6.35B
2019-07,$6.55B
2019-08,$5.74B
2019-09,$6.04B
2019-10,$6.65B
2019-11,$7.15B
2019-12,$6.93B
2020-01,$6.76B
2020-02,$6.12B
2020-03,$5.66B
2020-04,$5.42B
2020-05,$6.38B
2020-06,$6.15B
2020-07,$6.12B
2020-08,$6.93B
2020-09,$7.21B
2020-10,$6.92B
2020-11,$8.45B
2020-12,$9.26B
2021-01,$8.8B
2021-02,$10.25B
2021-03,$9.93B
2021-04,$9.09B
2021-05,$8.65B
2021-06,$8.74B
2021-07,$8.61B
2021-08,$9.13B
2021-09,$9.36B
2021-10,$8.16B
2021-11,$7.96B
2021-12,$8.13B
