timeline,日立金属株式会社
2006-03,$4.23B
2006-04,$3.89B
2006-05,$3.48B
2006-06,$3.44B
2006-07,$3.27B
2006-08,$3.57B
2006-09,$3.41B
2006-10,$3.7B
2006-11,$3.78B
2006-12,$3.87B
2007-01,$4.24B
2007-02,$4.28B
2007-03,$4.0B
2007-04,$3.92B
2007-05,$4.48B
2007-06,$4.22B
2007-07,$4.52B
2007-08,$4.17B
2007-09,$4.45B
2007-10,$4.64B
2007-11,$4.78B
2007-12,$4.71B
2008-01,$4.36B
2008-02,$4.63B
2008-03,$4.57B
2008-04,$4.85B
2008-05,$4.82B
2008-06,$5.42B
2008-07,$5.57B
2008-08,$5.07B
2008-09,$3.85B
2008-10,$2.25B
2008-11,$1.77B
2008-12,$1.28B
2009-01,$1.46B
2009-02,$1.74B
2009-03,$2.14B
2009-04,$2.38B
2009-05,$2.78B
2009-06,$2.55B
2009-07,$2.89B
2009-08,$2.95B
2009-09,$2.86B
2009-10,$2.77B
2009-11,$2.34B
2009-12,$2.77B
2010-01,$2.72B
2010-02,$2.66B
2010-03,$3.06B
2010-04,$3.17B
2010-05,$2.82B
2010-07,$3.05B
2010-08,$2.81B
2010-09,$3.06B
2010-10,$2.85B
2010-11,$2.99B
2010-12,$3.03B
2011-01,$3.0B
2011-02,$3.47B
2011-03,$3.26B
2011-04,$3.3B
2011-05,$3.29B
2011-06,$3.52B
2011-07,$3.39B
2011-08,$2.86B
2011-09,$2.8B
2011-10,$2.81B
2011-11,$2.63B
2011-12,$2.6B
2012-01,$2.72B
2012-02,$3.16B
2012-03,$3.2B
2012-04,$3.24B
2012-05,$2.95B
2012-06,$3.05B
2012-07,$2.69B
2012-08,$2.52B
2012-09,$2.16B
2012-10,$2.32B
2012-11,$1.9B
2012-12,$2.27B
2013-01,$2.44B
2013-02,$2.7B
2013-03,$2.74B
2013-04,$3.25B
2013-05,$3.42B
2013-06,$3.6B
2013-07,$3.8B
2013-08,$4.46B
2013-09,$4.54B
2013-10,$4.98B
2013-11,$5.49B
2013-12,$5.61B
2014-01,$6.14B
2014-02,$5.73B
2014-03,$5.54B
2014-04,$5.23B
2014-05,$5.43B
2014-06,$5.79B
2014-07,$6.34B
2014-08,$6.68B
2014-09,$7.45B
2014-10,$6.97B
2014-11,$7.74B
2014-12,$7.78B
2015-01,$7.3B
2015-02,$7.27B
2015-03,$6.96B
2015-04,$7.09B
2015-05,$7.8B
2015-06,$7.09B
2015-07,$6.96B
2015-08,$5.8B
2015-09,$5.22B
2015-10,$5.2B
2015-11,$6.02B
2015-12,$5.68B
2016-01,$5.03B
2016-02,$4.53B
2016-03,$4.38B
2016-04,$4.3B
2016-05,$4.49B
2016-06,$3.88B
2016-07,$4.35B
2016-08,$4.72B
2016-09,$4.65B
2016-10,$4.95B
2016-11,$5.64B
2016-12,$5.97B
2017-01,$5.91B
2017-02,$6.03B
2017-03,$5.89B
2017-05,$5.56B
2017-06,$5.89B
2017-07,$5.8B
2017-08,$5.54B
2017-09,$5.91B
2017-10,$5.51B
2017-11,$5.6B
2017-12,$6.1B
2018-01,$5.59B
2018-02,$5.19B
2018-03,$4.74B
2018-05,$4.52B
2018-06,$4.34B
2018-07,$4.56B
2018-08,$4.84B
2018-09,$5.31B
2018-10,$5.02B
2018-11,$4.82B
2018-12,$4.34B
2019-01,$4.6B
2019-02,$4.28B
2019-03,$4.85B
2019-04,$4.83B
2019-05,$4.08B
2019-06,$4.59B
2019-07,$4.35B
2019-08,$4.31B
2019-09,$4.4B
2019-10,$5.16B
2019-11,$5.78B
2019-12,$6.08B
2020-01,$6.42B
2020-02,$5.82B
2020-03,$4.3B
2020-04,$3.98B
2020-05,$4.68B
2020-06,$4.84B
2020-07,$4.99B
2020-08,$5.69B
2020-09,$6.06B
2020-10,$5.68B
2020-11,$5.63B
2020-12,$5.82B
2021-01,$6.18B
2021-02,$6.47B
2021-03,$6.7B
2021-04,$7.22B
2021-05,$8.01B
2021-06,$8.01B
2021-07,$8.14B
2021-08,$8.27B
2021-09,$8.33B
2021-10,$8.17B
2021-11,$8.05B
2021-12,$7.98B
