timeline,株式会社ディスコ
2006-03,$2.29B
2006-04,$2.16B
2006-05,$1.89B
2006-06,$1.92B
2006-07,$1.88B
2006-08,$2.03B
2006-09,$2.17B
2006-10,$2.08B
2006-11,$2.36B
2006-12,$2.5B
2007-01,$2.27B
2007-02,$2.13B
2007-03,$2.15B
2007-04,$2.25B
2007-05,$2.05B
2007-06,$2.14B
2007-07,$1.96B
2007-08,$2.03B
2007-09,$1.92B
2007-10,$2.04B
2007-11,$1.96B
2007-12,$1.88B
2008-01,$1.38B
2008-02,$1.5B
2008-03,$1.29B
2008-04,$1.53B
2008-05,$1.63B
2008-06,$1.35B
2008-07,$1.29B
2008-08,$1.23B
2008-09,$0.91B
2008-10,$0.69B
2008-11,$0.55B
2009-01,$0.67B
2009-02,$0.74B
2009-03,$0.73B
2009-04,$0.88B
2009-05,$1.01B
2009-06,$1.21B
2009-07,$1.47B
2009-08,$1.64B
2009-09,$1.77B
2009-10,$1.51B
2009-11,$1.48B
2009-12,$1.71B
2010-01,$1.49B
2010-02,$1.45B
2010-03,$1.7B
2010-04,$1.99B
2010-05,$1.81B
2010-06,$1.68B
2010-07,$1.55B
2010-08,$1.24B
2010-09,$1.42B
2010-10,$1.38B
2010-11,$1.44B
2010-12,$1.46B
2011-01,$1.63B
2011-02,$1.7B
2011-03,$1.69B
2011-04,$1.63B
2011-05,$1.57B
2011-06,$1.51B
2011-07,$1.33B
2011-08,$1.09B
2011-09,$1.1B
2011-10,$1.25B
2011-11,$1.19B
2012-01,$1.22B
2012-02,$1.34B
2012-03,$1.36B
2012-04,$1.42B
2012-05,$1.24B
2012-06,$1.33B
2012-07,$1.23B
2012-08,$1.15B
2012-09,$1.12B
2012-10,$1.17B
2012-11,$1.3B
2012-12,$1.33B
2013-01,$1.49B
2013-02,$1.58B
2013-04,$1.87B
2013-05,$2.01B
2013-06,$2.04B
2013-07,$1.72B
2013-09,$1.67B
2013-10,$1.84B
2013-11,$2.09B
2013-12,$2.07B
2014-01,$2.14B
2014-02,$2.04B
2014-03,$1.92B
2014-04,$1.86B
2014-05,$1.95B
2014-06,$2.03B
2014-07,$2.0B
2014-08,$1.99B
2014-09,$2.24B
2014-11,$2.83B
2014-12,$3.04B
2015-01,$3.4B
2015-02,$3.45B
2015-03,$3.87B
2015-04,$3.45B
2015-05,$3.65B
2015-06,$3.19B
2015-07,$3.02B
2015-08,$2.88B
2015-09,$2.63B
2015-10,$3.5B
2015-11,$3.74B
2015-12,$3.63B
2016-01,$3.56B
2016-02,$3.28B
2016-03,$3.01B
2016-04,$2.98B
2016-05,$3.33B
2016-06,$2.9B
2016-07,$3.35B
2016-08,$3.69B
2016-09,$3.75B
2016-10,$4.01B
2016-11,$4.28B
2016-12,$4.47B
2017-01,$4.56B
2017-02,$5.34B
2017-03,$5.35B
2017-04,$5.57B
2017-05,$6.04B
2017-06,$5.67B
2017-07,$6.19B
2017-08,$6.23B
2017-09,$7.24B
2017-10,$8.26B
2017-11,$7.87B
2017-12,$7.93B
2018-01,$8.09B
2018-02,$7.98B
2018-03,$7.27B
2018-04,$6.11B
2018-05,$6.51B
2018-06,$5.99B
2018-07,$6.01B
2018-08,$6.3B
2018-09,$6.02B
2018-10,$5.69B
2018-11,$5.24B
2018-12,$4.07B
2019-01,$5.09B
2019-02,$4.86B
2019-03,$5.0B
2019-04,$6.04B
2019-05,$4.81B
2019-06,$5.6B
2019-07,$6.41B
2019-08,$6.11B
2019-09,$6.48B
2019-10,$7.56B
2019-11,$7.48B
2019-12,$8.21B
2020-01,$8.19B
2020-02,$6.93B
2020-04,$7.1B
2020-05,$7.63B
2020-06,$8.28B
2020-07,$8.25B
2020-08,$8.04B
2020-09,$8.02B
2020-10,$8.9B
2020-11,$9.76B
2020-12,$10.76B
2021-01,$11.33B
2021-02,$10.82B
2021-03,$10.78B
2021-04,$11.78B
2021-05,$10.29B
2021-06,$10.78B
2021-07,$10.07B
2021-08,$10.35B
2021-09,$11.2B
2021-10,$9.73B
2021-11,$10.37B
2021-12,$10.45B
