timeline,株式会社豊田自動織機
2006-03,$13.54B
2006-04,$14.3B
2006-05,$12.75B
2006-06,$12.72B
2006-07,$13.06B
2006-08,$13.77B
2006-09,$14.1B
2006-10,$14.36B
2006-11,$14.33B
2006-12,$15.4B
2007-01,$15.91B
2007-02,$16.55B
2007-03,$15.71B
2007-04,$15.6B
2007-05,$15.16B
2007-06,$15.77B
2007-07,$14.88B
2007-08,$13.51B
2007-09,$13.62B
2007-10,$13.48B
2007-11,$12.77B
2007-12,$12.57B
2008-01,$11.39B
2008-02,$11.03B
2008-03,$9.74B
2008-04,$9.93B
2008-05,$10.26B
2008-06,$9.35B
2008-07,$8.61B
2008-08,$8.72B
2008-09,$7.22B
2008-10,$6.03B
2008-11,$5.14B
2008-12,$5.24B
2009-01,$5.01B
2009-02,$5.82B
2009-03,$5.76B
2009-04,$7.19B
2009-05,$6.75B
2009-06,$6.61B
2009-07,$7.03B
2009-08,$6.89B
2009-09,$6.77B
2009-10,$6.89B
2009-11,$6.51B
2009-12,$7.57B
2010-01,$7.31B
2010-02,$6.41B
2010-03,$7.33B
2010-04,$7.56B
2010-05,$6.42B
2010-06,$6.24B
2010-07,$6.4B
2010-08,$5.8B
2010-09,$6.12B
2010-10,$6.24B
2010-11,$6.78B
2010-12,$6.92B
2011-01,$7.15B
2011-02,$7.75B
2011-03,$6.91B
2011-04,$6.73B
2011-05,$6.84B
2011-06,$7.27B
2011-07,$6.94B
2011-08,$5.92B
2011-09,$6.26B
2011-10,$6.19B
2011-11,$5.75B
2012-01,$6.0B
2012-02,$6.96B
2012-03,$6.86B
2012-04,$6.25B
2012-05,$5.7B
2012-06,$6.22B
2012-07,$5.82B
2012-08,$6.05B
2012-09,$6.0B
2012-10,$6.27B
2012-11,$6.78B
2012-12,$7.5B
2013-01,$8.34B
2013-02,$9.1B
2013-03,$9.43B
2013-04,$10.96B
2013-05,$11.13B
2013-06,$11.18B
2013-07,$11.11B
2013-08,$10.98B
2013-09,$11.64B
2013-10,$11.88B
2013-11,$12.26B
2013-12,$13.06B
2014-02,$12.94B
2014-03,$13.72B
2014-04,$13.03B
2014-05,$13.08B
2014-06,$14.47B
2014-07,$14.02B
2014-08,$13.82B
2014-09,$14.66B
2014-10,$14.41B
2014-11,$16.4B
2014-12,$17.18B
2015-01,$17.67B
2015-02,$18.67B
2015-03,$19.06B
2015-04,$18.89B
2015-05,$20.77B
2015-06,$19.33B
2015-07,$19.03B
2015-08,$16.7B
2015-09,$15.68B
2015-10,$17.75B
2015-11,$18.09B
2016-01,$16.48B
2016-02,$13.16B
2016-03,$14.02B
2016-04,$13.48B
2016-05,$13.31B
2016-06,$11.18B
2016-07,$12.95B
2016-08,$13.71B
2016-09,$12.88B
2016-10,$13.34B
2016-11,$14.85B
2016-12,$15.43B
2017-01,$15.13B
2017-02,$15.18B
2017-03,$15.14B
2017-04,$15.16B
2017-05,$15.25B
2017-06,$16.18B
2017-07,$16.23B
2017-08,$16.04B
2017-09,$17.71B
2017-10,$18.92B
2017-11,$19.08B
2017-12,$19.82B
2018-01,$19.41B
2018-02,$18.5B
2018-03,$17.63B
2018-04,$17.71B
2018-05,$17.41B
2018-06,$17.0B
2018-07,$17.22B
2018-09,$18.39B
2018-10,$15.19B
2018-11,$15.93B
2018-12,$13.93B
2019-01,$14.7B
2019-02,$15.63B
2019-03,$15.19B
2019-04,$17.25B
2019-05,$15.3B
2019-06,$16.23B
2019-07,$15.52B
2019-08,$15.99B
2019-09,$16.97B
2019-10,$17.96B
2019-11,$17.6B
2019-12,$17.33B
2020-01,$16.42B
2020-02,$15.63B
2020-03,$14.18B
2020-04,$14.86B
2020-06,$15.56B
2020-07,$14.79B
2020-08,$16.8B
2020-09,$18.16B
2020-10,$18.65B
2020-11,$19.76B
2020-12,$21.89B
2021-01,$22.99B
2021-02,$25.16B
2021-03,$27.11B
2021-04,$25.88B
2021-05,$24.95B
2021-06,$26.65B
2021-07,$25.26B
2021-08,$26.11B
2021-09,$27.39B
2021-10,$25.67B
2021-11,$26.95B
2021-12,$25.71B
