timeline,ＳＭＣ株式会社
2007-12,$8.56B
2008-12,$7.2B
2012-12,$12.41B
2013-02,$11.94B
2013-03,$13.24B
2013-04,$13.67B
2013-05,$13.35B
2013-06,$13.25B
2013-07,$13.88B
2013-08,$13.74B
2013-09,$15.63B
2013-10,$15.15B
2013-11,$15.79B
2013-12,$16.55B
2014-01,$16.59B
2014-02,$16.56B
2014-03,$17.87B
2014-04,$15.98B
2014-05,$17.66B
2014-06,$18.05B
2014-07,$18.91B
2014-08,$17.71B
2014-09,$18.68B
2014-10,$19.21B
2014-11,$18.69B
2014-12,$17.67B
2015-01,$17.8B
2015-02,$18.41B
2015-03,$19.72B
2015-04,$20.08B
2015-06,$20.19B
2015-07,$17.03B
2015-08,$16.33B
2015-09,$14.6B
2015-10,$17.4B
2015-11,$17.84B
2015-12,$17.72B
2016-01,$15.1B
2016-02,$15.43B
2016-03,$15.63B
2016-04,$17.0B
2016-05,$17.13B
2016-06,$16.28B
2016-07,$17.43B
2016-08,$19.03B
2016-09,$19.18B
2016-10,$19.59B
2016-11,$19.42B
2016-12,$16.12B
2017-01,$18.27B
2017-02,$18.98B
2017-03,$19.79B
2017-04,$18.96B
2017-05,$21.22B
2017-06,$20.48B
2017-07,$21.35B
2017-08,$22.93B
2017-09,$23.71B
2017-10,$25.71B
2017-11,$27.27B
2017-12,$27.6B
2018-01,$33.07B
2018-02,$28.16B
2018-03,$27.17B
2018-04,$25.72B
2018-05,$25.61B
2018-06,$24.71B
2018-07,$22.7B
2018-08,$22.39B
2018-09,$21.55B
2018-10,$21.49B
2018-11,$22.8B
2018-12,$20.25B
2019-01,$22.03B
2019-02,$23.49B
2019-03,$25.23B
2019-04,$27.72B
2019-05,$21.98B
2019-06,$25.05B
2019-07,$24.46B
2019-08,$25.12B
2019-09,$28.41B
2019-10,$28.85B
2019-11,$30.13B
2019-12,$30.72B
2020-01,$29.45B
2020-02,$26.12B
2020-03,$28.16B
2020-04,$30.57B
2020-05,$33.59B
2020-06,$34.11B
2020-07,$34.71B
2020-08,$36.45B
2020-09,$36.25B
2020-10,$36.09B
2020-11,$38.82B
2020-12,$41.34B
2021-01,$42.65B
2021-02,$40.64B
2021-03,$39.22B
2021-04,$39.02B
2021-05,$38.02B
2021-06,$39.17B
2021-07,$39.2B
2021-08,$41.37B
2021-09,$46.78B
2021-10,$38.95B
2021-11,$42.87B
2021-12,$43.78B
