timeline,日立建機株式会社
2006-03,$5.32B
2006-04,$5.34B
2006-05,$4.64B
2006-06,$4.73B
2006-07,$4.63B
2006-08,$4.45B
2006-09,$4.53B
2006-10,$4.78B
2006-11,$4.74B
2006-12,$5.5B
2007-01,$5.82B
2007-03,$5.48B
2007-04,$6.48B
2007-05,$6.99B
2007-06,$7.37B
2007-07,$8.2B
2007-08,$7.01B
2007-09,$7.89B
2007-10,$8.04B
2007-11,$6.82B
2007-12,$5.76B
2008-01,$4.24B
2008-02,$5.04B
2008-03,$4.29B
2008-04,$5.64B
2008-05,$6.26B
2008-06,$5.11B
2008-07,$4.95B
2008-08,$4.45B
2008-09,$4.34B
2008-10,$1.89B
2008-11,$1.84B
2008-12,$1.78B
2009-01,$1.56B
2009-02,$1.98B
2009-03,$2.18B
2009-04,$2.28B
2009-05,$2.71B
2009-06,$2.87B
2009-07,$3.06B
2009-08,$3.44B
2009-09,$3.51B
2009-10,$3.98B
2009-11,$3.68B
2009-12,$4.39B
2010-01,$3.47B
2010-02,$3.31B
2010-03,$4.12B
2010-04,$3.77B
2010-05,$3.46B
2010-06,$3.09B
2010-07,$3.28B
2010-08,$3.11B
2010-09,$3.37B
2010-10,$3.19B
2010-11,$3.56B
2010-12,$3.63B
2011-01,$3.6B
2011-02,$3.81B
2011-03,$3.89B
2011-04,$3.67B
2011-05,$3.2B
2011-06,$3.35B
2011-07,$3.25B
2011-08,$2.66B
2011-09,$2.45B
2011-10,$2.87B
2011-11,$2.47B
2011-12,$2.42B
2012-01,$2.82B
2012-02,$3.17B
2012-03,$3.42B
2012-04,$3.26B
2012-05,$2.82B
2012-06,$2.77B
2012-07,$2.64B
2012-08,$2.42B
2012-09,$2.36B
2012-10,$2.45B
2012-11,$2.7B
2012-12,$3.35B
2013-01,$3.92B
2013-02,$3.98B
2013-03,$3.79B
2013-04,$4.32B
2013-05,$4.53B
2013-06,$3.75B
2013-07,$3.62B
2013-08,$3.61B
2013-09,$4.1B
2013-10,$3.86B
2013-11,$4.1B
2013-12,$4.2B
2014-01,$3.73B
2014-02,$3.69B
2014-03,$3.73B
2014-04,$3.56B
2014-05,$3.53B
2014-06,$3.78B
2014-07,$3.98B
2014-08,$3.83B
2014-09,$4.14B
2014-10,$4.19B
2014-11,$4.8B
2014-12,$4.81B
2015-01,$4.13B
2015-02,$4.15B
2015-03,$3.94B
2015-04,$4.0B
2015-05,$4.26B
2015-06,$4.02B
2015-07,$3.87B
2015-08,$3.3B
2015-09,$2.99B
2015-10,$3.53B
2015-11,$3.62B
2015-12,$3.56B
2016-01,$3.25B
2016-02,$2.94B
2016-03,$3.35B
2016-04,$3.32B
2016-05,$3.21B
2016-06,$2.78B
2016-07,$3.16B
2016-08,$3.64B
2016-09,$3.75B
2016-10,$4.12B
2016-11,$4.42B
2016-12,$4.75B
2017-01,$4.88B
2017-02,$4.9B
2017-03,$5.21B
2017-04,$5.39B
2017-05,$4.82B
2017-06,$5.27B
2017-07,$5.94B
2017-08,$5.82B
2017-09,$6.26B
2017-10,$7.25B
2017-11,$6.97B
2017-12,$7.68B
2018-01,$9.16B
2018-02,$8.62B
2018-03,$7.7B
2018-04,$7.47B
2018-05,$7.54B
2018-06,$6.75B
2018-07,$6.7B
2018-08,$6.23B
2018-09,$7.13B
2018-10,$5.65B
2018-11,$5.88B
2018-12,$4.82B
2019-01,$5.15B
2019-02,$5.21B
2019-03,$5.51B
2019-04,$5.53B
2019-05,$4.75B
2019-06,$5.26B
2019-07,$4.84B
2019-08,$4.26B
2019-09,$4.89B
2019-10,$5.3B
2019-11,$5.41B
2019-12,$6.16B
2020-01,$5.62B
2020-02,$5.0B
2020-03,$4.11B
2020-04,$4.7B
2020-05,$5.31B
2020-06,$5.59B
2020-07,$5.65B
2020-08,$6.52B
2020-09,$7.02B
2020-10,$6.12B
2020-11,$5.21B
2020-12,$5.51B
2021-01,$5.84B
2021-02,$5.89B
2021-03,$6.41B
2021-04,$6.54B
2021-05,$6.66B
2021-06,$6.6B
2021-07,$5.98B
2021-08,$5.93B
2021-09,$6.37B
2021-10,$6.24B
2021-11,$6.78B
2021-12,$6.34B
