timeline,株式会社ハーモニック・ドライブ・システムズ
2006-03,$0.14B
2006-04,$0.13B
2006-06,$0.44B
2006-07,$0.49B
2006-08,$0.48B
2006-09,$0.52B
2006-10,$0.56B
2006-11,$0.55B
2006-12,$0.53B
2007-01,$0.57B
2007-04,$0.59B
2007-05,$0.58B
2007-06,$0.55B
2007-07,$0.52B
2007-08,$0.45B
2007-09,$0.47B
2007-10,$0.39B
2007-11,$0.36B
2007-12,$0.41B
2008-01,$0.33B
2008-02,$0.35B
2008-03,$0.3B
2008-04,$0.36B
2008-05,$0.39B
2008-06,$0.37B
2008-08,$0.32B
2008-09,$0.27B
2008-10,$0.18B
2008-11,$0.2B
2008-12,$0.14B
2009-02,$0.15B
2009-03,$0.16B
2009-04,$0.19B
2009-05,$0.21B
2009-06,$0.2B
2009-07,$0.22B
2009-10,$0.21B
2009-11,$0.16B
2009-12,$0.19B
2010-01,$0.24B
2010-03,$0.29B
2010-04,$0.36B
2010-05,$0.33B
2010-06,$0.39B
2010-07,$0.34B
2010-08,$0.3B
2010-09,$0.32B
2010-10,$0.31B
2010-11,$0.33B
2010-12,$0.43B
2011-01,$0.44B
2011-02,$0.48B
2011-03,$0.57B
2011-04,$0.55B
2011-05,$0.51B
2011-06,$0.53B
2011-08,$0.46B
2011-09,$0.42B
2011-10,$0.46B
2011-11,$0.39B
2011-12,$0.41B
2012-01,$0.49B
2012-02,$0.53B
2012-03,$0.56B
2012-04,$0.51B
2012-05,$0.47B
2012-06,$0.49B
2012-07,$0.48B
2012-08,$0.41B
2012-10,$0.42B
2012-11,$0.36B
2012-12,$0.47B
2013-01,$0.48B
2013-02,$0.45B
2013-03,$0.46B
2013-04,$0.54B
2013-05,$0.57B
2013-06,$0.55B
2013-07,$0.56B
2013-08,$0.51B
2013-09,$0.55B
2013-10,$0.57B
2013-11,$0.55B
2013-12,$0.65B
2014-01,$0.81B
2014-02,$0.93B
2014-03,$0.84B
2014-04,$0.78B
2014-05,$0.89B
2014-06,$1.1B
2014-07,$1.07B
2014-08,$1.28B
2014-09,$1.31B
2014-10,$1.15B
2014-11,$1.37B
2014-12,$1.43B
2015-01,$1.52B
2015-02,$1.72B
2015-03,$2.14B
2015-04,$2.05B
2015-05,$1.88B
2015-06,$1.94B
2015-07,$1.5B
2015-08,$1.52B
2015-09,$1.38B
2015-10,$1.67B
2015-11,$1.99B
2015-12,$2.13B
2016-01,$1.95B
2016-02,$2.06B
2016-03,$2.33B
2016-04,$2.02B
2016-05,$2.32B
2016-06,$2.34B
2016-07,$2.59B
2016-08,$2.34B
2016-09,$2.37B
2016-10,$2.39B
2016-11,$2.44B
2016-12,$2.34B
2017-01,$2.75B
2017-02,$2.82B
2017-03,$2.83B
2017-05,$3.08B
2017-06,$3.14B
2017-07,$3.85B
2017-08,$3.9B
2017-09,$4.69B
2017-10,$4.75B
2017-11,$5.74B
2017-12,$5.32B
2018-01,$6.07B
2018-02,$5.39B
2018-03,$5.02B
2018-04,$4.46B
2018-05,$4.42B
2018-06,$3.98B
2018-07,$3.72B
2018-08,$3.83B
2018-09,$3.55B
2018-10,$2.92B
2018-11,$3.22B
2018-12,$2.56B
2019-01,$3.22B
2019-02,$3.09B
2019-03,$3.22B
2019-04,$3.72B
2019-05,$3.05B
2019-06,$3.53B
2019-08,$3.58B
2019-09,$3.99B
2019-10,$4.3B
2019-11,$4.04B
2019-12,$4.47B
2020-01,$4.24B
2020-02,$3.92B
2020-03,$4.01B
2020-04,$4.12B
2020-05,$5.28B
2020-06,$5.02B
2020-07,$5.04B
2020-08,$4.94B
2020-09,$5.71B
2020-10,$5.8B
2020-11,$6.69B
2020-12,$7.46B
2021-01,$7.33B
2021-02,$7.23B
2021-03,$6.57B
2021-04,$6.62B
2021-05,$5.54B
2021-06,$4.96B
2021-07,$5.18B
2021-08,$5.4B
2021-09,$5.54B
2021-10,$4.4B
2021-11,$4.08B
2021-12,$4.03B
