timeline,株式会社クボタ
2001-01,$4.54B
2001-02,$4.05B
2001-03,$5.01B
2001-04,$5.59B
2001-05,$5.47B
2001-06,$6.16B
2001-07,$6.13B
2001-08,$5.08B
2001-09,$4.0B
2001-10,$4.82B
2001-11,$4.44B
2001-12,$4.26B
2002-01,$4.4B
2002-02,$4.61B
2002-03,$4.85B
2002-04,$4.74B
2002-05,$4.93B
2002-06,$4.47B
2002-07,$4.45B
2002-08,$4.17B
2002-09,$4.28B
2002-10,$3.79B
2002-11,$4.02B
2002-12,$3.95B
2003-01,$3.98B
2003-02,$3.71B
2003-04,$3.42B
2003-05,$3.52B
2003-06,$4.05B
2003-07,$4.41B
2003-08,$4.8B
2003-09,$4.79B
2003-10,$4.92B
2003-11,$4.97B
2003-12,$5.5B
2004-01,$5.4B
2004-02,$6.18B
2004-03,$6.17B
2004-04,$5.96B
2004-05,$6.3B
2004-06,$7.22B
2004-07,$6.28B
2004-08,$6.84B
2004-09,$6.47B
2004-10,$6.01B
2004-11,$6.33B
2004-12,$6.32B
2005-01,$6.89B
2005-02,$7.16B
2005-03,$6.76B
2005-04,$6.41B
2005-05,$7.12B
2005-06,$7.19B
2005-07,$7.73B
2005-08,$8.12B
2005-09,$9.29B
2005-10,$9.94B
2005-11,$11.04B
2005-12,$11.71B
2006-01,$13.22B
2006-02,$13.59B
2006-03,$14.55B
2006-04,$14.74B
2006-05,$11.88B
2006-06,$12.43B
2006-07,$12.08B
2006-08,$11.07B
2006-09,$11.11B
2006-10,$11.72B
2006-11,$11.67B
2006-12,$12.63B
2007-01,$14.56B
2007-02,$13.48B
2007-03,$11.77B
2007-04,$12.98B
2007-05,$11.61B
2007-06,$11.39B
2007-07,$11.34B
2007-08,$10.23B
2007-09,$10.77B
2007-10,$11.0B
2007-11,$9.34B
2007-12,$8.62B
2008-01,$8.71B
2008-02,$8.08B
2008-03,$6.99B
2008-04,$8.22B
2008-05,$9.65B
2008-06,$8.61B
2008-07,$7.79B
2008-08,$8.75B
2008-09,$7.32B
2008-10,$5.43B
2008-11,$6.27B
2008-12,$7.11B
2009-01,$5.59B
2009-02,$5.34B
2009-03,$6.0B
2009-04,$6.59B
2009-05,$7.85B
2009-06,$8.94B
2009-07,$9.55B
2009-08,$8.62B
2009-09,$8.38B
2009-10,$8.06B
2009-11,$8.53B
2009-12,$9.53B
2010-01,$9.12B
2010-02,$8.77B
2010-03,$9.55B
2010-04,$9.31B
2010-05,$8.4B
2010-06,$7.71B
2010-07,$7.68B
2010-08,$7.56B
2010-09,$8.57B
2010-10,$8.03B
2010-11,$8.5B
2010-12,$8.62B
2011-01,$9.36B
2011-02,$9.4B
2011-03,$8.79B
2011-04,$8.63B
2011-05,$8.21B
2011-06,$7.95B
2011-07,$7.88B
2011-08,$7.01B
2011-09,$6.96B
2011-10,$7.26B
2011-11,$7.58B
2011-12,$7.14B
2012-01,$7.62B
2012-02,$8.86B
2012-03,$8.8B
2012-04,$8.59B
2012-05,$7.44B
2012-06,$8.08B
2012-07,$8.27B
2012-08,$8.33B
2012-09,$8.75B
2012-10,$9.04B
2012-11,$9.69B
2012-12,$10.92B
2013-01,$11.56B
2013-02,$12.39B
2013-03,$14.82B
2013-04,$15.47B
2013-05,$16.61B
2013-06,$16.03B
2013-07,$15.83B
2013-08,$14.79B
2013-09,$15.69B
2013-10,$16.03B
2013-11,$19.39B
2013-12,$19.25B
2014-01,$17.69B
2014-02,$15.76B
2014-03,$15.14B
2014-04,$14.55B
2014-05,$15.39B
2014-06,$15.9B
2014-07,$15.25B
2014-08,$16.45B
2014-09,$19.18B
2014-10,$19.24B
2014-11,$20.54B
2014-12,$19.4B
2015-01,$19.43B
2015-02,$21.42B
2015-03,$20.9B
2015-04,$20.61B
2015-05,$22.78B
2015-06,$21.3B
2015-07,$23.3B
2015-08,$20.83B
2015-09,$17.94B
2015-10,$20.75B
2015-11,$22.53B
2015-12,$20.71B
2016-01,$19.19B
2016-02,$15.87B
2016-03,$16.86B
2016-04,$18.21B
2016-05,$17.89B
2016-06,$14.99B
2016-07,$16.63B
2016-09,$16.57B
2016-10,$18.55B
2016-11,$18.91B
2016-12,$18.27B
2017-01,$19.69B
2017-02,$19.55B
2017-03,$18.25B
2017-04,$19.15B
2017-05,$19.14B
2017-06,$20.59B
2017-07,$20.94B
2017-08,$20.75B
2017-09,$22.29B
2017-10,$23.12B
2017-11,$23.06B
2017-12,$24.04B
2018-01,$24.11B
2018-02,$21.18B
2018-03,$20.25B
2018-04,$20.12B
2018-05,$19.92B
2018-06,$18.94B
2018-07,$20.31B
2018-08,$18.87B
2018-09,$20.98B
2018-10,$19.36B
2018-11,$21.05B
2018-12,$16.96B
2019-01,$18.62B
2019-02,$16.32B
2019-03,$17.37B
2019-04,$18.29B
2019-05,$18.0B
2019-06,$19.44B
2019-07,$18.29B
2019-08,$16.48B
2019-09,$17.58B
2019-10,$18.63B
2019-11,$18.17B
2019-12,$18.57B
2020-01,$18.72B
2020-02,$16.75B
2020-03,$14.36B
2020-04,$13.94B
2020-05,$15.6B
2020-06,$17.24B
2020-07,$16.12B
2020-08,$18.73B
2020-09,$20.0B
2020-10,$20.2B
2020-11,$22.44B
2020-12,$23.54B
2021-01,$25.07B
2021-02,$26.22B
2021-03,$25.8B
2021-04,$27.27B
2021-05,$27.21B
2021-06,$24.91B
2021-07,$24.02B
2021-08,$24.38B
2021-09,$26.78B
2021-10,$25.32B
2021-11,$25.99B
2021-12,$26.75B
