timeline,ダイキン工業株式会社
2012-12,$9.96B
2013-02,$10.83B
2013-03,$11.41B
2013-04,$11.63B
2013-05,$12.96B
2013-06,$11.85B
2013-07,$12.12B
2013-08,$14.03B
2013-09,$15.5B
2013-10,$16.64B
2013-11,$18.49B
2013-12,$18.17B
2014-01,$16.87B
2014-02,$16.64B
2014-03,$16.39B
2014-04,$16.78B
2014-05,$17.39B
2014-06,$18.39B
2014-07,$20.36B
2014-08,$20.17B
2014-09,$18.13B
2014-10,$18.2B
2014-11,$19.5B
2014-12,$19.07B
2015-01,$20.41B
2015-02,$19.05B
2015-03,$19.56B
2015-04,$19.87B
2015-05,$22.48B
2015-06,$20.95B
2015-07,$18.86B
2015-08,$17.43B
2015-09,$16.25B
2015-10,$18.91B
2015-11,$20.55B
2015-12,$21.56B
2016-01,$19.66B
2016-02,$19.43B
2016-03,$21.86B
2016-04,$24.0B
2016-05,$25.02B
2016-06,$24.19B
2016-07,$25.11B
2016-08,$27.22B
2016-09,$26.98B
2016-10,$28.15B
2016-11,$27.81B
2016-12,$26.96B
2017-01,$28.83B
2017-02,$27.62B
2017-03,$29.25B
2017-04,$28.45B
2017-05,$28.63B
2017-06,$29.93B
2017-07,$30.96B
2017-08,$29.09B
2017-09,$29.61B
2017-10,$32.26B
2017-11,$33.72B
2017-12,$34.53B
2018-01,$35.21B
2018-02,$34.41B
2018-03,$32.21B
2018-04,$34.34B
2018-05,$33.83B
2018-06,$35.11B
2018-07,$35.09B
2018-08,$37.33B
2018-09,$39.01B
2018-10,$33.95B
2018-11,$32.51B
2018-12,$30.99B
2019-01,$31.56B
2019-02,$31.89B
2019-03,$34.27B
2019-04,$36.92B
2019-05,$35.38B
2019-06,$38.17B
2019-07,$36.59B
2019-08,$36.14B
2019-09,$38.42B
2019-10,$40.94B
2019-11,$42.04B
2019-12,$41.5B
2020-01,$41.99B
2020-02,$39.27B
2020-03,$35.66B
2020-04,$38.43B
2020-05,$43.07B
2020-06,$47.14B
2020-07,$50.92B
2020-08,$53.34B
2020-09,$54.38B
2020-10,$53.36B
2020-11,$65.4B
2020-12,$64.64B
2021-01,$64.63B
2021-02,$61.66B
2021-03,$59.38B
2021-04,$60.16B
2021-05,$57.52B
2021-06,$55.06B
2021-07,$59.32B
2021-08,$69.64B
2021-09,$74.32B
2021-10,$64.24B
2021-11,$63.87B
2021-12,$66.87B
