timeline,ミネベアミツミ株式会社
2001-01,$3.63B
2001-02,$3.23B
2001-03,$3.14B
2001-04,$3.41B
2001-05,$3.07B
2001-06,$2.89B
2001-07,$2.59B
2001-08,$2.35B
2001-09,$2.09B
2001-10,$2.24B
2001-11,$2.6B
2001-12,$2.48B
2002-01,$2.5B
2002-02,$2.7B
2002-03,$3.0B
2002-04,$2.96B
2002-05,$2.86B
2002-06,$2.48B
2002-07,$2.26B
2002-08,$2.4B
2002-09,$2.17B
2002-10,$1.96B
2002-11,$1.89B
2002-12,$1.45B
2003-01,$1.53B
2003-02,$1.7B
2003-03,$1.37B
2003-04,$1.25B
2003-05,$1.38B
2003-06,$1.68B
2003-07,$1.71B
2003-08,$2.04B
2003-10,$2.2B
2003-11,$1.96B
2003-12,$1.91B
2004-01,$1.77B
2004-02,$1.78B
2004-03,$1.84B
2004-04,$1.9B
2004-05,$1.69B
2004-06,$1.79B
2004-07,$1.68B
2004-08,$1.64B
2004-09,$1.58B
2004-11,$1.46B
2004-12,$1.57B
2005-01,$1.59B
2005-02,$1.68B
2005-03,$1.62B
2005-04,$1.47B
2005-05,$1.56B
2005-06,$1.58B
2005-07,$1.65B
2005-08,$1.61B
2005-09,$1.65B
2005-10,$1.59B
2005-11,$2.29B
2005-12,$2.21B
2006-01,$2.47B
2006-02,$2.48B
2006-03,$2.86B
2006-04,$2.59B
2006-05,$2.33B
2006-06,$2.19B
2006-07,$2.05B
2006-08,$2.33B
2006-09,$2.27B
2006-10,$2.51B
2006-11,$2.83B
2006-12,$2.93B
2007-01,$2.81B
2007-02,$2.75B
2007-03,$2.57B
2007-04,$2.48B
2007-05,$2.47B
2007-06,$2.45B
2007-07,$2.28B
2007-08,$2.49B
2007-09,$2.77B
2007-10,$2.8B
2007-11,$2.42B
2007-12,$2.52B
2008-01,$1.99B
2008-02,$2.39B
2008-03,$2.04B
2008-04,$2.23B
2008-05,$2.25B
2008-06,$2.14B
2008-07,$2.03B
2008-08,$1.7B
2008-09,$1.37B
2008-10,$0.91B
2008-11,$1.02B
2008-12,$1.07B
2009-01,$0.98B
2009-02,$1.19B
2009-03,$1.23B
2009-04,$1.3B
2009-05,$1.33B
2009-06,$1.41B
2009-07,$1.32B
2009-08,$1.48B
2009-09,$1.41B
2009-10,$1.33B
2009-11,$1.48B
2009-12,$1.72B
2010-01,$1.65B
2010-02,$1.66B
2010-03,$1.92B
2010-04,$1.85B
2010-05,$1.76B
2010-06,$1.67B
2010-07,$1.61B
2010-08,$1.3B
2010-09,$1.45B
2010-10,$1.49B
2010-11,$1.67B
2010-12,$1.72B
2011-01,$1.64B
2011-02,$1.63B
2011-03,$1.55B
2011-04,$1.47B
2011-05,$1.4B
2011-06,$1.44B
2011-07,$1.33B
2011-08,$1.07B
2011-09,$0.89B
2011-10,$0.96B
2011-11,$1.14B
2011-12,$1.09B
2012-01,$1.15B
2012-02,$1.29B
2012-03,$1.21B
2012-04,$1.22B
2012-05,$1.06B
2012-06,$1.05B
2012-07,$0.92B
2012-08,$0.91B
2012-09,$0.88B
2012-11,$0.99B
2012-12,$1.02B
2013-01,$1.03B
2013-02,$1.11B
2013-03,$1.06B
2013-04,$1.02B
2013-05,$1.22B
2013-06,$1.19B
2013-07,$1.27B
2013-08,$1.4B
2013-09,$1.65B
2013-10,$1.78B
2013-11,$2.38B
2013-12,$2.53B
2014-01,$2.57B
2014-02,$2.95B
2014-03,$3.02B
2014-04,$2.72B
2014-05,$3.48B
2014-06,$3.75B
2014-07,$4.07B
2014-08,$4.29B
2014-09,$4.93B
2014-10,$4.87B
2014-11,$4.9B
2014-12,$5.94B
2015-01,$6.05B
2015-02,$5.95B
2015-03,$6.26B
2015-04,$6.09B
2015-05,$7.58B
2015-06,$6.66B
2015-07,$6.4B
2015-08,$4.79B
2015-09,$4.16B
2015-10,$4.44B
2015-11,$4.45B
2015-12,$3.46B
2016-01,$3.05B
2016-02,$2.74B
2016-03,$2.9B
2016-04,$3.03B
2016-05,$2.93B
2016-06,$2.26B
2016-07,$2.73B
2016-08,$3.47B
2016-09,$3.12B
2016-10,$3.55B
2016-11,$3.74B
2016-12,$3.62B
2017-01,$3.71B
2017-02,$4.91B
2017-03,$5.54B
2017-04,$6.01B
2017-05,$6.74B
2017-06,$6.78B
2017-07,$6.85B
2017-08,$6.74B
2017-09,$6.56B
2017-10,$7.66B
2017-11,$8.23B
2017-12,$8.78B
2018-01,$9.17B
2018-02,$9.14B
2018-03,$8.44B
2018-04,$8.12B
2018-05,$7.65B
2018-06,$6.93B
2018-07,$7.38B
2018-08,$7.71B
2018-09,$7.62B
2018-10,$6.38B
2018-11,$6.82B
2018-12,$5.82B
2019-01,$6.52B
2019-02,$6.54B
2019-03,$6.09B
2019-04,$7.21B
2019-05,$5.84B
2019-06,$6.68B
2019-07,$6.88B
2019-08,$6.01B
2019-09,$6.26B
2019-10,$7.61B
2019-11,$7.77B
2019-12,$8.32B
2020-01,$7.95B
2020-02,$7.2B
2020-03,$5.81B
2020-05,$6.45B
2020-06,$7.03B
2020-07,$6.41B
2020-08,$6.56B
2020-09,$7.17B
2020-10,$6.94B
2020-11,$7.31B
2020-12,$7.65B
2021-02,$9.35B
2021-03,$10.18B
2021-04,$10.05B
2021-05,$10.23B
2021-06,$10.55B
2021-07,$10.47B
2021-08,$10.62B
2021-09,$11.06B
2021-10,$10.01B
2021-11,$11.17B
2021-12,$11.34B
