timeline,株式会社東芝
2006-03,$19.39B
2006-04,$20.55B
2006-05,$21.26B
2006-06,$21.17B
2006-07,$21.0B
2006-08,$23.69B
2006-09,$21.7B
2006-10,$20.97B
2006-11,$20.99B
2006-12,$21.96B
2007-01,$21.81B
2007-02,$21.19B
2007-03,$22.3B
2007-04,$25.41B
2007-05,$25.78B
2007-06,$30.46B
2007-07,$31.79B
2007-08,$29.58B
2007-09,$30.4B
2007-10,$27.34B
2007-11,$25.55B
2007-12,$23.71B
2008-01,$20.34B
2008-02,$22.58B
2008-03,$18.87B
2008-04,$24.42B
2008-05,$26.32B
2008-06,$22.18B
2008-07,$20.0B
2008-08,$17.4B
2008-09,$12.78B
2008-10,$9.94B
2008-11,$9.86B
2008-12,$10.37B
2009-01,$9.01B
2009-02,$6.8B
2009-03,$7.2B
2009-04,$9.52B
2009-05,$10.11B
2009-06,$10.8B
2009-07,$12.96B
2009-08,$14.75B
2009-09,$14.53B
2009-10,$16.35B
2009-11,$18.17B
2009-12,$20.27B
2010-01,$19.72B
2010-02,$17.65B
2010-03,$18.05B
2010-04,$20.48B
2010-05,$17.45B
2010-06,$16.62B
2010-07,$16.88B
2010-08,$14.75B
2010-09,$15.09B
2010-10,$15.05B
2010-11,$16.28B
2010-12,$16.5B
2011-01,$18.11B
2011-02,$19.98B
2011-03,$15.2B
2011-04,$15.94B
2011-05,$16.06B
2011-06,$15.76B
2011-07,$14.94B
2011-08,$12.42B
2011-09,$11.95B
2011-10,$13.03B
2011-11,$12.96B
2011-12,$11.76B
2012-01,$12.06B
2012-02,$13.29B
2012-03,$13.59B
2012-04,$12.28B
2012-05,$11.01B
2012-06,$11.2B
2012-07,$9.86B
2012-08,$9.33B
2012-10,$11.05B
2012-11,$10.49B
2012-12,$12.58B
2013-01,$15.16B
2013-02,$15.94B
2013-03,$17.62B
2013-04,$20.05B
2013-05,$18.22B
2013-06,$17.81B
2013-07,$15.87B
2013-08,$14.6B
2013-09,$16.43B
2013-10,$15.53B
2013-11,$16.5B
2014-01,$16.13B
2014-02,$16.43B
2014-03,$16.31B
2014-04,$14.93B
2014-05,$15.57B
2014-06,$17.66B
2014-07,$17.25B
2014-08,$17.12B
2014-09,$18.97B
2014-10,$18.05B
2014-11,$19.69B
2014-12,$19.13B
2015-01,$17.72B
2015-02,$18.46B
2015-03,$18.82B
2015-04,$17.96B
2015-05,$16.26B
2015-06,$15.72B
2015-07,$14.19B
2015-08,$14.33B
2015-09,$11.21B
2015-10,$12.81B
2015-11,$11.23B
2015-12,$9.33B
2016-01,$7.43B
2016-02,$6.53B
2016-03,$8.17B
2016-04,$8.77B
2016-05,$10.21B
2016-06,$10.32B
2016-07,$10.05B
2016-08,$12.21B
2016-09,$12.51B
2016-10,$14.22B
2016-11,$15.87B
2016-12,$10.57B
2017-01,$9.04B
2017-02,$7.77B
2017-03,$9.01B
2017-04,$8.41B
2017-05,$9.41B
2017-06,$10.15B
2017-07,$9.18B
2017-08,$11.42B
2017-09,$11.76B
2017-10,$12.28B
2017-11,$10.3B
2017-12,$11.83B
2018-01,$17.87B
2018-02,$18.21B
2018-03,$17.7B
2018-04,$16.83B
2018-05,$17.58B
2018-06,$19.13B
2018-07,$19.71B
2018-08,$19.07B
2018-09,$18.87B
2018-10,$19.42B
2018-11,$18.16B
2018-12,$15.64B
2019-01,$16.99B
2019-02,$16.92B
2019-03,$17.09B
2019-04,$17.51B
2019-05,$16.05B
2019-06,$14.93B
2019-07,$15.57B
2019-08,$14.74B
2019-09,$13.67B
2019-10,$14.96B
2019-11,$15.87B
2019-12,$14.82B
2020-01,$14.0B
2020-02,$11.7B
2020-03,$9.52B
2020-04,$10.53B
2020-05,$11.77B
2020-06,$13.74B
2020-07,$13.64B
2020-08,$13.3B
2020-09,$11.31B
2020-10,$11.04B
2020-11,$11.18B
2020-12,$11.92B
2021-01,$11.9B
2021-02,$14.08B
2021-03,$14.86B
2021-04,$17.5B
2021-05,$18.16B
2021-06,$18.91B
2021-07,$19.28B
2021-08,$18.63B
2021-09,$19.14B
2021-10,$18.74B
2021-11,$18.29B
2021-12,$17.94B
