timeline,三菱電機株式会社
2009-09,$16.29B
2009-10,$16.84B
2009-11,$15.18B
2009-12,$15.81B
2010-01,$16.79B
2010-02,$17.61B
2010-03,$19.85B
2010-04,$19.22B
2010-05,$17.61B
2010-06,$16.94B
2010-07,$18.63B
2010-08,$17.0B
2010-09,$18.39B
2010-10,$19.82B
2010-11,$21.11B
2010-12,$22.43B
2011-01,$23.65B
2011-02,$25.41B
2011-03,$25.34B
2011-04,$23.45B
2011-05,$24.28B
2011-06,$24.74B
2011-07,$25.04B
2011-08,$21.21B
2011-09,$19.44B
2011-10,$20.83B
2011-11,$19.6B
2011-12,$20.39B
2012-01,$19.22B
2012-02,$19.44B
2012-03,$19.09B
2012-04,$18.88B
2012-05,$16.76B
2012-06,$17.85B
2012-07,$17.18B
2012-08,$17.38B
2012-09,$15.93B
2012-10,$16.06B
2012-11,$16.77B
2012-12,$18.25B
2013-01,$17.84B
2013-02,$17.55B
2013-03,$17.26B
2013-04,$20.36B
2013-05,$20.74B
2013-06,$20.25B
2013-07,$20.87B
2013-08,$21.42B
2013-09,$22.6B
2013-10,$23.42B
2013-11,$24.81B
2013-12,$27.01B
2014-01,$24.61B
2014-02,$25.33B
2014-03,$24.24B
2014-04,$24.34B
2014-05,$24.92B
2014-06,$26.46B
2014-07,$28.71B
2014-08,$26.95B
2014-09,$28.66B
2014-10,$27.45B
2014-11,$25.99B
2014-12,$25.98B
2015-01,$24.99B
2015-02,$25.19B
2015-03,$25.55B
2015-04,$28.22B
2015-05,$29.56B
2015-06,$27.68B
2015-07,$23.07B
2015-08,$21.45B
2015-09,$19.52B
2015-10,$22.53B
2015-11,$23.82B
2015-12,$22.85B
2016-01,$19.85B
2016-02,$21.59B
2016-03,$22.53B
2016-04,$23.79B
2016-05,$25.94B
2016-06,$25.22B
2016-07,$24.93B
2016-08,$28.17B
2016-09,$27.19B
2016-10,$29.19B
2016-11,$30.07B
2017-01,$32.5B
2017-02,$31.35B
2017-03,$30.65B
2017-04,$29.98B
2017-05,$29.56B
2017-06,$30.94B
2017-07,$33.22B
2017-08,$31.59B
2017-09,$33.53B
2017-10,$36.67B
2017-11,$35.48B
2017-12,$35.57B
2018-01,$39.31B
2018-02,$36.28B
2018-03,$34.28B
2018-04,$33.07B
2018-05,$30.49B
2018-06,$28.63B
2018-07,$29.22B
2018-08,$28.99B
2018-09,$29.45B
2018-10,$27.2B
2018-11,$28.34B
2018-12,$23.65B
2019-01,$26.88B
2019-02,$26.98B
2019-03,$27.58B
2019-04,$30.38B
2019-05,$26.68B
2019-06,$28.24B
2019-07,$28.3B
2019-08,$25.86B
2019-09,$28.46B
2019-10,$30.68B
2019-11,$29.6B
2019-12,$29.52B
2020-01,$30.43B
2020-02,$26.81B
2020-03,$26.5B
2020-04,$26.97B
2020-05,$28.26B
2020-06,$27.9B
2020-07,$27.93B
2020-08,$29.18B
2020-09,$29.44B
2020-10,$28.14B
2020-11,$30.3B
2020-12,$31.85B
2021-01,$33.5B
2021-02,$33.16B
2021-03,$33.36B
2021-04,$32.49B
2021-05,$33.15B
2021-06,$33.49B
2021-07,$28.95B
2021-08,$29.34B
2021-09,$30.32B
2021-10,$29.52B
2021-11,$28.5B
2021-12,$27.89B
