timeline,株式会社安川電機
2006-03,$2.72B
2006-04,$2.87B
2006-05,$2.49B
2006-06,$2.73B
2006-07,$2.72B
2006-08,$2.77B
2006-09,$2.38B
2006-10,$2.56B
2006-11,$2.61B
2006-12,$2.82B
2007-01,$2.85B
2007-02,$2.64B
2007-03,$2.85B
2007-04,$2.96B
2007-05,$2.84B
2007-06,$3.03B
2007-07,$3.14B
2007-08,$3.05B
2007-09,$3.09B
2007-10,$3.31B
2007-11,$3.14B
2007-12,$3.29B
2008-01,$2.41B
2008-02,$2.52B
2008-03,$2.1B
2008-04,$2.34B
2008-05,$2.68B
2008-06,$2.31B
2008-07,$2.04B
2008-08,$1.71B
2008-09,$1.29B
2008-10,$0.94B
2008-11,$0.92B
2008-12,$0.79B
2009-01,$0.74B
2009-02,$0.86B
2009-03,$0.94B
2009-04,$1.01B
2009-05,$1.12B
2009-06,$1.43B
2009-07,$1.49B
2009-09,$1.44B
2009-10,$1.62B
2009-11,$1.44B
2009-12,$1.71B
2010-01,$1.66B
2010-02,$1.56B
2010-03,$1.9B
2010-04,$1.86B
2010-05,$1.59B
2010-06,$1.48B
2010-07,$1.45B
2010-08,$1.29B
2010-09,$1.49B
2010-10,$1.4B
2010-11,$1.61B
2010-12,$1.7B
2011-01,$1.97B
2011-02,$2.12B
2011-03,$2.19B
2011-04,$2.09B
2011-05,$1.96B
2011-06,$1.99B
2011-07,$1.9B
2011-08,$1.54B
2011-09,$1.31B
2011-10,$1.53B
2011-11,$1.42B
2011-12,$1.45B
2012-01,$1.49B
2012-02,$1.73B
2012-04,$1.56B
2012-05,$1.31B
2012-06,$1.33B
2012-07,$1.26B
2012-08,$1.14B
2012-09,$1.16B
2012-10,$1.27B
2012-11,$1.46B
2012-12,$1.83B
2013-01,$1.9B
2013-02,$1.86B
2013-03,$2.07B
2013-04,$2.64B
2013-05,$2.79B
2013-06,$2.68B
2013-07,$2.6B
2013-08,$2.59B
2013-09,$3.06B
2013-10,$2.81B
2013-11,$3.05B
2013-12,$3.69B
2014-01,$3.15B
2014-02,$3.36B
2014-03,$3.17B
2014-04,$2.56B
2014-05,$2.77B
2014-06,$2.72B
2014-07,$3.01B
2014-08,$2.97B
2014-09,$3.3B
2014-10,$3.12B
2014-11,$3.42B
2014-12,$3.44B
2015-01,$3.38B
2015-02,$3.71B
2015-03,$4.04B
2015-04,$3.81B
2015-05,$4.02B
2015-06,$3.62B
2015-07,$3.39B
2015-08,$3.22B
2015-09,$2.82B
2015-10,$3.37B
2015-11,$3.81B
2015-12,$3.9B
2016-01,$3.09B
2016-02,$3.18B
2016-03,$3.05B
2016-04,$3.08B
2016-05,$3.3B
2016-06,$3.11B
2016-07,$3.34B
2016-08,$3.58B
2016-09,$3.52B
2016-10,$3.94B
2016-11,$4.12B
2016-12,$4.27B
2017-01,$4.79B
2017-02,$4.95B
2017-03,$5.25B
2017-04,$5.0B
2017-05,$5.18B
2017-06,$5.59B
2017-07,$6.96B
2017-08,$7.82B
2017-09,$8.37B
2017-10,$9.49B
2017-11,$11.63B
2017-12,$11.66B
2018-01,$13.2B
2018-02,$11.76B
2018-03,$11.32B
2018-04,$10.43B
2018-05,$10.27B
2018-06,$9.14B
2018-07,$8.56B
2018-08,$8.7B
2018-09,$7.88B
2018-10,$7.62B
2018-11,$8.26B
2018-12,$6.3B
2019-01,$7.14B
2019-02,$7.36B
2019-03,$8.09B
2019-04,$9.53B
2019-05,$7.3B
2019-06,$8.48B
2019-07,$8.45B
2019-08,$8.27B
2019-09,$9.18B
2019-10,$9.68B
2019-11,$9.31B
2019-12,$9.66B
2020-01,$8.97B
2020-02,$7.84B
2020-03,$6.86B
2020-05,$8.44B
2020-06,$8.79B
2020-07,$8.73B
2020-08,$8.5B
2020-09,$9.31B
2020-10,$9.46B
2020-11,$10.61B
2020-12,$11.52B
2021-01,$12.93B
2021-02,$13.12B
2021-03,$12.29B
2021-04,$12.65B
2021-05,$11.63B
2021-06,$12.16B
2021-07,$12.53B
2021-08,$12.98B
2021-09,$14.04B
2021-10,$11.73B
2021-11,$12.11B
2021-12,$12.79B
