timeline,株式会社マキタ
2001-01,$1.13B
2001-02,$1.02B
2001-03,$1.04B
2001-04,$1.07B
2001-05,$1.01B
2001-06,$1.06B
2001-07,$0.99B
2001-08,$1.01B
2001-09,$0.86B
2001-10,$0.89B
2001-11,$0.98B
2001-12,$0.87B
2002-01,$0.9B
2002-02,$1.05B
2002-03,$1.16B
2002-04,$1.14B
2002-05,$1.1B
2002-06,$1.04B
2002-07,$1.01B
2002-08,$0.94B
2002-09,$0.93B
2002-10,$1.06B
2002-11,$1.21B
2002-12,$1.16B
2003-01,$1.04B
2003-02,$1.07B
2003-03,$1.12B
2003-04,$1.21B
2003-05,$1.25B
2003-06,$1.32B
2003-07,$1.3B
2003-08,$1.42B
2003-09,$1.37B
2003-10,$1.47B
2003-11,$1.35B
2003-12,$1.45B
2004-01,$1.53B
2004-02,$1.75B
2004-04,$1.95B
2004-05,$2.02B
2004-06,$2.13B
2004-07,$2.06B
2004-08,$2.11B
2004-09,$2.03B
2004-10,$1.91B
2004-11,$2.08B
2004-12,$2.34B
2005-01,$2.43B
2005-02,$2.6B
2005-03,$2.48B
2005-04,$2.51B
2005-05,$2.69B
2005-06,$2.76B
2005-07,$3.0B
2005-08,$2.79B
2005-09,$2.92B
2005-10,$3.41B
2005-11,$3.73B
2005-12,$3.68B
2006-01,$4.32B
2006-02,$4.31B
2006-03,$4.6B
2006-04,$4.28B
2006-05,$4.4B
2006-06,$4.59B
2006-07,$4.76B
2006-08,$4.37B
2006-09,$4.4B
2006-10,$4.41B
2006-11,$4.23B
2006-12,$4.62B
2007-01,$5.28B
2007-02,$5.51B
2007-03,$5.62B
2007-04,$5.88B
2007-05,$6.51B
2007-06,$7.05B
2007-07,$7.08B
2007-08,$5.77B
2007-09,$6.49B
2007-10,$7.09B
2007-11,$6.34B
2007-12,$6.1B
2008-01,$5.07B
2008-02,$4.86B
2008-03,$3.97B
2008-04,$4.54B
2008-05,$5.63B
2008-06,$5.39B
2008-07,$4.62B
2008-08,$3.54B
2008-09,$2.61B
2008-10,$2.17B
2008-11,$2.3B
2008-12,$2.39B
2009-01,$2.02B
2009-02,$2.38B
2009-03,$2.79B
2009-04,$2.86B
2009-05,$2.68B
2009-06,$2.84B
2009-07,$2.85B
2009-08,$3.19B
2009-09,$3.46B
2009-10,$3.74B
2009-11,$3.55B
2009-12,$3.85B
2010-01,$3.67B
2010-02,$3.46B
2010-03,$3.74B
2010-04,$3.55B
2010-05,$3.09B
2010-06,$2.91B
2010-07,$3.03B
2010-08,$2.9B
2010-09,$3.21B
2010-10,$3.43B
2010-11,$3.67B
2010-12,$4.03B
2011-01,$4.32B
2011-02,$4.18B
2011-03,$4.7B
2011-04,$4.5B
2011-05,$4.19B
2011-06,$4.53B
2011-07,$4.41B
2011-08,$3.81B
2011-09,$3.39B
2011-10,$3.61B
2011-11,$3.19B
2011-12,$3.03B
2012-01,$3.47B
2012-02,$4.07B
2012-03,$4.0B
2012-04,$3.7B
2012-05,$3.19B
2012-06,$3.32B
2012-07,$3.16B
2012-08,$3.19B
2012-09,$3.63B
2012-10,$3.78B
2012-11,$4.16B
2012-12,$4.75B
2013-01,$5.33B
2013-02,$5.03B
2013-03,$5.12B
2013-04,$7.1B
2013-05,$6.59B
2013-06,$6.41B
2013-07,$6.12B
2013-08,$6.24B
2013-09,$6.82B
2013-10,$5.92B
2013-11,$6.12B
2013-12,$6.61B
2014-01,$6.45B
2014-02,$6.77B
2014-03,$6.79B
2014-04,$6.49B
2014-05,$6.64B
2014-06,$7.49B
2014-07,$7.41B
2014-08,$6.95B
2014-09,$7.42B
2014-10,$7.41B
2014-11,$7.13B
2014-12,$6.56B
2015-01,$6.31B
2015-02,$6.81B
2015-03,$7.47B
2015-04,$7.22B
2015-05,$8.11B
2015-06,$7.95B
2015-07,$8.2B
2015-08,$8.22B
2015-09,$7.57B
2015-10,$7.98B
2015-11,$8.36B
2015-12,$8.41B
2016-01,$8.01B
2016-02,$7.93B
2016-03,$8.35B
2016-04,$8.28B
2016-05,$8.59B
2016-06,$8.09B
2016-07,$8.68B
2016-08,$8.89B
2016-09,$8.57B
2016-10,$8.7B
2016-11,$9.27B
2016-12,$9.37B
2017-01,$9.39B
2017-02,$9.31B
2017-03,$9.33B
2017-04,$9.51B
2017-05,$9.98B
2017-06,$9.94B
2017-07,$10.33B
2017-08,$10.57B
2017-09,$10.85B
2017-10,$11.37B
2017-11,$11.11B
2017-12,$11.33B
2018-01,$12.3B
2018-02,$12.13B
2018-03,$12.45B
2018-04,$11.78B
2018-05,$11.63B
2018-06,$11.88B
2018-07,$11.99B
2018-08,$12.06B
2018-09,$13.62B
2018-10,$9.35B
2018-11,$10.66B
2018-12,$9.35B
2019-01,$9.21B
2019-02,$9.44B
2019-03,$9.23B
2019-04,$9.69B
2019-05,$9.12B
2019-06,$8.76B
2019-07,$8.6B
2019-08,$7.48B
2019-09,$8.14B
2019-10,$8.82B
2019-11,$8.66B
2019-12,$9.12B
2020-01,$10.18B
2020-02,$9.06B
2020-03,$7.94B
2020-04,$8.43B
2020-05,$8.74B
2020-06,$9.37B
2020-07,$9.73B
2020-08,$11.75B
2020-09,$11.95B
2020-10,$11.65B
2020-11,$12.91B
2020-12,$12.61B
2021-01,$12.33B
2021-02,$11.31B
2021-03,$11.62B
2021-04,$12.03B
2021-05,$11.88B
2021-06,$12.24B
2021-07,$13.19B
2021-08,$14.43B
2021-09,$16.93B
2021-10,$13.57B
2021-11,$12.57B
2021-12,$12.07B
