timeline,日本電産株式会社
2010-12,$14.72B
2011-03,$11.97B
2011-11,$12.04B
2011-12,$11.75B
2012-12,$7.87B
2013-04,$9.13B
2013-05,$9.23B
2013-06,$9.5B
2013-07,$10.95B
2013-08,$10.03B
2013-09,$11.11B
2013-10,$13.36B
2013-11,$13.35B
2013-12,$13.54B
2014-01,$15.46B
2014-02,$16.86B
2014-03,$16.83B
2014-04,$15.64B
2014-05,$16.04B
2014-06,$16.9B
2014-07,$18.17B
2014-08,$17.64B
2014-09,$18.71B
2014-10,$18.24B
2014-11,$18.42B
2014-12,$18.44B
2015-01,$19.16B
2015-02,$18.98B
2015-03,$19.57B
2015-04,$22.14B
2015-05,$21.57B
2015-06,$22.08B
2015-07,$26.45B
2015-08,$23.18B
2015-09,$20.36B
2015-10,$22.6B
2015-11,$23.1B
2015-12,$21.87B
2016-01,$20.31B
2016-02,$19.83B
2016-03,$20.32B
2016-04,$22.46B
2016-05,$22.9B
2016-06,$22.28B
2016-07,$26.7B
2016-08,$26.87B
2016-09,$27.14B
2016-10,$28.84B
2016-11,$27.0B
2016-12,$25.72B
2017-01,$27.68B
2017-02,$27.59B
2017-03,$28.11B
2017-04,$27.25B
2017-05,$29.37B
2017-06,$30.42B
2017-07,$32.58B
2017-08,$33.39B
2017-09,$36.37B
2017-10,$39.29B
2017-11,$40.36B
2017-12,$41.46B
2018-01,$47.51B
2018-02,$47.55B
2018-03,$45.56B
2018-04,$46.49B
2018-05,$45.93B
2018-06,$44.52B
2018-07,$43.1B
2018-08,$42.75B
2018-09,$42.48B
2018-10,$37.73B
2018-11,$39.24B
2018-12,$33.28B
2019-01,$35.19B
2019-02,$35.78B
2019-03,$37.31B
2019-04,$41.6B
2019-05,$36.57B
2019-06,$40.22B
2019-07,$39.89B
2019-08,$38.31B
2019-09,$39.59B
2019-10,$43.51B
2019-12,$40.56B
2020-01,$37.95B
2020-02,$34.3B
2020-03,$30.39B
2020-04,$32.08B
2020-05,$36.04B
2020-06,$39.18B
2020-07,$42.06B
2020-08,$48.36B
2020-09,$51.99B
2020-10,$57.6B
2020-11,$66.44B
2020-12,$73.42B
2021-01,$79.11B
2021-02,$78.8B
2021-03,$71.57B
2021-04,$72.28B
2021-05,$66.11B
2021-06,$66.96B
2021-07,$68.29B
2021-08,$67.77B
2021-09,$71.47B
2021-10,$64.3B
2021-11,$66.88B
2021-12,$69.48B
