timeline,オムロン株式会社
2006-03,$6.86B
2006-04,$6.68B
2006-05,$6.24B
2006-06,$5.97B
2006-08,$5.69B
2006-09,$6.0B
2006-10,$6.22B
2006-11,$6.41B
2006-12,$7.01B
2007-01,$6.68B
2007-02,$6.74B
2007-03,$6.49B
2007-04,$6.74B
2007-05,$6.49B
2007-06,$6.76B
2007-07,$6.57B
2007-08,$6.28B
2007-09,$6.26B
2007-10,$5.78B
2007-11,$5.98B
2007-12,$5.52B
2008-01,$4.58B
2008-02,$4.84B
2008-03,$4.25B
2008-04,$4.5B
2008-05,$4.8B
2008-06,$4.73B
2008-07,$4.05B
2008-08,$4.07B
2008-09,$3.45B
2008-10,$2.97B
2008-11,$2.66B
2008-12,$2.53B
2009-01,$2.26B
2009-02,$2.3B
2009-03,$2.25B
2009-04,$2.81B
2009-05,$2.82B
2009-06,$2.72B
2009-07,$2.94B
2009-08,$3.1B
2009-09,$3.28B
2009-10,$3.0B
2009-11,$2.8B
2009-12,$3.15B
2010-01,$3.51B
2010-02,$3.74B
2010-03,$4.2B
2010-04,$4.22B
2010-05,$3.74B
2010-06,$3.77B
2010-07,$4.06B
2010-08,$3.46B
2010-09,$3.69B
2010-10,$3.6B
2010-11,$4.04B
2010-12,$4.2B
2011-01,$4.11B
2011-02,$4.41B
2011-03,$4.54B
2011-04,$4.28B
2011-05,$4.05B
2011-06,$4.33B
2011-07,$4.19B
2011-08,$3.48B
2011-09,$3.19B
2011-10,$3.61B
2011-11,$3.37B
2011-12,$2.97B
2012-01,$2.96B
2012-02,$3.47B
2012-03,$3.42B
2012-04,$3.29B
2012-05,$3.0B
2012-06,$3.57B
2012-07,$3.32B
2012-08,$3.22B
2012-09,$3.16B
2012-10,$3.33B
2012-11,$3.83B
2012-12,$3.96B
2013-01,$4.25B
2013-02,$4.39B
2013-03,$4.48B
2013-04,$5.98B
2013-05,$6.01B
2013-06,$5.78B
2013-07,$5.7B
2013-08,$5.79B
2013-09,$6.88B
2013-10,$7.26B
2013-11,$8.18B
2013-12,$9.01B
2014-01,$7.94B
2014-02,$8.3B
2014-03,$8.27B
2014-04,$7.0B
2014-05,$7.41B
2014-06,$8.29B
2014-07,$8.99B
2014-08,$8.74B
2014-09,$9.66B
2014-10,$10.05B
2014-11,$10.71B
2014-12,$10.44B
2015-01,$9.11B
2015-02,$10.11B
2015-03,$10.38B
2015-04,$10.57B
2015-05,$11.09B
2015-06,$10.19B
2015-07,$9.32B
2015-08,$8.73B
2015-09,$6.87B
2015-10,$7.73B
2015-11,$8.67B
2015-12,$7.66B
2016-01,$5.82B
2016-02,$5.53B
2016-03,$6.31B
2016-04,$6.71B
2016-05,$6.73B
2016-06,$6.24B
2016-07,$6.48B
2016-08,$6.62B
2016-09,$6.8B
2016-10,$7.6B
2016-11,$7.95B
2016-12,$8.45B
2017-01,$8.74B
2017-02,$9.1B
2017-03,$9.21B
2017-04,$8.79B
2017-05,$8.73B
2017-06,$9.19B
2017-07,$10.39B
2017-08,$10.4B
2017-09,$10.8B
2017-10,$11.88B
2017-11,$12.46B
2017-12,$12.63B
2018-01,$12.8B
2018-02,$11.88B
2018-03,$11.69B
2018-04,$11.06B
2018-05,$10.63B
2018-06,$9.59B
2018-07,$9.35B
2018-08,$9.21B
2018-09,$8.88B
2018-10,$8.44B
2018-11,$9.16B
2018-12,$7.3B
2019-01,$8.12B
2019-02,$8.75B
2019-03,$9.43B
2019-04,$10.77B
2019-05,$9.34B
2019-06,$10.18B
2019-07,$9.52B
2019-08,$9.56B
2019-09,$10.74B
2019-10,$11.63B
2019-11,$11.69B
2019-12,$11.62B
2020-01,$11.65B
2020-02,$10.57B
2020-03,$10.02B
2020-04,$11.35B
2020-05,$12.74B
2020-06,$12.84B
2020-07,$13.25B
2020-08,$13.86B
2020-09,$14.32B
2020-10,$13.89B
2020-11,$15.58B
2020-12,$16.3B
2021-01,$16.8B
2021-02,$16.99B
2021-03,$15.87B
2021-04,$15.51B
2021-05,$14.94B
2021-06,$15.27B
2021-07,$16.42B
2021-08,$18.04B
2021-09,$20.93B
2021-10,$19.03B
2021-11,$20.13B
2021-12,$20.32B
