timeline,日本電気株式会社
2001-01,$34.11B
2001-02,$27.41B
2001-03,$29.17B
2001-04,$32.93B
2001-05,$28.43B
2001-06,$24.6B
2001-07,$24.37B
2001-08,$21.19B
2001-09,$15.58B
2001-10,$16.21B
2001-11,$18.28B
2001-12,$19.52B
2002-01,$15.45B
2002-02,$14.21B
2002-03,$15.7B
2002-04,$14.46B
2002-05,$13.51B
2002-06,$12.18B
2002-07,$10.44B
2002-08,$9.65B
2002-09,$8.57B
2002-10,$6.57B
2002-11,$7.64B
2002-12,$6.48B
2003-01,$6.28B
2003-02,$6.42B
2003-03,$5.71B
2003-04,$5.45B
2003-05,$7.18B
2003-06,$8.76B
2003-07,$10.83B
2003-08,$12.7B
2003-09,$12.27B
2003-10,$14.18B
2003-11,$11.59B
2003-12,$11.52B
2004-01,$11.99B
2004-02,$11.74B
2004-03,$14.56B
2004-04,$14.75B
2004-05,$13.62B
2004-06,$13.06B
2004-07,$11.82B
2004-08,$11.92B
2004-09,$11.21B
2004-10,$10.0B
2004-11,$9.68B
2004-12,$10.83B
2005-01,$10.1B
2005-02,$11.55B
2005-03,$11.02B
2005-04,$9.83B
2005-05,$10.26B
2005-06,$10.21B
2005-07,$9.78B
2005-08,$10.02B
2005-09,$10.46B
2005-10,$9.75B
2005-11,$12.33B
2005-12,$12.48B
2006-01,$12.93B
2006-02,$12.26B
2006-03,$14.07B
2006-04,$13.56B
2006-05,$11.36B
2006-06,$10.38B
2006-07,$10.78B
2006-08,$11.62B
2006-09,$11.04B
2006-10,$10.24B
2006-11,$9.41B
2006-12,$9.68B
2007-01,$10.38B
2007-02,$10.68B
2007-03,$11.31B
2007-04,$11.42B
2007-05,$11.09B
2007-06,$11.42B
2007-07,$10.5B
2007-08,$9.79B
2007-09,$9.98B
2007-10,$10.2B
2007-11,$9.29B
2007-12,$9.22B
2008-01,$7.8B
2008-02,$8.21B
2008-03,$6.78B
2008-04,$8.76B
2008-05,$10.0B
2008-06,$9.93B
2008-07,$10.59B
2008-08,$9.1B
2008-09,$7.85B
2008-10,$5.05B
2008-11,$4.78B
2008-12,$5.3B
2009-01,$4.37B
2009-02,$4.16B
2009-03,$4.72B
2009-04,$5.83B
2009-05,$6.64B
2009-06,$6.78B
2009-07,$5.94B
2009-08,$6.01B
2009-09,$5.05B
2009-10,$4.72B
2009-11,$3.9B
2009-12,$4.28B
2010-01,$4.19B
2010-02,$4.42B
2010-03,$6.44B
2010-04,$7.15B
2010-05,$5.89B
2010-06,$5.34B
2010-08,$4.9B
2010-09,$5.09B
2010-10,$5.13B
2010-11,$5.29B
2010-12,$5.59B
2011-01,$5.34B
2011-02,$5.15B
2011-03,$4.15B
2011-04,$3.87B
2011-05,$3.89B
2011-06,$4.19B
2011-07,$4.03B
2011-08,$3.57B
2011-09,$3.64B
2011-10,$4.05B
2011-11,$3.73B
2011-12,$3.57B
2012-01,$3.48B
2012-02,$3.64B
2012-03,$3.96B
2012-04,$3.32B
2012-05,$2.59B
2012-06,$2.82B
2012-07,$2.4B
2012-08,$2.57B
2012-09,$2.84B
2012-10,$3.51B
2012-11,$3.3B
2012-12,$4.15B
2013-01,$5.11B
2013-02,$5.25B
2013-03,$5.61B
2013-04,$5.8B
2013-05,$5.48B
2013-06,$4.97B
2013-07,$5.09B
2013-08,$4.79B
2013-09,$5.2B
2013-10,$5.04B
2013-11,$5.18B
2013-12,$5.43B
2014-01,$6.85B
2014-02,$7.86B
2014-03,$7.26B
2014-04,$6.57B
2014-05,$7.19B
2014-06,$7.4B
2014-07,$9.23B
2014-08,$8.48B
2014-09,$8.68B
2014-10,$8.84B
2014-11,$8.54B
2014-12,$8.09B
2015-01,$7.65B
2015-02,$8.34B
2015-03,$8.09B
2015-04,$9.21B
2015-05,$9.35B
2015-06,$8.5B
2015-07,$9.07B
2015-08,$8.78B
2015-09,$8.41B
2015-10,$8.59B
2015-11,$9.44B
2015-12,$8.82B
2016-01,$7.24B
2016-02,$6.55B
2016-03,$6.48B
2016-04,$6.19B
2016-05,$5.98B
2016-06,$5.43B
2016-07,$6.51B
2016-08,$6.03B
2016-09,$5.93B
2016-10,$6.44B
2016-11,$6.83B
2016-12,$7.1B
2017-01,$5.98B
2017-02,$6.42B
2017-03,$6.14B
2017-04,$6.35B
2017-05,$6.58B
2017-06,$6.83B
2017-07,$6.87B
2017-08,$6.67B
2017-09,$6.99B
2017-10,$7.1B
2017-11,$6.87B
2017-12,$6.96B
2018-01,$7.54B
2018-02,$7.47B
2018-03,$6.85B
2018-04,$6.88B
2018-05,$7.03B
2018-06,$6.96B
2018-07,$7.1B
2018-08,$7.03B
2018-09,$7.19B
2018-10,$7.42B
2018-11,$8.06B
2018-12,$7.48B
2019-01,$8.36B
2019-02,$8.51B
2019-03,$8.58B
2019-04,$8.57B
2019-05,$9.22B
2019-06,$9.71B
2019-07,$10.26B
2019-08,$10.42B
2019-09,$10.44B
2019-10,$9.85B
2019-11,$10.02B
2019-12,$10.35B
2020-01,$11.27B
2020-02,$9.58B
2020-03,$9.03B
2020-04,$9.52B
2020-05,$11.07B
2020-06,$11.83B
2020-07,$13.47B
2020-08,$13.12B
2020-09,$14.72B
2020-10,$13.46B
2020-11,$13.41B
2020-12,$13.23B
2021-01,$13.89B
2021-02,$14.91B
2021-03,$15.69B
2021-04,$15.42B
2021-05,$12.4B
2021-06,$12.84B
2021-07,$13.41B
2021-08,$13.95B
2021-09,$15.38B
2021-10,$14.54B
2021-11,$13.15B
2021-12,$12.86B
