timeline,富士通株式会社
2006-11,$16.92B
2006-12,$16.23B
2007-12,$13.93B
2009-09,$13.37B
2009-10,$12.13B
2009-11,$12.38B
2009-12,$13.35B
2010-01,$12.57B
2010-02,$13.54B
2010-03,$13.48B
2010-04,$14.69B
2010-05,$13.3B
2010-06,$13.05B
2010-07,$14.68B
2010-08,$14.4B
2010-09,$14.62B
2010-10,$13.98B
2010-11,$13.34B
2010-12,$14.46B
2011-01,$12.82B
2011-02,$13.98B
2011-03,$11.69B
2011-04,$11.7B
2011-05,$10.92B
2011-06,$11.74B
2011-07,$12.08B
2011-08,$10.42B
2011-09,$9.95B
2011-10,$11.64B
2011-11,$10.61B
2011-12,$10.65B
2012-01,$11.03B
2012-02,$11.34B
2012-03,$10.96B
2012-04,$10.04B
2012-05,$8.98B
2012-06,$9.88B
2012-07,$8.21B
2012-08,$8.38B
2012-09,$7.81B
2012-10,$7.97B
2012-11,$7.86B
2012-12,$8.66B
2013-01,$8.41B
2013-02,$9.55B
2013-03,$8.53B
2013-04,$8.65B
2013-05,$8.7B
2013-06,$8.61B
2013-07,$7.94B
2013-08,$7.64B
2013-09,$7.74B
2013-10,$8.84B
2013-11,$9.64B
2013-12,$10.73B
2014-01,$11.64B
2014-02,$12.85B
2014-03,$12.55B
2014-04,$12.1B
2014-05,$14.01B
2014-06,$15.48B
2014-07,$16.11B
2014-08,$14.24B
2014-09,$12.77B
2014-10,$12.59B
2014-11,$11.91B
2014-12,$11.16B
2015-01,$10.94B
2015-02,$12.49B
2015-03,$14.12B
2015-04,$13.79B
2015-05,$11.64B
2015-06,$11.54B
2015-07,$10.85B
2015-08,$10.28B
2015-09,$8.95B
2015-10,$9.83B
2015-11,$10.47B
2015-12,$10.42B
2016-01,$8.65B
2016-02,$7.51B
2016-03,$7.67B
2016-04,$7.48B
2016-05,$8.36B
2016-06,$7.53B
2016-07,$8.55B
2016-08,$10.56B
2016-09,$11.04B
2016-10,$12.33B
2016-11,$12.41B
2016-12,$11.55B
2017-01,$11.98B
2017-02,$11.97B
2017-03,$12.49B
2017-04,$12.81B
2017-05,$14.94B
2017-06,$15.15B
2017-07,$15.29B
2017-08,$15.13B
2017-09,$15.24B
2017-10,$15.94B
2017-11,$15.28B
2017-12,$14.58B
2018-01,$15.16B
2018-02,$12.29B
2018-03,$12.61B
2018-04,$12.57B
2018-05,$12.53B
2018-06,$12.42B
2018-07,$14.0B
2018-08,$14.97B
2018-09,$14.59B
2018-10,$12.41B
2018-11,$12.53B
2018-12,$12.62B
2019-01,$13.59B
2019-02,$13.77B
2019-03,$14.67B
2019-04,$14.76B
2019-05,$13.63B
2019-06,$14.13B
2019-07,$15.95B
2019-08,$15.62B
2019-09,$16.25B
2019-10,$17.92B
2019-11,$18.41B
2019-12,$19.11B
2020-01,$21.61B
2020-02,$20.71B
2020-03,$18.08B
2020-04,$19.01B
2020-05,$20.64B
2020-06,$22.59B
2020-07,$26.12B
2020-08,$26.64B
2020-09,$26.25B
2020-10,$25.73B
2020-11,$25.62B
2020-12,$27.45B
2021-01,$31.24B
2021-02,$29.87B
2021-03,$29.24B
2021-04,$30.26B
2021-05,$31.25B
2021-06,$34.92B
2021-07,$37.3B
2021-08,$34.59B
2021-09,$38.62B
2021-10,$35.95B
2021-11,$35.61B
2021-12,$33.67B
