timeline,パナソニック株式会社
2010-03,$26.1B
2010-04,$25.23B
2010-05,$21.19B
2010-06,$20.48B
2010-07,$20.84B
2010-08,$19.49B
2010-09,$20.64B
2010-10,$21.59B
2010-11,$21.98B
2010-12,$21.05B
2011-01,$20.52B
2011-02,$20.1B
2011-03,$19.31B
2011-04,$18.22B
2011-05,$17.41B
2011-06,$19.98B
2011-07,$18.82B
2011-08,$16.49B
2011-09,$15.37B
2011-10,$16.49B
2011-11,$14.82B
2011-12,$13.33B
2012-01,$12.58B
2012-02,$15.47B
2012-03,$15.51B
2012-04,$12.68B
2012-05,$10.6B
2012-06,$13.1B
2012-07,$11.17B
2012-08,$10.84B
2012-09,$10.52B
2012-10,$10.48B
2012-11,$8.21B
2012-12,$10.64B
2013-01,$12.19B
2013-02,$13.61B
2013-03,$13.33B
2013-04,$14.45B
2013-05,$16.08B
2013-06,$16.24B
2013-07,$17.34B
2013-08,$18.22B
2013-09,$19.32B
2013-10,$20.07B
2013-11,$23.95B
2013-12,$24.94B
2014-01,$24.13B
2014-02,$26.0B
2014-03,$23.91B
2014-04,$22.8B
2014-05,$22.27B
2014-06,$25.15B
2014-07,$25.63B
2014-08,$25.9B
2014-09,$26.58B
2014-10,$26.6B
2014-11,$31.23B
2014-12,$29.08B
2015-01,$27.55B
2015-02,$30.47B
2015-03,$32.13B
2015-04,$35.13B
2015-05,$37.31B
2015-06,$34.26B
2015-07,$29.69B
2015-08,$27.25B
2015-09,$26.03B
2015-10,$31.03B
2015-11,$28.48B
2015-12,$25.38B
2016-01,$22.79B
2016-02,$19.53B
2016-03,$22.35B
2016-04,$21.51B
2016-05,$22.31B
2016-06,$19.05B
2016-07,$21.86B
2016-08,$22.95B
2016-09,$21.67B
2016-10,$23.72B
2016-11,$25.17B
2016-12,$25.73B
2017-01,$25.49B
2017-02,$26.67B
2017-03,$25.87B
2017-04,$27.36B
2017-05,$29.21B
2017-06,$31.34B
2017-07,$31.28B
2017-08,$30.14B
2017-09,$33.53B
2017-10,$34.97B
2017-11,$34.3B
2017-12,$33.92B
2018-01,$33.29B
2018-02,$34.49B
2018-03,$31.28B
2018-04,$33.56B
2018-05,$30.63B
2018-06,$30.71B
2018-07,$29.38B
2018-08,$27.1B
2018-09,$27.04B
2018-10,$25.53B
2018-11,$23.79B
2018-12,$20.24B
2019-01,$21.7B
2019-02,$20.94B
2019-03,$19.5B
2019-04,$20.99B
2019-05,$17.78B
2019-06,$18.46B
2019-07,$19.01B
2019-08,$16.87B
2019-09,$18.01B
2019-10,$18.86B
2019-11,$21.22B
2019-12,$21.17B
2020-01,$22.67B
2020-02,$21.19B
2020-03,$16.97B
2020-04,$16.18B
2020-05,$19.81B
2020-06,$19.33B
2020-07,$19.78B
2020-08,$19.35B
2020-09,$19.12B
2020-10,$18.69B
2020-11,$21.89B
2020-12,$24.26B
2021-01,$28.05B
2021-02,$29.63B
2021-03,$28.8B
2021-04,$27.98B
2021-05,$25.38B
2021-06,$26.1B
2021-07,$27.2B
2021-08,$27.91B
2021-09,$29.75B
2021-10,$28.08B
2021-11,$28.28B
2021-12,$25.7B
