timeline,株式会社アドバンテスト
2001-06,$9.37B
2001-07,$8.05B
2001-08,$5.91B
2001-09,$4.69B
2001-10,$5.52B
2001-11,$6.89B
2001-12,$6.51B
2002-01,$6.23B
2002-02,$7.73B
2002-03,$8.44B
2002-04,$8.11B
2002-05,$7.45B
2002-06,$6.56B
2002-07,$5.38B
2002-08,$5.03B
2002-09,$4.16B
2002-10,$3.55B
2002-11,$5.46B
2002-12,$4.68B
2003-01,$4.64B
2003-02,$4.51B
2003-03,$3.66B
2003-04,$3.46B
2003-05,$4.07B
2003-06,$4.61B
2003-07,$5.72B
2003-08,$7.01B
2003-09,$6.42B
2003-10,$7.09B
2003-11,$6.78B
2003-12,$7.36B
2004-01,$7.62B
2004-02,$7.04B
2004-03,$7.39B
2004-04,$7.27B
2004-05,$6.51B
2004-06,$6.33B
2004-07,$5.65B
2004-08,$6.03B
2004-09,$5.68B
2004-10,$6.42B
2004-11,$6.66B
2004-12,$7.62B
2005-01,$7.51B
2005-02,$7.86B
2005-03,$6.7B
2005-04,$6.03B
2005-05,$6.67B
2005-07,$7.33B
2005-08,$7.04B
2005-09,$7.74B
2005-10,$7.35B
2005-11,$9.59B
2005-12,$10.46B
2006-01,$12.66B
2006-02,$11.72B
2006-03,$11.54B
2006-04,$10.8B
2006-05,$9.35B
2006-06,$10.26B
2006-07,$9.76B
2006-08,$9.83B
2006-09,$9.67B
2006-10,$9.75B
2006-11,$10.0B
2006-12,$11.25B
2007-01,$9.96B
2007-02,$9.14B
2007-03,$8.65B
2007-04,$8.85B
2007-05,$8.6B
2007-06,$8.88B
2007-07,$7.68B
2007-08,$7.05B
2007-09,$5.92B
2007-10,$5.48B
2007-11,$5.21B
2007-12,$5.26B
2008-01,$3.86B
2008-02,$4.38B
2008-03,$4.07B
2008-04,$4.5B
2008-05,$4.35B
2008-06,$3.52B
2008-07,$3.51B
2008-08,$3.65B
2008-09,$3.44B
2008-10,$2.17B
2008-11,$1.96B
2008-12,$2.25B
2009-01,$1.95B
2009-02,$1.89B
2009-03,$2.33B
2009-04,$2.46B
2009-05,$2.73B
2009-06,$2.76B
2009-07,$3.25B
2009-08,$3.66B
2009-09,$3.92B
2009-10,$3.25B
2009-11,$3.03B
2009-12,$3.79B
2010-01,$3.55B
2010-02,$3.33B
2010-03,$3.68B
2010-04,$3.74B
2010-05,$3.14B
2010-06,$2.97B
2010-07,$2.94B
2010-08,$2.51B
2010-09,$2.54B
2010-10,$2.34B
2010-11,$2.63B
2010-12,$2.81B
2011-01,$2.56B
2011-02,$2.59B
2011-03,$2.29B
2011-04,$2.44B
2011-05,$2.31B
2011-06,$2.25B
2011-07,$2.09B
2011-08,$1.51B
2011-09,$1.3B
2011-10,$1.43B
2011-11,$1.28B
2011-12,$1.12B
2012-01,$1.34B
2012-02,$1.75B
2012-03,$1.99B
2012-04,$2.05B
2012-05,$1.63B
2012-06,$1.88B
2012-07,$1.54B
2012-08,$1.74B
2012-09,$1.55B
2012-10,$1.54B
2012-11,$1.68B
2012-12,$2.06B
2013-01,$1.9B
2013-02,$2.04B
2013-03,$2.06B
2013-04,$2.24B
2013-05,$2.42B
2013-06,$2.51B
2013-07,$1.97B
2013-08,$1.86B
2013-09,$1.74B
2013-10,$1.8B
2013-11,$2.02B
2013-12,$2.01B
2014-01,$1.69B
2014-02,$1.7B
2014-03,$1.72B
2014-04,$1.73B
2014-05,$1.77B
2014-06,$1.92B
2014-07,$1.79B
2014-08,$1.86B
2014-09,$2.17B
2014-10,$1.97B
2014-11,$2.18B
2014-12,$2.32B
2015-02,$2.43B
2015-03,$2.34B
2015-04,$2.18B
2015-05,$2.29B
2015-06,$1.96B
2015-07,$1.67B
2015-08,$1.5B
2015-09,$1.32B
2015-10,$1.49B
2015-11,$1.72B
2015-12,$1.56B
2016-01,$1.7B
2016-02,$1.59B
2016-03,$1.6B
2016-04,$1.63B
2016-05,$1.9B
2016-06,$1.75B
2016-07,$2.11B
2016-08,$2.38B
2016-09,$2.1B
2016-10,$2.32B
2016-11,$2.39B
2016-12,$3.04B
2017-01,$3.26B
2017-02,$3.05B
2017-03,$3.24B
2017-05,$3.09B
2017-06,$3.0B
2017-07,$3.16B
2017-08,$2.86B
2017-09,$3.28B
2017-10,$4.01B
2017-11,$3.48B
2017-12,$3.26B
2018-01,$3.62B
2018-02,$3.53B
2018-03,$3.48B
2018-04,$4.14B
2018-05,$4.04B
2018-06,$3.64B
2018-07,$4.17B
2018-08,$4.2B
2018-09,$3.78B
2018-10,$3.28B
2018-11,$3.84B
2018-12,$3.54B
2019-01,$3.9B
2019-02,$4.15B
2019-03,$4.06B
2019-04,$5.48B
2019-05,$4.45B
2019-06,$5.17B
2019-07,$7.45B
2019-08,$7.61B
2019-09,$8.33B
2019-10,$8.62B
2019-11,$9.33B
2019-12,$10.74B
2020-01,$10.24B
2020-02,$8.57B
2020-03,$8.05B
2020-04,$9.22B
2020-05,$9.31B
2020-06,$10.71B
2020-07,$10.87B
2020-08,$8.89B
2020-09,$8.85B
2020-10,$9.85B
2020-11,$12.01B
2020-12,$12.88B
2021-01,$14.9B
2021-02,$15.36B
2021-03,$15.98B
2021-04,$18.44B
2021-05,$16.53B
2021-06,$17.48B
2021-07,$16.64B
2021-08,$16.86B
2021-09,$19.48B
2021-10,$16.21B
2021-11,$17.37B
2021-12,$17.52B
