timeline,シスメックス株式会社
2006-03,$2.26B
2006-04,$2.25B
2006-05,$2.03B
2006-06,$2.32B
2006-08,$2.13B
2006-09,$1.98B
2006-10,$2.07B
2006-11,$1.99B
2006-12,$2.05B
2007-01,$2.02B
2007-02,$1.99B
2007-03,$1.88B
2007-04,$2.05B
2007-05,$1.92B
2007-06,$2.05B
2007-07,$2.07B
2007-08,$1.87B
2007-09,$1.99B
2007-10,$2.11B
2007-11,$2.18B
2007-12,$2.14B
2008-01,$1.99B
2008-02,$1.91B
2008-03,$1.62B
2008-04,$1.9B
2008-05,$1.76B
2008-06,$1.88B
2008-07,$2.0B
2008-08,$2.15B
2008-09,$2.1B
2008-10,$1.36B
2008-11,$1.53B
2008-12,$1.46B
2009-01,$1.24B
2009-02,$1.35B
2009-03,$1.42B
2009-04,$1.34B
2009-05,$1.48B
2009-06,$1.58B
2009-07,$1.64B
2009-08,$1.9B
2009-09,$1.75B
2009-10,$1.85B
2009-11,$2.11B
2009-12,$2.19B
2010-01,$2.28B
2010-02,$2.38B
2010-03,$2.47B
2010-04,$2.55B
2010-05,$2.37B
2010-06,$2.28B
2010-07,$2.24B
2010-08,$2.4B
2010-09,$2.61B
2010-10,$2.49B
2010-11,$2.41B
2010-12,$2.54B
2011-01,$2.42B
2011-02,$2.39B
2011-03,$2.66B
2011-04,$2.55B
2011-05,$2.61B
2011-06,$2.74B
2011-07,$2.67B
2011-08,$2.61B
2011-09,$2.54B
2011-10,$2.36B
2011-11,$2.39B
2011-12,$2.28B
2012-02,$2.65B
2012-03,$3.04B
2012-04,$2.94B
2012-05,$2.93B
2012-06,$2.85B
2012-07,$3.11B
2012-08,$3.26B
2012-09,$3.41B
2012-11,$3.38B
2012-12,$3.6B
2013-01,$3.97B
2013-02,$4.42B
2013-03,$5.26B
2013-04,$5.72B
2013-05,$6.07B
2013-06,$5.91B
2013-07,$5.77B
2013-08,$5.21B
2013-09,$5.71B
2013-10,$5.9B
2013-11,$6.08B
2013-12,$5.67B
2014-01,$5.19B
2014-02,$5.54B
2014-03,$6.01B
2014-04,$5.91B
2014-05,$6.52B
2014-06,$6.96B
2014-07,$7.39B
2014-08,$7.36B
2014-09,$8.06B
2014-10,$8.62B
2014-11,$9.33B
2014-12,$9.86B
2015-01,$9.69B
2015-02,$11.74B
2015-03,$12.2B
2015-04,$12.15B
2015-05,$13.19B
2015-06,$13.37B
2015-07,$14.71B
2015-08,$13.48B
2015-09,$11.51B
2015-10,$12.77B
2015-11,$14.09B
2015-12,$14.35B
2016-01,$14.01B
2016-02,$12.83B
2016-03,$12.91B
2016-04,$12.84B
2016-05,$14.85B
2016-06,$12.83B
2016-07,$13.17B
2016-08,$12.24B
2016-09,$13.65B
2016-10,$13.38B
2016-11,$12.65B
2016-12,$12.43B
2017-01,$12.41B
2017-02,$11.91B
2017-03,$12.4B
2017-04,$12.45B
2017-05,$12.08B
2017-06,$12.32B
2017-07,$11.61B
2017-08,$12.45B
2017-09,$13.19B
2017-10,$14.2B
2017-11,$15.65B
2017-12,$16.3B
2018-01,$15.73B
2018-02,$16.38B
2018-03,$17.72B
2018-04,$17.8B
2018-05,$18.04B
2018-06,$19.02B
2018-07,$19.45B
2018-08,$17.74B
2018-09,$17.99B
2018-10,$14.58B
2018-11,$11.13B
2018-12,$9.71B
2019-01,$11.13B
2019-02,$12.33B
2019-03,$12.31B
2019-04,$11.69B
2019-05,$13.86B
2019-06,$12.94B
2019-07,$14.63B
2019-08,$12.49B
2019-09,$13.32B
2019-10,$13.05B
2019-11,$13.97B
2019-12,$13.72B
2020-01,$14.54B
2020-02,$12.95B
2020-04,$13.78B
2020-05,$15.86B
2020-06,$15.16B
2020-07,$14.98B
2020-08,$16.0B
2020-09,$17.91B
2020-10,$18.48B
2020-11,$18.99B
2020-12,$21.45B
2021-01,$23.61B
2021-02,$21.59B
2021-03,$21.21B
2021-04,$20.48B
2021-05,$20.12B
2021-06,$21.61B
2021-07,$24.15B
2021-08,$22.58B
2021-09,$27.52B
2021-10,$25.77B
2021-11,$26.06B
2021-12,$26.29B
