timeline,株式会社デンソー
2009-09,$23.78B
2009-10,$23.97B
2009-12,$23.98B
2010-03,$22.24B
2010-05,$23.37B
2010-07,$23.53B
2011-03,$30.06B
2011-04,$24.22B
2011-05,$28.29B
2011-06,$30.18B
2011-07,$29.01B
2011-08,$26.19B
2011-10,$25.38B
2011-11,$22.97B
2011-12,$22.81B
2012-04,$28.69B
2012-05,$26.49B
2012-06,$30.0B
2012-07,$26.03B
2012-08,$26.78B
2012-09,$25.44B
2012-10,$25.28B
2012-11,$26.57B
2012-12,$27.86B
2013-01,$30.26B
2013-02,$33.95B
2013-03,$34.11B
2013-04,$35.49B
2013-05,$33.71B
2013-06,$37.68B
2013-07,$36.19B
2013-08,$36.4B
2013-09,$37.23B
2013-10,$37.99B
2013-11,$39.87B
2013-12,$42.07B
2014-01,$41.32B
2014-02,$42.37B
2014-03,$38.33B
2014-04,$36.15B
2014-05,$36.54B
2014-06,$38.01B
2014-07,$37.1B
2014-08,$34.69B
2014-09,$36.84B
2014-10,$36.56B
2014-11,$37.5B
2014-12,$37.71B
2015-01,$35.39B
2015-02,$37.51B
2015-03,$36.44B
2015-04,$39.98B
2015-05,$41.94B
2015-06,$39.63B
2015-07,$39.53B
2015-08,$35.73B
2015-09,$33.51B
2015-10,$37.32B
2015-11,$38.14B
2015-12,$38.52B
2016-01,$34.62B
2016-02,$29.36B
2016-03,$31.91B
2016-04,$31.18B
2016-05,$31.25B
2016-06,$27.59B
2016-07,$30.6B
2016-08,$32.92B
2016-09,$27.77B
2016-10,$30.67B
2016-11,$31.11B
2016-12,$30.59B
2017-01,$30.3B
2017-02,$31.11B
2017-03,$34.42B
2017-04,$33.9B
2017-05,$33.47B
2017-06,$33.0B
2017-07,$37.44B
2017-08,$37.66B
2017-09,$39.46B
2017-10,$42.72B
2017-11,$43.88B
2017-12,$46.71B
2018-01,$48.92B
2018-02,$45.6B
2018-03,$42.61B
2018-04,$41.16B
2018-05,$37.93B
2018-06,$38.18B
2018-07,$38.66B
2018-08,$37.62B
2018-09,$41.25B
2018-10,$34.88B
2018-11,$36.12B
2018-12,$34.48B
2019-01,$35.58B
2019-02,$33.46B
2019-03,$30.27B
2019-04,$33.66B
2019-05,$29.77B
2019-06,$32.59B
2019-07,$33.1B
2019-08,$32.44B
2019-09,$34.09B
2019-10,$36.05B
2019-11,$34.58B
2019-12,$35.34B
2020-01,$32.31B
2020-02,$29.81B
2020-03,$24.91B
2020-04,$27.7B
2020-05,$29.73B
2020-06,$30.28B
2020-07,$29.77B
2020-08,$31.16B
2020-09,$33.09B
2020-10,$35.9B
2020-11,$37.84B
2020-12,$43.01B
2021-01,$44.85B
2021-02,$48.27B
2021-03,$50.42B
2021-04,$50.27B
2021-05,$51.59B
2021-06,$54.6B
2021-07,$51.44B
2021-08,$55.95B
2021-09,$55.53B
2021-10,$52.7B
2021-11,$58.13B
2021-12,$58.12B
