timeline,カシオ計算機株式会社
2009-09,$2.23B
2009-10,$2.0B
2009-11,$2.01B
2010-01,$2.12B
2010-02,$2.07B
2010-03,$2.1B
2010-04,$2.19B
2010-07,$2.01B
2010-08,$1.94B
2010-09,$1.98B
2010-10,$2.02B
2010-12,$2.23B
2011-02,$2.11B
2011-03,$2.41B
2011-04,$2.05B
2011-05,$2.14B
2011-07,$1.92B
2011-08,$1.74B
2011-09,$1.67B
2011-11,$1.6B
2011-12,$1.62B
2012-01,$1.64B
2012-02,$1.77B
2012-03,$1.92B
2012-04,$1.79B
2012-05,$1.55B
2012-06,$1.76B
2012-07,$1.78B
2012-08,$1.94B
2012-09,$1.91B
2012-10,$2.06B
2012-11,$2.02B
2012-12,$2.35B
2013-01,$2.33B
2013-02,$2.14B
2013-03,$2.07B
2013-04,$2.22B
2013-05,$2.44B
2013-06,$2.39B
2013-07,$2.4B
2013-08,$2.31B
2013-09,$2.49B
2013-10,$2.56B
2013-11,$3.05B
2013-12,$3.3B
2014-01,$2.93B
2014-02,$3.02B
2014-03,$3.19B
2014-04,$3.06B
2014-05,$3.58B
2014-06,$3.9B
2014-07,$4.57B
2014-08,$4.52B
2014-09,$4.32B
2014-10,$4.09B
2014-11,$3.94B
2014-12,$4.03B
2015-01,$4.07B
2015-02,$4.54B
2015-03,$4.96B
2015-04,$5.35B
2015-05,$4.96B
2015-06,$5.15B
2015-07,$5.21B
2015-08,$5.03B
2015-09,$4.72B
2015-10,$4.95B
2015-11,$5.78B
2015-12,$6.18B
2016-01,$5.07B
2016-02,$4.78B
2016-03,$5.18B
2016-04,$5.02B
2016-05,$3.99B
2016-06,$3.65B
2016-07,$3.61B
2016-08,$3.64B
2016-09,$3.73B
2016-10,$3.77B
2016-11,$3.57B
2016-12,$3.82B
2017-01,$3.56B
2017-02,$3.48B
2017-03,$3.41B
2017-04,$3.48B
2017-05,$3.82B
2017-06,$3.8B
2017-07,$4.03B
2017-08,$3.46B
2017-09,$3.47B
2017-10,$3.64B
2017-11,$3.61B
2017-12,$3.54B
2018-01,$3.75B
2018-02,$3.64B
2018-03,$3.67B
2018-04,$3.69B
2018-05,$3.77B
2018-06,$4.02B
2018-07,$4.05B
2018-08,$3.96B
2018-09,$4.03B
2018-10,$3.71B
2018-11,$3.44B
2018-12,$2.91B
2019-01,$3.27B
2019-02,$3.36B
2019-03,$3.22B
2019-04,$3.09B
2019-05,$2.73B
2019-06,$3.06B
2019-07,$2.78B
2019-08,$3.39B
2019-09,$3.78B
2019-10,$3.95B
2019-11,$4.64B
2019-12,$4.9B
2020-01,$4.58B
2020-02,$4.12B
2020-03,$3.31B
2020-04,$3.89B
2020-05,$4.01B
2020-06,$4.22B
2020-07,$4.12B
2020-08,$3.67B
2020-09,$3.89B
2020-10,$3.67B
2020-11,$4.67B
2020-12,$4.38B
2021-01,$4.26B
2021-02,$4.68B
2021-03,$4.66B
2021-04,$4.39B
2021-05,$4.18B
2021-06,$4.12B
2021-07,$4.03B
2021-08,$3.89B
2021-09,$4.16B
2021-10,$3.64B
2021-11,$3.39B
2021-12,$3.23B
