timeline,ファナック株式会社
2007-12,$20.24B
2008-12,$14.4B
2009-12,$18.16B
2010-08,$20.89B
2010-09,$24.85B
2010-10,$27.92B
2010-11,$27.87B
2015-01,$32.9B
2010-12,$29.96B
2011-01,$30.91B
2011-02,$30.41B
2011-03,$29.63B
2011-04,$32.29B
2011-05,$30.23B
2011-06,$32.46B
2011-07,$36.79B
2011-08,$32.06B
2011-09,$27.63B
2011-10,$33.42B
2011-11,$30.8B
2011-12,$29.69B
2012-01,$32.83B
2012-04,$33.09B
2012-05,$33.48B
2012-06,$31.94B
2012-07,$30.64B
2012-08,$31.87B
2012-09,$31.71B
2012-10,$31.22B
2012-11,$33.11B
2012-12,$36.24B
2013-01,$30.62B
2013-02,$30.33B
2013-03,$30.12B
2013-04,$29.4B
2013-05,$29.5B
2013-06,$28.57B
2013-07,$29.66B
2013-08,$29.88B
2013-09,$32.42B
2013-10,$31.22B
2013-11,$32.96B
2013-12,$35.9B
2014-01,$31.93B
2014-02,$33.83B
2014-03,$34.61B
2014-04,$35.1B
2014-05,$33.31B
2014-06,$33.71B
2014-07,$34.22B
2014-08,$32.83B
2014-09,$35.43B
2014-10,$34.25B
2014-11,$33.24B
2014-12,$32.67B
2015-02,$37.6B
2015-03,$42.78B
2015-04,$43.61B
2015-05,$43.51B
2015-06,$33.13B
2015-07,$27.01B
2015-08,$26.36B
2015-09,$24.76B
2015-10,$28.87B
2015-11,$28.92B
2015-12,$28.36B
2016-01,$21.55B
2016-02,$23.65B
2016-03,$30.28B
2016-04,$29.72B
2016-05,$29.82B
2016-06,$31.01B
2016-07,$31.86B
2016-08,$33.03B
2016-09,$32.39B
2016-10,$36.27B
2016-11,$33.08B
2016-12,$32.84B
2017-01,$37.58B
2017-02,$37.82B
2017-03,$39.57B
2017-04,$39.47B
2017-05,$38.07B
2017-06,$37.47B
2017-07,$39.59B
2017-08,$37.44B
2017-09,$39.27B
2017-10,$45.23B
2017-11,$48.35B
2017-12,$46.46B
2018-01,$52.54B
2018-02,$49.26B
2018-03,$49.07B
2018-04,$41.88B
2018-05,$41.48B
2018-06,$38.59B
2018-07,$38.27B
2018-08,$38.02B
2018-09,$36.61B
2018-10,$33.83B
2018-11,$33.13B
2018-12,$29.28B
2019-01,$32.65B
2019-02,$32.23B
2019-03,$33.07B
2019-04,$36.05B
2019-05,$32.55B
2019-06,$35.63B
2019-07,$34.51B
2019-08,$33.26B
2019-09,$36.16B
2019-10,$38.09B
2019-11,$36.62B
2019-12,$35.83B
2020-01,$35.8B
2020-02,$31.44B
2020-03,$26.01B
2020-04,$29.6B
2020-05,$34.19B
2020-06,$34.34B
2020-07,$34.67B
2020-08,$33.68B
2020-09,$36.17B
2020-10,$38.09B
2020-11,$45.18B
2020-12,$47.12B
2021-01,$49.67B
2021-02,$49.43B
2021-03,$46.45B
2021-04,$46.48B
2021-05,$44.15B
2021-06,$45.78B
2021-07,$44.53B
2021-08,$42.16B
2021-09,$45.35B
2021-10,$40.31B
2021-11,$39.03B
2021-12,$40.21B
