timeline,ローム株式会社
2006-03,$12.51B
2006-04,$12.36B
2006-05,$10.45B
2006-06,$10.38B
2006-07,$9.97B
2006-08,$11.03B
2006-09,$11.04B
2006-10,$10.95B
2006-11,$10.76B
2006-12,$12.09B
2007-01,$11.16B
2007-02,$10.89B
2007-04,$10.95B
2007-05,$10.94B
2007-06,$11.02B
2007-07,$10.18B
2007-08,$10.36B
2007-09,$10.23B
2007-10,$10.06B
2007-11,$10.17B
2007-12,$9.74B
2008-01,$7.94B
2008-02,$7.69B
2008-03,$6.1B
2008-04,$7.19B
2008-05,$6.95B
2008-06,$6.11B
2008-07,$6.19B
2008-08,$6.36B
2008-09,$5.71B
2008-10,$4.89B
2008-11,$4.52B
2009-01,$4.55B
2009-02,$4.74B
2009-03,$4.91B
2009-04,$6.07B
2009-05,$6.17B
2009-06,$7.35B
2009-07,$7.29B
2009-08,$6.62B
2009-09,$6.55B
2009-10,$6.33B
2009-11,$6.02B
2009-12,$6.39B
2010-01,$6.41B
2010-02,$6.4B
2010-03,$6.75B
2010-04,$6.77B
2010-05,$5.62B
2010-06,$5.19B
2010-07,$5.32B
2010-08,$4.89B
2010-09,$5.03B
2010-10,$4.83B
2010-11,$4.91B
2010-12,$5.15B
2011-01,$5.13B
2011-02,$5.54B
2011-03,$4.96B
2011-04,$4.62B
2011-05,$4.4B
2011-06,$4.29B
2011-07,$4.19B
2011-08,$3.63B
2011-09,$3.74B
2011-10,$3.79B
2011-11,$3.43B
2011-12,$3.32B
2012-01,$3.49B
2012-02,$3.8B
2012-03,$3.88B
2012-04,$3.46B
2012-05,$2.69B
2012-06,$2.91B
2012-07,$2.66B
2012-08,$2.43B
2012-09,$2.51B
2012-10,$2.44B
2012-11,$2.22B
2012-12,$2.65B
2013-01,$2.9B
2013-02,$3.16B
2013-03,$3.25B
2013-04,$3.26B
2013-05,$3.56B
2013-06,$3.83B
2013-07,$3.6B
2013-08,$3.3B
2013-09,$3.83B
2013-10,$3.82B
2013-11,$4.23B
2013-12,$4.87B
2014-01,$4.92B
2014-02,$5.0B
2014-03,$4.38B
2014-04,$4.63B
2014-05,$5.51B
2014-06,$5.52B
2014-07,$5.62B
2014-08,$6.31B
2014-09,$6.56B
2014-10,$6.34B
2014-11,$7.3B
2014-12,$7.0B
2015-01,$7.27B
2015-02,$7.33B
2015-03,$7.82B
2015-04,$7.93B
2015-05,$8.37B
2015-06,$7.8B
2015-07,$6.82B
2015-08,$6.26B
2015-09,$5.03B
2015-10,$5.73B
2015-11,$6.29B
2015-12,$5.87B
2016-01,$5.12B
2016-02,$4.58B
2016-03,$4.42B
2016-04,$4.57B
2016-05,$4.42B
2016-06,$3.66B
2016-07,$4.05B
2016-08,$4.72B
2016-09,$4.82B
2016-10,$5.05B
2016-11,$5.71B
2016-12,$6.15B
2017-01,$6.61B
2017-02,$6.63B
2017-03,$6.9B
2017-04,$7.29B
2017-05,$8.29B
2017-06,$8.05B
2017-07,$7.97B
2017-08,$7.98B
2017-09,$8.99B
2017-10,$9.75B
2017-11,$10.72B
2017-12,$11.64B
2018-01,$11.16B
2018-02,$10.6B
2018-03,$9.45B
2018-04,$9.53B
2018-05,$9.41B
2018-06,$8.67B
2018-07,$8.86B
2018-08,$9.35B
2018-09,$7.72B
2018-10,$7.4B
2018-11,$7.31B
2018-12,$6.51B
2019-01,$7.07B
2019-02,$6.48B
2019-03,$6.36B
2019-04,$7.51B
2019-05,$6.21B
2019-06,$6.67B
2019-07,$7.07B
2019-08,$6.98B
2019-09,$7.6B
2019-10,$7.98B
2019-11,$8.48B
2019-12,$7.94B
2020-01,$7.18B
2020-02,$6.42B
2020-03,$5.2B
2020-05,$6.04B
2020-06,$5.74B
2020-07,$5.56B
2020-08,$5.67B
2020-09,$6.37B
2020-10,$6.74B
2020-11,$6.94B
2020-12,$7.81B
2021-01,$8.52B
2021-02,$8.91B
2021-03,$8.64B
2021-04,$9.22B
2021-05,$8.24B
2021-06,$8.45B
2021-07,$9.09B
2021-08,$8.96B
2021-09,$10.12B
2021-10,$8.82B
2021-11,$9.62B
2021-12,$9.23B
