timeline,京セラ株式会社
2001-01,$21.11B
2001-02,$17.66B
2001-03,$19.12B
2001-04,$19.83B
2001-05,$18.62B
2001-06,$18.47B
2001-07,$15.71B
2001-08,$13.48B
2001-09,$12.81B
2001-10,$13.89B
2001-11,$15.37B
2001-12,$14.26B
2002-01,$12.91B
2002-02,$13.37B
2002-03,$14.69B
2002-04,$14.57B
2002-05,$16.69B
2002-06,$14.64B
2002-07,$13.52B
2002-08,$13.77B
2002-09,$13.3B
2002-10,$11.78B
2002-11,$13.3B
2002-12,$11.27B
2003-01,$10.85B
2003-02,$10.13B
2003-03,$9.59B
2003-04,$9.5B
2003-05,$10.49B
2003-06,$11.21B
2003-07,$11.14B
2003-08,$12.24B
2003-09,$10.91B
2003-10,$10.95B
2003-11,$11.03B
2003-12,$11.81B
2004-01,$13.21B
2004-02,$13.28B
2004-03,$14.45B
2004-04,$15.1B
2004-05,$14.95B
2004-06,$15.31B
2004-07,$14.22B
2004-08,$13.26B
2004-09,$12.82B
2004-10,$12.72B
2004-11,$11.99B
2004-12,$13.05B
2005-01,$12.34B
2005-02,$12.93B
2005-03,$12.65B
2005-04,$12.67B
2005-05,$13.78B
2005-06,$14.02B
2005-07,$13.11B
2005-08,$12.67B
2005-09,$13.06B
2005-10,$12.39B
2005-11,$13.56B
2005-12,$14.22B
2006-01,$17.28B
2006-02,$17.2B
2006-03,$17.26B
2006-04,$17.6B
2006-05,$15.35B
2006-06,$14.67B
2006-07,$15.55B
2006-08,$16.79B
2006-09,$16.77B
2006-10,$17.4B
2006-11,$17.33B
2006-12,$18.63B
2007-01,$18.42B
2007-02,$17.9B
2007-03,$18.49B
2007-04,$19.42B
2007-05,$19.9B
2007-06,$21.89B
2007-07,$19.16B
2007-08,$17.66B
2007-09,$17.99B
2007-10,$16.14B
2007-11,$16.62B
2007-12,$16.54B
2008-01,$14.14B
2008-02,$14.44B
2008-03,$13.99B
2008-04,$15.98B
2008-05,$16.96B
2008-06,$16.71B
2008-07,$15.58B
2008-08,$15.43B
2008-09,$13.19B
2008-10,$9.44B
2008-11,$9.98B
2008-12,$10.33B
2009-01,$9.52B
2009-02,$9.47B
2009-03,$10.49B
2009-04,$12.34B
2009-05,$12.08B
2009-06,$11.77B
2009-07,$12.34B
2009-08,$12.55B
2009-09,$13.48B
2009-10,$12.55B
2009-11,$11.14B
2009-12,$13.23B
2010-01,$13.27B
2010-02,$12.8B
2010-03,$14.75B
2010-04,$15.36B
2010-05,$12.84B
2010-06,$11.75B
2010-07,$12.48B
2010-08,$11.56B
2010-09,$12.77B
2010-10,$13.0B
2010-11,$13.82B
2010-12,$13.42B
2011-01,$13.82B
2011-02,$13.73B
2011-03,$13.65B
2011-04,$14.39B
2011-05,$13.77B
2011-06,$13.19B
2011-07,$13.35B
2011-08,$11.33B
2011-09,$10.58B
2011-10,$11.34B
2011-11,$10.94B
2011-12,$10.02B
2012-01,$10.52B
2012-02,$11.63B
2012-03,$12.26B
2012-04,$12.72B
2012-05,$10.5B
2012-06,$11.05B
2012-07,$10.03B
2012-08,$10.87B
2012-09,$10.94B
2012-10,$11.34B
2012-11,$12.28B
2012-12,$12.57B
2013-01,$13.38B
2013-02,$13.04B
2013-03,$14.25B
2013-04,$16.03B
2013-05,$16.34B
2013-07,$16.1B
2013-08,$16.31B
2013-09,$16.86B
2013-10,$16.44B
2013-11,$17.54B
2013-12,$16.99B
2014-01,$15.05B
2014-02,$14.86B
2014-03,$15.06B
2014-04,$15.56B
2014-05,$14.65B
2014-06,$15.56B
2014-07,$16.33B
2014-08,$15.74B
2014-09,$16.54B
2014-10,$16.33B
2014-11,$18.8B
2014-12,$17.98B
2015-01,$16.9B
2015-02,$19.55B
2015-03,$21.33B
2015-04,$20.29B
2015-05,$21.92B
2015-06,$20.59B
2015-07,$20.69B
2015-08,$19.27B
2015-09,$17.67B
2015-10,$17.81B
2015-11,$18.47B
2015-12,$18.3B
2016-01,$16.06B
2016-02,$16.09B
2016-03,$16.04B
2016-04,$17.71B
2016-05,$17.93B
2016-06,$15.67B
2016-07,$15.83B
2016-08,$15.91B
2016-09,$15.64B
2016-10,$16.57B
2016-11,$17.63B
2016-12,$18.85B
2017-01,$19.08B
2017-02,$20.04B
2017-03,$20.12B
2017-04,$20.47B
2017-05,$20.7B
2017-06,$21.1B
2017-07,$21.77B
2017-08,$21.41B
2017-09,$22.65B
2017-10,$24.46B
2017-11,$25.63B
2017-12,$23.91B
2018-01,$23.52B
2018-02,$20.6B
2018-03,$19.47B
2018-04,$22.67B
2018-05,$20.6B
2018-06,$19.93B
2018-07,$20.7B
2018-08,$22.37B
2018-09,$21.76B
2018-10,$19.59B
2018-11,$19.54B
2018-12,$17.58B
2019-01,$19.51B
2019-02,$19.59B
2019-03,$20.74B
2019-04,$22.94B
2019-05,$21.14B
2019-06,$22.45B
2019-07,$21.35B
2019-08,$20.15B
2019-09,$21.39B
2019-10,$22.79B
2019-11,$23.34B
2019-12,$23.91B
2020-01,$23.25B
2020-02,$21.73B
2020-04,$18.98B
2020-05,$18.64B
2020-06,$18.75B
2020-07,$18.65B
2020-08,$19.76B
2020-09,$19.57B
2020-10,$19.17B
2020-11,$18.82B
2020-12,$20.25B
2021-01,$21.21B
2021-02,$22.34B
2021-03,$23.03B
2021-04,$22.25B
2021-05,$21.37B
2021-06,$21.97B
2021-07,$21.63B
2021-08,$22.18B
2021-09,$23.77B
2021-10,$21.7B
2021-11,$22.48B
2021-12,$22.31B
