timeline,株式会社村田製作所
2008-12,$8.25B
2009-12,$10.61B
2010-12,$15.04B
2011-12,$10.88B
2012-12,$12.27B
2013-02,$13.76B
2013-03,$15.62B
2013-04,$16.93B
2013-05,$16.49B
2013-06,$16.11B
2013-07,$14.51B
2013-08,$14.49B
2013-09,$16.21B
2013-10,$16.91B
2013-11,$18.22B
2013-12,$18.84B
2014-01,$19.78B
2014-02,$20.09B
2014-03,$20.03B
2014-04,$17.54B
2014-05,$17.94B
2014-06,$19.79B
2014-07,$20.42B
2014-08,$20.28B
2014-09,$24.13B
2014-10,$23.66B
2014-11,$23.04B
2014-12,$23.48B
2015-01,$22.95B
2015-02,$26.15B
2015-03,$29.16B
2015-04,$30.19B
2015-05,$34.59B
2015-06,$36.85B
2015-07,$31.39B
2015-08,$30.65B
2015-09,$27.14B
2015-10,$30.36B
2015-11,$32.92B
2015-12,$30.87B
2016-01,$24.38B
2016-02,$25.24B
2016-03,$25.56B
2016-04,$28.97B
2016-05,$24.73B
2016-06,$23.55B
2016-07,$26.03B
2016-08,$28.75B
2016-09,$27.39B
2016-10,$29.84B
2016-11,$29.17B
2016-12,$28.63B
2017-01,$28.55B
2017-02,$30.46B
2017-03,$30.13B
2017-04,$28.58B
2017-05,$29.46B
2017-06,$32.41B
2017-07,$33.08B
2017-08,$32.42B
2017-09,$31.28B
2017-10,$33.3B
2017-11,$28.8B
2017-12,$28.49B
2018-01,$31.59B
2018-02,$29.73B
2018-03,$29.17B
2018-04,$27.08B
2018-05,$31.74B
2018-06,$35.93B
2018-07,$37.46B
2018-08,$36.86B
2018-09,$32.85B
2018-10,$32.38B
2018-11,$32.55B
2018-12,$28.9B
2019-01,$30.17B
2019-02,$33.32B
2019-03,$31.86B
2019-04,$34.13B
2019-05,$27.52B
2019-06,$28.73B
2019-07,$28.53B
2019-08,$26.79B
2019-09,$30.73B
2019-10,$34.47B
2019-11,$37.05B
2019-12,$39.63B
2020-01,$37.17B
2020-02,$33.37B
2020-03,$32.39B
2020-04,$36.12B
2020-05,$35.74B
2020-06,$37.56B
2020-07,$39.23B
2020-08,$40.06B
2020-09,$40.31B
2020-10,$43.59B
2020-11,$50.66B
2020-12,$55.48B
2021-01,$61.77B
2021-02,$57.59B
2021-03,$53.08B
2021-04,$52.25B
2021-05,$48.97B
2021-06,$48.98B
2021-07,$53.28B
2021-08,$52.72B
2021-09,$58.57B
2021-10,$49.8B
2021-11,$48.98B
2021-12,$48.42B
