timeline,日東電工株式会社
2006-03,$15.3B
2006-04,$14.63B
2006-05,$13.17B
2006-06,$12.49B
2006-07,$12.76B
2006-08,$12.91B
2006-09,$10.72B
2006-10,$10.22B
2006-11,$8.56B
2006-12,$9.13B
2007-01,$9.05B
2007-02,$9.27B
2007-03,$8.47B
2007-04,$7.74B
2007-05,$8.81B
2007-06,$9.05B
2007-07,$9.14B
2007-08,$7.86B
2007-09,$7.77B
2007-10,$8.14B
2007-11,$8.36B
2007-12,$8.62B
2008-01,$7.56B
2008-02,$7.51B
2008-03,$6.13B
2008-04,$6.27B
2008-05,$7.29B
2008-06,$5.94B
2008-07,$4.53B
2008-08,$4.8B
2008-09,$3.84B
2008-10,$3.12B
2008-11,$2.32B
2008-12,$2.48B
2009-01,$2.46B
2009-02,$2.59B
2009-03,$2.92B
2009-04,$3.33B
2009-05,$3.88B
2009-06,$4.32B
2009-07,$4.48B
2009-08,$4.14B
2009-09,$4.04B
2009-10,$4.08B
2009-11,$4.07B
2009-12,$4.88B
2010-01,$5.1B
2010-02,$4.81B
2010-03,$5.33B
2010-04,$5.43B
2010-05,$4.77B
2010-06,$4.32B
2010-07,$4.4B
2010-08,$3.96B
2010-09,$4.8B
2010-10,$4.42B
2010-11,$5.1B
2010-12,$5.62B
2011-01,$6.01B
2011-02,$7.23B
2011-03,$6.39B
2011-04,$6.24B
2011-05,$6.15B
2011-06,$5.89B
2011-07,$5.39B
2011-08,$4.3B
2011-09,$4.48B
2011-10,$4.87B
2011-11,$4.51B
2011-12,$3.99B
2012-01,$3.92B
2012-02,$4.84B
2012-03,$5.11B
2012-04,$5.07B
2012-05,$4.87B
2012-06,$5.17B
2012-07,$4.96B
2012-08,$5.24B
2012-09,$5.39B
2012-10,$5.25B
2012-11,$6.23B
2012-12,$6.12B
2013-01,$7.48B
2013-02,$7.9B
2013-03,$8.08B
2013-04,$9.3B
2013-05,$8.89B
2013-06,$9.27B
2013-07,$8.04B
2013-08,$7.61B
2013-09,$9.29B
2013-10,$7.45B
2013-11,$7.57B
2013-12,$6.44B
2014-01,$6.69B
2014-02,$6.91B
2014-03,$7.19B
2014-04,$6.42B
2014-05,$6.83B
2014-06,$6.91B
2014-07,$6.81B
2014-08,$7.93B
2014-09,$8.75B
2014-10,$8.66B
2014-11,$9.11B
2014-12,$9.85B
2015-01,$10.31B
2015-02,$11.03B
2015-03,$11.69B
2015-04,$11.21B
2015-05,$14.06B
2015-06,$14.65B
2015-07,$13.67B
2015-08,$11.9B
2015-09,$10.37B
2015-10,$11.39B
2015-11,$12.08B
2015-12,$12.98B
2016-01,$9.93B
2016-02,$8.7B
2016-03,$8.95B
2016-04,$8.64B
2016-05,$10.43B
2016-06,$9.21B
2016-07,$9.89B
2016-08,$10.11B
2016-09,$9.31B
2016-10,$10.48B
2016-11,$11.3B
2016-12,$12.83B
2017-01,$12.8B
2017-02,$13.54B
2017-03,$12.31B
2017-04,$12.01B
2017-05,$12.72B
2017-06,$13.22B
2017-07,$14.11B
2017-08,$13.88B
2017-09,$13.43B
2017-10,$15.03B
2017-11,$15.79B
2017-12,$14.33B
2018-01,$14.28B
2018-02,$12.66B
2018-03,$11.34B
2018-04,$11.44B
2018-05,$11.93B
2018-06,$11.69B
2018-07,$11.17B
2018-08,$11.93B
2018-09,$11.77B
2018-10,$9.79B
2018-11,$8.58B
2018-12,$7.66B
2019-01,$8.49B
2019-02,$8.22B
2019-03,$8.04B
2019-04,$8.28B
2019-05,$6.57B
2019-06,$7.35B
2019-07,$7.45B
2019-08,$6.84B
2019-09,$7.2B
2019-10,$8.35B
2019-11,$8.49B
2019-12,$8.55B
2020-01,$8.56B
2020-02,$7.5B
2020-04,$6.82B
2020-06,$8.06B
2020-07,$7.84B
2020-08,$8.3B
2020-09,$9.0B
2020-10,$9.56B
2020-11,$10.62B
2020-12,$11.6B
2021-01,$12.27B
2021-02,$12.39B
2021-03,$12.18B
2021-04,$12.23B
2021-05,$11.18B
2021-06,$11.04B
2021-07,$10.7B
2021-08,$11.15B
2021-09,$11.8B
2021-10,$10.58B
2021-11,$11.21B
2021-12,$10.91B
