timeline,三菱重工業株式会社
2001-01,$14.49B
2001-02,$13.83B
2001-03,$13.72B
2001-04,$15.02B
2001-05,$15.05B
2001-06,$16.93B
2001-07,$14.07B
2001-08,$14.43B
2001-09,$12.05B
2001-10,$12.26B
2001-11,$10.15B
2001-12,$10.41B
2002-01,$9.97B
2002-02,$10.89B
2002-03,$12.86B
2002-04,$12.11B
2002-05,$12.94B
2002-06,$10.8B
2002-07,$9.55B
2002-08,$10.21B
2002-09,$9.88B
2002-10,$7.74B
2002-11,$9.25B
2002-12,$8.63B
2003-01,$8.57B
2003-02,$9.61B
2003-03,$8.45B
2003-04,$7.89B
2003-05,$7.59B
2003-06,$9.25B
2003-07,$9.52B
2003-08,$11.22B
2003-09,$9.64B
2003-10,$8.99B
2003-11,$8.69B
2003-12,$8.87B
2004-01,$9.25B
2004-02,$9.52B
2004-03,$10.06B
2004-04,$9.05B
2004-05,$8.75B
2004-06,$8.81B
2004-07,$8.66B
2004-08,$8.84B
2004-09,$9.25B
2004-10,$8.87B
2004-11,$8.78B
2004-12,$8.66B
2005-01,$8.36B
2005-02,$8.39B
2005-03,$8.48B
2005-04,$8.3B
2005-05,$8.33B
2005-06,$8.63B
2005-07,$8.39B
2005-08,$9.25B
2005-09,$11.96B
2005-10,$13.03B
2005-11,$15.03B
2005-12,$15.47B
2006-01,$15.8B
2006-02,$16.37B
2006-03,$16.66B
2006-04,$16.78B
2006-05,$14.76B
2006-06,$14.7B
2006-07,$13.96B
2006-08,$14.64B
2006-09,$14.55B
2006-10,$15.53B
2006-11,$14.97B
2006-12,$16.1B
2007-01,$18.45B
2007-02,$19.91B
2007-03,$22.67B
2007-04,$22.08B
2007-05,$21.99B
2007-06,$23.54B
2007-07,$25.09B
2007-08,$21.1B
2007-09,$22.35B
2007-10,$19.76B
2007-11,$15.92B
2007-12,$14.31B
2008-01,$12.94B
2008-02,$14.85B
2008-03,$12.68B
2008-04,$14.34B
2008-05,$15.83B
2008-06,$15.06B
2008-07,$14.28B
2008-08,$15.65B
2008-09,$13.27B
2008-10,$9.22B
2008-11,$11.52B
2008-12,$11.75B
2009-01,$10.27B
2009-02,$8.27B
2009-03,$8.82B
2009-04,$9.5B
2009-05,$10.09B
2009-06,$11.84B
2009-07,$11.22B
2009-08,$11.4B
2009-09,$10.07B
2009-10,$9.65B
2009-11,$8.35B
2009-12,$9.65B
2010-01,$9.35B
2010-02,$9.77B
2010-03,$11.46B
2010-04,$11.25B
2010-05,$10.01B
2010-06,$9.15B
2010-07,$9.59B
2010-08,$8.97B
2010-09,$9.12B
2010-10,$8.67B
2010-11,$8.91B
2010-12,$9.03B
2011-01,$9.62B
2011-02,$10.27B
2011-03,$11.3B
2011-04,$11.39B
2011-05,$11.66B
2011-06,$11.16B
2011-07,$10.65B
2011-08,$9.56B
2011-09,$9.74B
2011-10,$9.62B
2011-11,$9.41B
2011-12,$9.71B
2012-01,$10.33B
2012-02,$11.27B
2012-03,$11.87B
2012-04,$10.77B
2012-05,$9.38B
2012-06,$9.53B
2012-07,$9.29B
2012-08,$9.59B
2012-09,$10.0B
2012-10,$9.94B
2012-11,$11.33B
2012-12,$12.28B
2013-01,$14.47B
2013-02,$15.21B
2013-03,$15.83B
2013-04,$19.86B
2013-05,$18.7B
2013-06,$16.31B
2013-07,$15.6B
2013-08,$15.95B
2013-09,$16.66B
2013-10,$18.41B
2013-11,$19.44B
2013-12,$19.27B
2014-01,$19.83B
2014-02,$18.5B
2014-03,$17.67B
2014-04,$15.92B
2014-05,$17.55B
2014-06,$18.7B
2014-07,$20.07B
2014-08,$18.95B
2014-09,$20.88B
2014-10,$20.23B
2014-11,$20.5B
2014-12,$19.82B
2015-01,$19.39B
2015-02,$19.61B
2015-03,$19.6B
2015-04,$19.76B
2015-05,$23.35B
2015-06,$22.04B
2015-07,$19.42B
2015-08,$17.15B
2015-09,$15.76B
2015-10,$18.18B
2015-11,$18.65B
2015-12,$15.79B
2016-01,$13.81B
2016-02,$11.9B
2016-03,$12.38B
2016-04,$11.77B
2016-05,$13.32B
2016-06,$12.07B
2016-07,$13.12B
2016-08,$13.34B
2016-09,$12.41B
2016-10,$13.31B
2016-11,$15.01B
2016-12,$15.77B
2017-01,$15.07B
2017-02,$13.15B
2017-03,$13.23B
2017-04,$13.21B
2017-05,$12.94B
2017-06,$13.62B
2017-07,$13.01B
2017-08,$12.47B
2017-09,$13.18B
2017-10,$13.09B
2017-11,$12.29B
2017-12,$12.47B
2018-01,$12.15B
2018-02,$12.98B
2018-03,$12.07B
2018-04,$12.82B
2018-05,$12.21B
2018-06,$11.95B
2018-07,$12.41B
2018-08,$12.23B
2018-09,$13.0B
2018-10,$11.82B
2018-11,$12.79B
2018-12,$11.72B
2019-01,$12.46B
2019-02,$13.42B
2019-03,$13.62B
2019-04,$13.68B
2019-05,$14.1B
2019-06,$13.89B
2019-07,$13.35B
2019-08,$11.82B
2019-09,$12.53B
2019-10,$13.03B
2019-11,$12.4B
2019-12,$12.58B
2020-01,$11.92B
2020-02,$10.12B
2020-03,$8.84B
2020-04,$8.02B
2020-05,$8.26B
2020-06,$7.53B
2020-07,$7.57B
2020-08,$7.79B
2020-09,$7.35B
2020-10,$6.57B
2020-11,$7.34B
2020-12,$9.11B
2021-01,$9.31B
2021-02,$8.96B
2021-03,$10.04B
2021-04,$9.79B
2021-05,$9.77B
2021-06,$10.1B
2021-07,$9.08B
2021-08,$8.96B
2021-09,$9.26B
2021-10,$8.75B
2021-11,$8.41B
2021-12,$7.91B
