timeline,株式会社かんぽ生命保険
2015-11,$17.78B
2015-12,$16.49B
2016-01,$14.51B
2016-02,$13.09B
2016-03,$13.77B
2016-04,$13.35B
2016-05,$13.18B
2016-06,$11.07B
2016-07,$11.81B
2016-08,$11.57B
2016-09,$11.63B
2016-10,$11.65B
2016-11,$12.22B
2016-12,$13.24B
2017-01,$13.68B
2017-02,$14.33B
2017-03,$13.5B
2017-04,$13.43B
2017-05,$12.58B
2017-06,$13.11B
2017-07,$12.83B
2017-08,$12.53B
2017-09,$12.75B
2017-10,$12.95B
2017-11,$12.94B
2017-12,$14.04B
2018-01,$15.26B
2018-02,$14.34B
2018-03,$13.2B
2018-04,$14.24B
2018-05,$12.82B
2018-06,$12.05B
2018-07,$12.55B
2018-08,$13.19B
2018-09,$14.25B
2018-10,$14.24B
2018-11,$15.16B
2018-12,$13.48B
2019-01,$13.13B
2019-02,$13.33B
2019-03,$12.67B
2019-04,$11.14B
2019-05,$10.28B
2019-06,$9.25B
2019-07,$8.42B
2019-08,$7.07B
2019-09,$8.09B
2019-10,$8.5B
2019-11,$9.34B
2019-12,$9.24B
2020-01,$9.19B
2020-02,$8.22B
2020-03,$6.65B
2020-04,$6.86B
2020-05,$6.79B
2020-06,$6.96B
2020-07,$7.0B
2020-08,$8.18B
2020-09,$8.34B
2020-10,$8.55B
2020-11,$8.71B
2020-12,$9.63B
2021-01,$10.86B
2021-02,$10.72B
2021-03,$11.42B
2021-04,$10.72B
2021-05,$10.81B
2021-06,$9.64B
2021-07,$6.94B
2021-08,$7.02B
2021-09,$7.53B
2021-10,$6.84B
2021-11,$6.32B
2021-12,$6.3B
