timeline,日産自動車株式会社
2001-01,$24.54B
2001-02,$26.17B
2001-03,$27.68B
2001-04,$29.67B
2001-05,$28.24B
2001-06,$30.16B
2001-07,$30.06B
2001-08,$24.31B
2001-09,$17.24B
2001-10,$18.92B
2001-11,$21.3B
2001-12,$24.35B
2002-01,$24.94B
2002-02,$30.58B
2002-03,$36.93B
2002-04,$38.9B
2002-05,$34.69B
2002-06,$32.68B
2002-07,$33.0B
2002-08,$34.1B
2002-09,$35.6B
2002-10,$37.05B
2002-11,$38.47B
2002-12,$36.46B
2003-01,$35.95B
2003-02,$34.93B
2003-03,$29.79B
2003-04,$34.5B
2003-05,$35.55B
2003-06,$43.28B
2003-07,$44.3B
2003-08,$47.24B
2003-09,$45.43B
2003-10,$46.45B
2003-11,$47.2B
2003-12,$46.15B
2004-01,$42.57B
2004-02,$45.73B
2004-03,$44.98B
2004-04,$47.45B
2004-05,$42.97B
2004-06,$46.83B
2004-07,$46.41B
2004-08,$46.02B
2004-09,$46.33B
2004-10,$46.14B
2004-11,$41.89B
2004-12,$43.01B
2005-01,$42.28B
2005-02,$43.44B
2005-03,$41.44B
2005-04,$39.21B
2005-05,$40.23B
2005-06,$41.4B
2005-07,$44.04B
2005-08,$43.58B
2005-09,$48.86B
2005-10,$45.55B
2005-11,$46.49B
2005-12,$45.06B
2006-01,$49.77B
2006-02,$50.52B
2006-03,$50.67B
2006-04,$54.26B
2006-05,$48.93B
2006-06,$45.31B
2006-07,$44.8B
2006-08,$48.35B
2006-09,$47.96B
2006-10,$50.78B
2006-11,$51.18B
2006-12,$51.94B
2007-01,$54.66B
2007-02,$49.73B
2007-03,$45.78B
2007-04,$44.04B
2007-05,$49.08B
2007-06,$47.88B
2007-07,$46.11B
2007-08,$40.38B
2007-09,$41.72B
2007-10,$48.06B
2007-11,$45.85B
2007-12,$44.58B
2008-01,$36.72B
2008-02,$34.94B
2008-03,$29.59B
2008-04,$33.11B
2008-05,$33.65B
2008-06,$31.49B
2008-07,$30.16B
2008-08,$30.2B
2008-09,$25.03B
2008-10,$17.7B
2008-11,$11.38B
2008-12,$11.49B
2009-01,$9.88B
2009-02,$10.99B
2009-03,$12.69B
2009-04,$18.49B
2009-05,$20.7B
2009-06,$21.04B
2009-07,$24.74B
2009-08,$23.34B
2009-09,$21.8B
2009-10,$24.13B
2009-11,$22.48B
2009-12,$29.12B
2010-01,$26.46B
2010-02,$25.35B
2010-03,$28.8B
2010-04,$29.59B
2010-05,$23.87B
2010-06,$23.09B
2010-07,$24.5B
2010-08,$23.68B
2010-09,$26.89B
2010-10,$26.19B
2010-11,$28.96B
2010-12,$28.52B
2011-01,$30.62B
2011-02,$30.8B
2011-03,$27.22B
2011-04,$28.54B
2011-05,$30.02B
2011-06,$31.05B
2011-07,$30.32B
2011-08,$25.71B
2011-09,$25.56B
2011-10,$27.11B
2011-11,$25.45B
2011-12,$25.52B
2012-01,$26.52B
2012-02,$30.68B
2012-03,$32.49B
2012-04,$30.89B
2012-05,$28.01B
2012-06,$27.64B
2012-07,$27.57B
2012-08,$26.97B
2012-09,$24.57B
2012-10,$24.68B
2012-11,$29.52B
2012-12,$29.97B
2013-01,$34.59B
2013-02,$34.62B
2013-03,$33.44B
2013-04,$37.54B
2013-05,$41.2B
2013-06,$37.14B
2013-07,$37.95B
2013-08,$36.1B
2013-09,$36.36B
2013-10,$36.29B
2013-11,$34.59B
2013-12,$32.67B
2014-01,$32.7B
2014-02,$33.66B
2014-03,$34.0B
2014-04,$32.41B
2014-05,$33.96B
2014-06,$35.51B
2014-07,$37.77B
2014-08,$36.92B
2014-09,$39.51B
2014-10,$36.88B
2014-11,$40.96B
2014-12,$39.06B
2015-01,$37.56B
2015-02,$46.71B
2015-03,$45.25B
2015-04,$46.25B
2015-05,$48.08B
2015-06,$47.14B
2015-07,$44.31B
2015-08,$40.56B
2015-09,$40.45B
2015-10,$46.82B
2015-11,$48.6B
2015-12,$47.3B
2016-01,$43.63B
2016-02,$37.88B
2016-03,$38.28B
2016-04,$36.75B
2016-05,$41.34B
2016-06,$32.89B
2016-07,$36.26B
2016-08,$36.37B
2016-09,$34.28B
2016-10,$37.27B
2016-11,$36.85B
2016-12,$41.0B
2017-01,$38.42B
2017-02,$37.97B
2017-03,$37.02B
2017-04,$36.5B
2017-05,$36.61B
2017-06,$38.56B
2017-07,$37.8B
2017-08,$37.69B
2017-09,$38.44B
2017-10,$37.88B
2017-11,$37.52B
2017-12,$38.75B
2018-01,$40.13B
2018-02,$38.8B
2018-03,$38.07B
2018-04,$39.7B
2018-05,$37.25B
2018-06,$37.16B
2018-07,$36.39B
2018-08,$35.85B
2018-09,$36.66B
2018-10,$35.42B
2018-11,$34.28B
2018-12,$30.35B
2019-01,$31.95B
2019-02,$33.18B
2019-03,$31.31B
2019-04,$30.82B
2019-05,$25.34B
2019-06,$26.62B
2019-07,$24.52B
2019-08,$22.64B
2019-09,$23.25B
2019-10,$23.78B
2019-11,$23.42B
2019-12,$21.94B
2020-01,$20.68B
2020-02,$15.99B
2020-03,$12.3B
2020-04,$12.36B
2020-05,$13.83B
2020-06,$13.77B
2020-07,$13.34B
2020-08,$14.21B
2020-09,$13.54B
2020-10,$13.07B
2020-11,$16.04B
2020-12,$19.06B
2021-01,$18.66B
2021-02,$20.98B
2021-03,$20.67B
2021-04,$19.42B
2021-05,$18.78B
2021-06,$19.22B
2021-07,$18.84B
2021-08,$20.61B
2021-09,$20.16B
2021-10,$19.58B
2021-11,$21.22B
2021-12,$19.61B
