timeline,トヨタ自動車株式会社
2001-01,$127.69B
2001-02,$130.48B
2001-03,$130.36B
2001-04,$124.76B
2001-05,$131.28B
2001-06,$129.8B
2001-07,$122.16B
2001-08,$112.58B
2001-09,$95.53B
2001-10,$90.65B
2001-11,$95.63B
2001-12,$93.89B
2002-01,$96.47B
2002-02,$94.8B
2002-03,$106.12B
2002-04,$100.06B
2002-05,$101.05B
2002-06,$96.72B
2002-07,$87.55B
2002-08,$91.32B
2002-09,$93.26B
2002-10,$88.69B
2002-11,$96.54B
2002-12,$96.72B
2003-01,$87.23B
2003-02,$86.65B
2003-03,$77.58B
2003-04,$78.14B
2003-05,$82.29B
2003-06,$89.4B
2003-07,$88.53B
2003-08,$95.59B
2003-09,$102.77B
2003-10,$100.13B
2003-11,$102.81B
2003-12,$118.65B
2004-01,$114.59B
2004-02,$119.31B
2004-03,$124.06B
2004-04,$121.91B
2004-05,$120.48B
2004-06,$135.92B
2004-07,$133.22B
2004-08,$131.87B
2004-09,$127.19B
2004-10,$129.21B
2004-11,$124.41B
2004-12,$136.33B
2005-01,$130.2B
2005-02,$129.52B
2005-03,$121.54B
2005-04,$118.81B
2005-05,$117.18B
2005-06,$116.82B
2005-07,$123.96B
2005-08,$133.96B
2005-09,$150.94B
2005-10,$151.66B
2005-11,$158.09B
2005-12,$170.95B
2006-01,$169.47B
2006-02,$174.63B
2006-03,$176.51B
2006-04,$189.85B
2006-05,$174.05B
2006-06,$169.53B
2006-07,$170.55B
2006-08,$175.61B
2006-09,$176.51B
2006-10,$191.26B
2006-11,$194.59B
2006-12,$217.7B
2007-01,$213.6B
2007-02,$216.55B
2007-03,$204.92B
2007-04,$194.15B
2007-05,$193.09B
2007-06,$201.28B
2007-07,$192.88B
2007-08,$184.97B
2007-09,$186.86B
2007-10,$182.99B
2007-11,$179.8B
2007-12,$169.76B
2008-01,$173.2B
2008-02,$173.57B
2008-03,$158.87B
2008-04,$159.83B
2008-05,$160.69B
2008-06,$148.02B
2008-07,$135.5B
2008-08,$141.07B
2008-09,$134.51B
2008-10,$119.28B
2008-11,$98.92B
2008-12,$102.62B
2009-01,$99.59B
2009-02,$99.01B
2009-03,$99.25B
2009-04,$124.12B
2009-05,$125.67B
2009-06,$119.39B
2009-07,$132.07B
2009-08,$134.58B
2009-09,$124.94B
2009-10,$127.47B
2009-11,$125.01B
2009-12,$130.75B
2010-01,$121.07B
2010-02,$117.5B
2010-03,$126.49B
2010-04,$122.18B
2010-05,$113.04B
2010-06,$108.95B
2010-07,$110.28B
2010-08,$106.1B
2010-09,$112.24B
2010-10,$109.74B
2010-11,$119.86B
2010-12,$123.89B
2011-01,$129.86B
2011-02,$146.74B
2011-03,$126.27B
2011-04,$124.17B
2011-05,$131.77B
2011-06,$128.21B
2011-07,$127.23B
2011-08,$111.79B
2011-09,$109.83B
2011-10,$109.44B
2011-11,$100.86B
2011-12,$103.51B
2012-01,$115.34B
2012-02,$130.66B
2012-03,$136.01B
2012-04,$130.2B
2012-05,$121.78B
2012-06,$127.29B
2012-07,$122.42B
2012-08,$124.77B
2012-09,$124.0B
2012-10,$121.81B
2012-11,$136.24B
2012-12,$147.51B
2013-01,$151.78B
2013-02,$163.43B
2013-03,$163.45B
2013-04,$182.57B
2013-05,$188.27B
2013-06,$192.62B
2013-07,$192.95B
2013-08,$191.41B
2013-09,$203.07B
2013-10,$204.55B
2013-11,$197.53B
2013-12,$193.91B
2014-01,$182.6B
2014-02,$181.18B
2014-03,$179.44B
2014-04,$170.44B
2014-05,$179.48B
2014-06,$190.15B
2014-07,$189.09B
2014-08,$181.16B
2014-09,$187.43B
2014-10,$188.76B
2014-11,$196.9B
2014-12,$198.99B
2015-01,$203.32B
2015-02,$212.43B
2015-03,$219.76B
2015-04,$221.03B
2015-05,$218.62B
2015-06,$210.4B
2015-07,$209.31B
2015-08,$186.73B
2015-09,$181.04B
2015-10,$192.18B
2015-11,$194.08B
2015-12,$191.06B
2016-01,$186.15B
2016-02,$159.35B
2016-03,$160.86B
2016-04,$158.88B
2016-05,$158.49B
2016-06,$147.98B
2016-07,$169.32B
2016-08,$182.57B
2016-09,$171.46B
2016-10,$194.01B
2016-11,$197.28B
2016-12,$197.4B
2017-01,$173.06B
2017-02,$168.65B
2017-03,$160.75B
2017-04,$161.36B
2017-05,$159.19B
2017-06,$156.48B
2017-07,$167.84B
2017-08,$166.46B
2017-09,$177.44B
2017-10,$181.52B
2017-11,$188.01B
2017-12,$191.03B
2018-01,$202.11B
2018-02,$199.07B
2018-03,$189.48B
2018-04,$191.62B
2018-05,$188.21B
2018-06,$191.84B
2018-07,$192.25B
2018-08,$182.06B
2018-09,$182.48B
2018-10,$167.87B
2018-11,$174.56B
2018-12,$165.28B
2019-01,$176.33B
2019-02,$173.92B
2019-03,$168.79B
2019-04,$175.08B
2019-05,$168.06B
2019-06,$178.68B
2019-07,$184.99B
2019-08,$186.94B
2019-09,$186.43B
2019-10,$193.31B
2019-11,$197.76B
2019-12,$196.93B
2020-01,$198.43B
2020-02,$183.53B
2020-03,$175.08B
2020-04,$172.94B
2020-05,$173.55B
2020-06,$177.34B
2020-07,$171.88B
2020-08,$185.29B
2020-09,$184.47B
2020-10,$183.79B
2020-11,$194.39B
2020-12,$206.04B
2021-01,$205.91B
2021-02,$220.92B
2021-03,$211.85B
2021-04,$213.46B
2021-05,$223.85B
2021-06,$249.47B
2021-07,$245.68B
2021-08,$244.88B
2021-09,$249.54B
2021-10,$244.49B
2021-11,$252.54B
2021-12,$251.66B
