timeline,スズキ株式会社
2001-01,$5.61B
2001-02,$5.83B
2001-03,$6.58B
2001-04,$7.48B
2001-05,$6.91B
2001-06,$7.91B
2001-07,$7.0B
2001-08,$6.86B
2001-09,$5.1B
2001-10,$5.99B
2001-11,$6.03B
2001-12,$6.84B
2002-01,$6.96B
2002-02,$7.79B
2002-03,$7.25B
2002-04,$7.36B
2002-05,$7.43B
2002-06,$7.06B
2002-07,$6.37B
2002-08,$6.11B
2002-09,$6.55B
2002-10,$6.25B
2002-11,$6.19B
2002-12,$6.15B
2003-01,$6.17B
2003-02,$6.44B
2003-03,$6.52B
2003-04,$6.76B
2003-05,$7.07B
2003-06,$7.47B
2003-07,$7.44B
2003-08,$7.66B
2003-09,$7.91B
2003-10,$7.61B
2003-11,$7.42B
2003-12,$7.59B
2004-01,$7.69B
2004-02,$8.41B
2004-03,$7.75B
2004-04,$8.33B
2004-05,$8.51B
2004-06,$9.2B
2004-07,$9.47B
2004-08,$8.53B
2004-09,$8.63B
2004-10,$8.97B
2004-11,$8.89B
2004-12,$8.96B
2005-01,$9.06B
2005-02,$9.46B
2005-03,$9.18B
2005-04,$8.57B
2005-05,$8.49B
2005-06,$8.34B
2005-07,$8.55B
2005-08,$9.18B
2005-09,$10.05B
2005-10,$9.52B
2005-11,$10.69B
2005-12,$10.45B
2006-01,$11.43B
2006-02,$11.1B
2006-03,$12.94B
2006-04,$13.3B
2006-05,$12.44B
2006-06,$11.84B
2006-07,$13.42B
2006-08,$14.4B
2006-09,$14.35B
2006-10,$15.88B
2006-12,$16.07B
2007-01,$16.6B
2007-02,$15.55B
2007-03,$14.64B
2007-04,$16.36B
2007-05,$16.27B
2007-06,$16.74B
2007-07,$16.65B
2007-08,$14.97B
2007-09,$16.27B
2007-10,$17.99B
2007-11,$17.27B
2007-12,$16.12B
2008-01,$12.8B
2008-02,$13.68B
2008-03,$12.03B
2008-04,$12.58B
2008-05,$13.97B
2008-06,$12.01B
2008-07,$11.34B
2008-08,$11.08B
2008-09,$9.18B
2008-10,$6.72B
2008-11,$6.16B
2008-12,$5.87B
2009-01,$5.9B
2009-02,$7.39B
2009-03,$6.48B
2009-04,$7.32B
2009-05,$8.43B
2009-06,$8.63B
2009-07,$9.5B
2009-08,$8.83B
2009-09,$8.33B
2009-10,$8.89B
2009-11,$8.15B
2009-12,$9.07B
2010-01,$8.16B
2010-02,$7.51B
2010-03,$8.2B
2010-04,$7.91B
2010-05,$7.27B
2010-07,$7.49B
2010-08,$6.9B
2010-09,$7.27B
2010-10,$8.12B
2010-11,$8.38B
2010-12,$8.28B
2011-01,$8.22B
2011-02,$7.99B
2011-03,$9.13B
2011-04,$9.42B
2011-05,$8.8B
2011-06,$8.93B
2011-07,$8.86B
2011-08,$7.74B
2011-09,$8.52B
2011-10,$8.38B
2011-11,$7.95B
2011-12,$7.87B
2012-01,$8.6B
2012-02,$9.53B
2012-03,$9.78B
2012-04,$9.38B
2012-05,$8.07B
2012-06,$8.02B
2012-07,$7.14B
2012-08,$7.06B
2012-09,$7.49B
2012-10,$8.94B
2012-11,$9.67B
2012-12,$11.09B
2013-01,$11.83B
2013-02,$10.96B
2013-03,$10.44B
2013-04,$12.35B
2013-05,$12.41B
2013-06,$11.31B
2013-07,$11.63B
2013-08,$10.45B
2013-09,$11.63B
2013-10,$12.17B
2013-11,$13.01B
2013-12,$13.99B
2014-01,$13.31B
2014-02,$13.51B
2014-03,$13.32B
2014-04,$13.03B
2014-05,$14.96B
2014-06,$15.69B
2014-07,$17.13B
2014-08,$16.72B
2014-09,$17.98B
2014-10,$18.07B
2014-11,$18.54B
2014-12,$18.0B
2015-01,$18.58B
2015-02,$18.69B
2015-03,$17.87B
2015-04,$19.2B
2015-05,$21.44B
2015-06,$20.45B
2015-07,$21.37B
2015-08,$20.42B
2015-09,$18.11B
2015-10,$19.73B
2015-11,$18.72B
2015-12,$18.31B
2016-01,$18.08B
2016-02,$13.97B
2016-03,$11.71B
2016-04,$11.96B
2016-05,$11.08B
2016-06,$10.71B
2016-07,$12.4B
2016-08,$13.34B
2016-09,$13.07B
2016-10,$14.51B
2016-11,$14.31B
2016-12,$16.0B
2017-01,$16.99B
2017-02,$17.09B
2017-03,$17.98B
2017-04,$18.1B
2017-05,$20.29B
2017-06,$20.73B
2017-07,$20.34B
2017-08,$21.5B
2017-09,$22.96B
2017-10,$24.02B
2017-11,$23.5B
2017-12,$25.42B
2018-01,$24.23B
2018-02,$23.91B
2018-03,$22.29B
2018-04,$22.94B
2018-05,$24.39B
2018-06,$23.83B
2018-07,$25.51B
2018-08,$28.16B
2018-09,$25.35B
2018-10,$22.01B
2018-11,$22.02B
2018-12,$21.68B
2019-01,$22.1B
2019-02,$22.2B
2019-03,$19.08B
2019-04,$20.6B
2019-05,$20.98B
2019-06,$20.6B
2019-07,$17.36B
2019-08,$16.67B
2019-09,$18.66B
2019-10,$20.89B
2019-11,$19.94B
2019-12,$18.58B
2020-01,$20.47B
2020-02,$18.78B
2020-03,$13.59B
2020-04,$14.84B
2020-05,$16.03B
2020-06,$15.65B
2020-07,$15.41B
2020-08,$17.48B
2020-09,$18.98B
2020-10,$19.85B
2020-11,$23.3B
2020-12,$21.32B
2021-01,$21.32B
2021-02,$21.13B
2021-03,$20.48B
2021-04,$19.37B
2021-05,$19.27B
2021-06,$20.44B
2021-07,$18.71B
2021-08,$20.58B
2021-09,$22.32B
2021-10,$21.39B
2021-11,$22.46B
2021-12,$19.88B
