timeline,ヤマハ発動機株式会社
2006-03,$7.34B
2006-04,$7.92B
2006-05,$7.56B
2006-06,$7.54B
2006-07,$7.53B
2006-08,$7.9B
2006-10,$8.07B
2006-11,$8.02B
2006-12,$9.44B
2007-02,$8.88B
2007-03,$8.33B
2007-04,$8.02B
2007-05,$7.82B
2007-06,$9.03B
2007-07,$8.5B
2007-08,$7.69B
2007-09,$7.39B
2007-10,$8.22B
2007-11,$7.62B
2007-12,$6.83B
2008-01,$6.08B
2008-02,$5.34B
2008-03,$4.63B
2008-04,$5.06B
2008-05,$5.41B
2008-06,$5.02B
2008-07,$4.62B
2008-08,$4.3B
2008-09,$3.58B
2008-10,$2.69B
2008-11,$2.28B
2008-12,$2.35B
2009-01,$2.16B
2009-02,$2.14B
2009-03,$2.21B
2009-04,$2.62B
2009-05,$2.71B
2009-07,$2.97B
2009-08,$2.77B
2009-09,$2.79B
2009-11,$2.55B
2009-12,$2.94B
2010-01,$3.12B
2010-02,$2.98B
2010-03,$3.53B
2010-04,$3.5B
2010-05,$3.32B
2010-06,$2.99B
2010-07,$2.83B
2010-08,$2.85B
2010-09,$3.16B
2010-10,$3.11B
2010-11,$3.02B
2010-12,$4.07B
2011-01,$4.67B
2011-02,$4.45B
2011-03,$4.47B
2011-04,$4.73B
2011-05,$4.47B
2011-06,$4.53B
2011-07,$4.6B
2011-08,$3.51B
2011-09,$3.19B
2011-10,$3.5B
2011-11,$3.22B
2011-12,$3.0B
2012-01,$3.1B
2012-02,$3.59B
2012-03,$3.41B
2012-04,$3.31B
2012-05,$2.4B
2012-06,$2.32B
2012-07,$2.05B
2012-08,$2.09B
2012-09,$2.1B
2012-10,$2.35B
2012-11,$2.66B
2012-12,$2.92B
2013-01,$3.57B
2013-02,$3.41B
2013-03,$3.97B
2013-04,$4.18B
2013-05,$4.96B
2013-06,$3.95B
2013-07,$4.05B
2013-08,$3.93B
2013-09,$4.41B
2013-10,$4.61B
2013-11,$5.03B
2013-12,$4.85B
2014-01,$4.23B
2014-02,$4.53B
2014-03,$5.06B
2014-04,$4.85B
2014-05,$4.92B
2014-06,$5.37B
2014-07,$5.32B
2014-08,$5.93B
2014-09,$6.6B
2014-10,$6.35B
2014-11,$7.77B
2014-12,$7.52B
2015-01,$8.04B
2015-02,$9.15B
2015-03,$8.93B
2015-04,$8.72B
2015-05,$9.59B
2015-06,$8.24B
2015-07,$8.68B
2015-08,$7.21B
2015-09,$7.36B
2015-10,$8.44B
2015-11,$9.25B
2015-12,$8.45B
2016-01,$7.31B
2016-02,$5.18B
2016-03,$5.76B
2016-04,$5.7B
2016-05,$6.04B
2016-06,$4.74B
2016-07,$5.41B
2016-08,$6.53B
2016-09,$6.22B
2016-10,$7.19B
2016-11,$8.1B
2016-12,$7.93B
2017-01,$7.25B
2017-02,$8.0B
2017-03,$8.25B
2017-04,$8.13B
2017-05,$8.56B
2017-06,$8.92B
2017-07,$8.56B
2017-08,$9.58B
2017-09,$10.38B
2017-11,$10.84B
2017-12,$11.38B
2018-01,$11.15B
2018-02,$10.48B
2018-03,$9.79B
2018-04,$10.78B
2018-05,$9.7B
2018-06,$8.58B
2018-07,$9.06B
2018-08,$8.67B
2018-09,$9.81B
2018-10,$8.25B
2018-11,$7.19B
2018-12,$6.65B
2019-01,$7.16B
2019-02,$6.95B
2019-03,$6.68B
2019-04,$7.04B
2019-05,$5.74B
2019-06,$5.9B
2019-07,$5.91B
2019-08,$5.35B
2019-09,$6.03B
2019-10,$6.59B
2019-11,$7.04B
2019-12,$6.78B
2020-01,$6.35B
2020-02,$5.66B
2020-03,$4.03B
2020-04,$4.32B
2020-05,$4.79B
2020-06,$5.2B
2020-07,$5.0B
2020-08,$5.15B
2020-09,$4.96B
2020-10,$4.67B
2020-11,$5.71B
2020-12,$6.56B
2021-01,$6.81B
2021-02,$7.4B
2021-03,$8.04B
2021-04,$8.46B
2021-05,$9.06B
2021-06,$9.79B
2021-07,$8.41B
2021-08,$8.79B
2021-09,$9.69B
2021-10,$9.68B
2021-11,$9.42B
2021-12,$9.09B
