timeline,株式会社シマノ
2006-12,$2.98B
2007-01,$3.02B
2007-02,$3.05B
2007-03,$3.14B
2007-04,$3.39B
2007-05,$3.52B
2007-06,$3.65B
2007-07,$3.29B
2007-08,$3.2B
2007-09,$3.44B
2007-10,$3.61B
2007-11,$3.56B
2007-12,$3.41B
2008-01,$3.44B
2008-02,$3.73B
2008-03,$3.89B
2008-04,$3.94B
2008-05,$4.28B
2008-06,$4.54B
2008-07,$4.23B
2008-08,$3.73B
2008-09,$3.02B
2008-10,$2.59B
2008-11,$3.03B
2008-12,$2.97B
2009-01,$2.62B
2009-02,$2.67B
2009-03,$2.59B
2009-04,$2.45B
2009-05,$2.93B
2009-06,$3.15B
2009-07,$3.25B
2009-08,$3.39B
2009-09,$3.28B
2009-10,$2.98B
2009-11,$3.04B
2009-12,$3.14B
2010-01,$3.09B
2010-02,$3.26B
2010-03,$3.47B
2010-04,$3.56B
2010-05,$3.13B
2010-06,$3.2B
2010-07,$3.67B
2010-08,$3.43B
2010-09,$3.73B
2010-10,$3.38B
2010-11,$3.47B
2010-12,$3.44B
2011-01,$3.39B
2011-02,$3.36B
2011-03,$3.4B
2011-04,$3.56B
2011-05,$3.48B
2011-06,$3.63B
2011-07,$3.36B
2011-08,$3.23B
2011-09,$3.36B
2011-10,$3.26B
2011-11,$3.03B
2011-12,$3.05B
2012-01,$3.1B
2012-02,$3.92B
2012-03,$4.08B
2012-04,$4.32B
2012-05,$3.84B
2012-06,$4.22B
2012-07,$4.29B
2012-08,$4.67B
2012-09,$4.57B
2012-10,$4.05B
2012-11,$4.44B
2012-12,$4.51B
2013-01,$5.06B
2013-02,$5.44B
2013-03,$6.49B
2013-04,$6.87B
2013-05,$6.45B
2013-06,$6.87B
2013-07,$7.23B
2013-08,$6.66B
2013-09,$7.17B
2013-10,$7.03B
2013-11,$7.44B
2013-12,$7.38B
2014-01,$7.46B
2014-02,$7.53B
2014-03,$8.48B
2014-04,$8.34B
2014-05,$8.58B
2014-06,$9.19B
2014-07,$9.89B
2014-08,$10.14B
2014-09,$10.9B
2014-10,$11.98B
2014-11,$13.16B
2014-12,$12.79B
2015-01,$12.8B
2015-02,$14.71B
2015-03,$14.61B
2015-04,$13.98B
2015-05,$14.44B
2015-06,$13.65B
2015-07,$14.07B
2015-08,$13.35B
2015-09,$13.68B
2015-10,$15.68B
2015-11,$14.93B
2015-12,$15.25B
2016-01,$15.53B
2016-02,$14.43B
2016-03,$14.42B
2016-04,$13.14B
2016-05,$14.13B
2016-06,$12.69B
2016-07,$13.28B
2016-08,$12.29B
2016-09,$12.19B
2016-10,$14.68B
2016-11,$15.36B
2016-12,$14.99B
2017-01,$14.56B
2017-02,$13.57B
2017-03,$13.28B
2017-04,$13.92B
2017-05,$14.06B
2017-06,$14.53B
2017-07,$13.22B
2017-08,$12.15B
2017-09,$12.25B
2017-10,$12.64B
2017-11,$12.68B
2017-12,$12.95B
2018-01,$12.75B
2018-02,$12.65B
2018-03,$12.54B
2018-04,$11.88B
2018-05,$12.58B
2018-06,$13.29B
2018-07,$13.12B
2018-08,$14.01B
2018-09,$14.96B
2018-10,$12.62B
2018-11,$13.55B
2018-12,$12.68B
2019-01,$12.44B
2019-02,$13.82B
2019-03,$14.71B
2019-04,$13.31B
2019-05,$13.6B
2019-06,$13.1B
2019-07,$12.61B
2019-08,$12.48B
2019-09,$13.31B
2019-10,$14.79B
2019-11,$14.47B
2019-12,$14.52B
2020-01,$13.78B
2020-02,$12.36B
2020-03,$12.62B
2020-05,$14.45B
2020-06,$16.62B
2020-07,$18.14B
2020-08,$18.3B
2020-09,$17.16B
2020-10,$17.54B
2020-11,$19.68B
2020-12,$19.73B
2021-01,$20.68B
2021-02,$19.77B
2021-03,$20.82B
2021-04,$21.21B
2021-05,$20.12B
2021-06,$20.19B
2021-07,$22.95B
2021-08,$26.02B
2021-09,$28.87B
2021-10,$25.19B
2021-11,$25.9B
2021-12,$26.53B
