timeline,株式会社パン・パシフィック・インターナショナルホールディングス
2006-06,$1.63B
2006-07,$1.34B
2006-08,$1.51B
2006-09,$1.57B
2006-11,$1.5B
2006-12,$1.43B
2007-01,$1.63B
2007-02,$1.47B
2007-03,$1.45B
2007-04,$1.37B
2007-05,$1.51B
2007-06,$1.55B
2007-07,$1.5B
2007-08,$1.51B
2007-09,$1.5B
2007-10,$1.48B
2007-11,$1.49B
2007-12,$1.39B
2008-01,$1.19B
2008-02,$1.07B
2008-03,$1.15B
2008-04,$1.2B
2008-05,$1.4B
2008-06,$1.18B
2008-07,$1.23B
2008-08,$1.17B
2008-09,$1.15B
2008-10,$1.08B
2008-11,$1.25B
2008-12,$1.09B
2009-01,$0.87B
2009-02,$0.71B
2009-03,$0.77B
2009-04,$0.91B
2009-05,$1.01B
2009-06,$1.13B
2009-07,$1.2B
2009-08,$1.36B
2009-09,$1.3B
2009-10,$1.48B
2009-11,$1.33B
2009-12,$1.38B
2010-01,$1.24B
2010-02,$1.38B
2010-03,$1.43B
2010-04,$1.55B
2010-05,$1.47B
2010-06,$1.46B
2010-07,$1.38B
2010-08,$1.26B
2010-09,$1.27B
2010-10,$1.35B
2010-11,$1.48B
2010-12,$1.52B
2011-01,$1.62B
2011-02,$1.75B
2011-03,$1.61B
2011-04,$1.85B
2011-05,$1.74B
2011-06,$1.71B
2011-07,$1.63B
2011-08,$1.76B
2011-09,$1.71B
2011-10,$1.77B
2011-11,$1.62B
2012-01,$1.74B
2012-02,$1.91B
2012-03,$2.04B
2012-04,$2.0B
2012-05,$1.91B
2012-06,$1.86B
2012-07,$1.78B
2012-08,$1.94B
2012-09,$2.04B
2012-10,$2.14B
2012-11,$2.18B
2012-12,$2.16B
2013-01,$2.48B
2013-03,$2.84B
2013-04,$3.62B
2013-05,$3.13B
2013-06,$3.3B
2013-07,$3.52B
2013-08,$3.51B
2013-09,$4.23B
2013-10,$4.48B
2013-11,$4.31B
2013-12,$4.39B
2014-01,$4.37B
2014-02,$3.81B
2014-03,$3.68B
2014-04,$3.72B
2014-05,$4.14B
2014-06,$3.9B
2014-07,$3.89B
2014-08,$3.81B
2014-09,$4.35B
2014-10,$4.56B
2014-11,$5.12B
2014-12,$5.79B
2015-01,$5.98B
2015-02,$6.45B
2015-03,$6.8B
2015-04,$6.34B
2015-05,$6.68B
2015-06,$7.25B
2015-07,$7.37B
2015-08,$6.56B
2015-09,$6.26B
2015-10,$6.24B
2015-11,$6.8B
2015-12,$5.96B
2016-01,$5.61B
2016-02,$5.26B
2016-03,$5.45B
2016-04,$5.54B
2016-05,$4.96B
2016-06,$5.27B
2016-07,$5.65B
2016-08,$4.71B
2016-09,$5.14B
2016-10,$5.57B
2016-11,$6.1B
2016-12,$6.03B
2017-01,$5.71B
2017-02,$5.55B
2017-03,$5.38B
2017-04,$5.67B
2017-05,$6.04B
2017-06,$5.94B
2017-07,$5.6B
2017-08,$5.82B
2017-09,$5.86B
2017-10,$6.6B
2017-11,$7.49B
2017-12,$8.21B
2018-01,$8.44B
2018-02,$8.38B
2018-03,$8.52B
2018-04,$8.23B
2018-05,$8.09B
2018-06,$7.42B
2018-07,$7.28B
2018-08,$7.53B
2018-09,$8.02B
2018-10,$9.43B
2018-11,$9.61B
2018-12,$9.52B
2019-01,$8.83B
2019-02,$9.26B
2019-03,$10.23B
2019-04,$10.01B
2019-05,$9.38B
2019-06,$9.55B
2019-07,$9.71B
2019-08,$9.27B
2019-09,$10.08B
2019-10,$9.53B
2019-11,$9.91B
2019-12,$10.12B
2020-01,$9.87B
2020-02,$9.99B
2020-03,$11.45B
2020-04,$11.63B
2020-05,$12.13B
2020-06,$13.24B
2020-07,$13.47B
2020-08,$13.62B
2020-09,$13.37B
2020-10,$13.11B
2020-11,$13.6B
2020-12,$13.52B
2021-01,$12.97B
2021-02,$14.18B
2021-03,$14.59B
2021-04,$14.02B
2021-05,$12.53B
2021-06,$12.89B
2021-07,$13.24B
2021-08,$12.78B
2021-09,$11.96B
2021-10,$13.22B
2021-11,$11.6B
2021-12,$9.88B
