timeline,オリンパス株式会社
2002-03,$3.85B
2002-04,$3.89B
2002-05,$4.29B
2002-06,$3.9B
2002-07,$3.69B
2002-08,$3.94B
2002-09,$4.16B
2002-10,$4.33B
2002-11,$4.69B
2002-12,$4.51B
2003-01,$4.25B
2003-02,$4.45B
2003-03,$4.29B
2003-04,$4.81B
2003-05,$5.27B
2003-06,$5.79B
2003-07,$6.24B
2003-08,$6.25B
2003-09,$6.2B
2003-10,$5.62B
2003-11,$5.47B
2003-12,$5.42B
2004-01,$5.16B
2004-02,$5.3B
2004-03,$5.22B
2004-04,$4.99B
2004-05,$4.63B
2004-06,$4.8B
2004-07,$5.02B
2004-08,$4.85B
2004-09,$4.95B
2004-10,$4.79B
2004-11,$4.63B
2004-12,$5.09B
2005-01,$5.04B
2005-02,$5.36B
2005-03,$5.83B
2005-04,$4.95B
2005-05,$4.97B
2005-07,$5.29B
2005-08,$5.08B
2005-09,$5.86B
2005-10,$6.0B
2005-11,$7.18B
2005-12,$7.23B
2006-02,$7.86B
2006-03,$8.28B
2006-04,$7.8B
2006-05,$7.29B
2006-06,$7.32B
2006-07,$7.89B
2006-08,$8.32B
2006-10,$8.9B
2006-11,$8.68B
2006-12,$8.95B
2007-01,$9.23B
2007-02,$9.5B
2007-03,$9.64B
2007-04,$10.05B
2007-05,$11.03B
2007-06,$11.5B
2007-07,$11.74B
2007-08,$11.82B
2007-09,$11.29B
2007-10,$11.36B
2007-11,$10.86B
2007-12,$11.05B
2008-01,$8.51B
2008-02,$7.41B
2008-03,$7.2B
2008-04,$8.15B
2008-05,$8.2B
2008-06,$8.55B
2008-07,$8.67B
2008-08,$8.51B
2008-09,$7.22B
2008-10,$4.39B
2008-11,$4.73B
2008-12,$4.17B
2009-01,$3.53B
2009-02,$3.14B
2009-03,$3.76B
2009-04,$3.81B
2009-05,$4.45B
2009-06,$5.44B
2009-07,$6.47B
2009-08,$6.02B
2009-09,$5.66B
2009-10,$6.9B
2009-11,$6.25B
2009-12,$7.09B
2010-01,$6.45B
2010-02,$6.53B
2010-03,$7.14B
2010-04,$6.82B
2010-05,$5.66B
2010-06,$5.05B
2010-07,$5.51B
2010-08,$4.77B
2010-09,$5.2B
2010-10,$5.02B
2010-11,$5.61B
2010-12,$5.85B
2011-01,$5.48B
2011-02,$5.68B
2011-03,$5.51B
2011-04,$5.43B
2011-05,$5.98B
2011-06,$6.43B
2011-07,$6.53B
2011-08,$5.22B
2011-09,$5.69B
2011-10,$2.85B
2011-11,$2.41B
2011-12,$2.38B
2012-01,$3.02B
2012-02,$3.2B
2012-03,$3.19B
2012-04,$2.96B
2012-06,$3.03B
2012-07,$3.48B
2012-08,$3.64B
2012-09,$3.58B
2012-10,$3.28B
2012-11,$3.39B
2012-12,$4.11B
2013-01,$5.0B
2013-02,$5.02B
2013-03,$5.46B
2013-04,$6.49B
2013-05,$8.18B
2013-06,$8.01B
2013-07,$7.96B
2013-08,$8.46B
2013-09,$8.9B
2013-10,$9.36B
2013-11,$10.27B
2013-12,$9.93B
2014-01,$9.1B
2014-02,$10.53B
2014-03,$9.93B
2014-04,$9.41B
2014-05,$9.88B
2014-06,$10.53B
2014-07,$11.31B
2014-08,$11.21B
2014-09,$11.87B
2014-10,$11.81B
2014-11,$13.03B
2014-12,$12.88B
2015-01,$12.43B
2015-02,$13.08B
2015-03,$13.47B
2015-04,$13.09B
2015-05,$12.81B
2015-06,$12.76B
2015-07,$14.33B
2015-08,$13.37B
2015-09,$11.21B
2015-10,$12.39B
2015-11,$14.81B
2015-12,$14.48B
2016-01,$14.0B
2016-02,$12.43B
2016-03,$13.2B
2016-04,$13.11B
2016-05,$14.17B
2016-06,$11.45B
2016-07,$10.8B
2016-08,$10.21B
2016-09,$10.56B
2016-10,$11.31B
2016-11,$12.13B
2016-12,$12.19B
2017-01,$11.75B
2017-02,$11.99B
2017-03,$12.91B
2017-04,$12.94B
2017-05,$12.2B
2017-06,$12.37B
2017-07,$12.1B
2017-08,$11.45B
2017-09,$11.5B
2017-10,$12.64B
2017-11,$13.91B
2017-12,$13.04B
2018-01,$12.63B
2018-02,$12.96B
2018-03,$12.17B
2018-04,$12.3B
2018-05,$11.62B
2018-06,$12.49B
2018-07,$13.62B
2018-09,$13.35B
2018-10,$11.35B
2018-11,$9.62B
2018-12,$10.16B
2019-01,$13.45B
2019-02,$14.82B
2019-03,$14.47B
2019-04,$14.98B
2019-05,$15.47B
2019-06,$14.4B
2019-07,$14.36B
2019-08,$14.98B
2019-09,$16.5B
2019-10,$16.77B
2019-11,$18.41B
2019-12,$19.14B
2020-01,$20.23B
2020-02,$22.24B
2020-03,$17.17B
2020-05,$19.92B
2020-06,$23.52B
2020-07,$22.13B
2020-08,$22.84B
2020-09,$24.34B
2020-10,$23.23B
2020-11,$24.66B
2020-12,$24.95B
2021-01,$23.23B
2021-02,$24.76B
2021-03,$26.07B
2021-04,$26.16B
2021-05,$25.06B
2021-06,$25.56B
2021-07,$23.97B
2021-08,$26.34B
2021-09,$28.23B
2021-10,$27.8B
2021-11,$29.05B
2021-12,$28.74B
