timeline,株式会社バンダイナムコホールディングス
2006-03,$1.41B
2006-04,$1.43B
2006-06,$1.52B
2006-07,$1.44B
2006-08,$1.61B
2006-09,$1.62B
2006-11,$1.53B
2006-12,$1.52B
2007-02,$1.53B
2007-03,$1.6B
2007-04,$1.7B
2007-05,$1.8B
2007-06,$1.7B
2007-07,$1.63B
2007-08,$1.46B
2007-10,$1.54B
2007-11,$1.59B
2007-12,$1.52B
2008-01,$1.29B
2008-02,$1.14B
2008-03,$1.18B
2008-04,$1.14B
2008-05,$1.2B
2009-03,$2.09B
2009-04,$2.08B
2009-05,$2.14B
2009-06,$2.26B
2009-08,$2.1B
2009-09,$1.96B
2009-10,$1.99B
2009-11,$1.83B
2009-12,$1.89B
2010-01,$1.92B
2010-02,$1.75B
2010-03,$1.94B
2010-04,$2.0B
2010-05,$1.76B
2010-06,$1.67B
2010-07,$1.65B
2010-08,$1.7B
2010-09,$1.65B
2010-10,$1.58B
2010-11,$1.72B
2010-12,$1.86B
2011-01,$1.91B
2011-02,$2.05B
2011-03,$1.89B
2011-04,$1.86B
2011-05,$1.95B
2011-06,$2.01B
2011-07,$2.03B
2011-08,$2.21B
2011-09,$2.1B
2011-10,$2.3B
2011-11,$2.2B
2011-12,$2.19B
2012-01,$2.17B
2012-02,$2.27B
2012-03,$2.34B
2012-04,$2.25B
2012-05,$1.87B
2012-06,$2.13B
2012-07,$2.18B
2012-08,$2.4B
2012-09,$2.56B
2012-10,$2.43B
2012-11,$2.24B
2012-12,$2.16B
2013-01,$2.52B
2013-02,$2.85B
2013-03,$3.22B
2013-04,$3.44B
2013-05,$3.2B
2013-06,$3.12B
2013-07,$3.07B
2013-08,$3.04B
2013-09,$3.55B
2013-10,$3.58B
2013-11,$4.03B
2013-12,$4.52B
2014-01,$4.51B
2014-02,$4.41B
2014-03,$4.73B
2014-04,$4.27B
2014-05,$4.3B
2014-06,$4.59B
2014-07,$5.1B
2014-08,$5.63B
2014-09,$5.45B
2014-10,$5.23B
2014-11,$4.98B
2014-12,$4.97B
2015-01,$4.65B
2015-02,$4.2B
2015-03,$4.53B
2015-04,$4.77B
2015-05,$4.95B
2015-06,$4.59B
2015-07,$5.32B
2015-08,$5.44B
2015-09,$5.36B
2015-10,$5.78B
2015-11,$5.31B
2015-12,$4.97B
2016-01,$5.27B
2016-02,$4.36B
2016-03,$4.75B
2016-04,$4.53B
2016-05,$5.32B
2016-06,$5.1B
2016-07,$5.3B
2016-08,$5.47B
2016-09,$5.96B
2016-10,$6.1B
2016-11,$6.32B
2016-12,$6.25B
2017-01,$6.02B
2017-02,$6.27B
2017-03,$6.45B
2017-04,$6.77B
2017-05,$7.66B
2017-06,$7.42B
2017-07,$7.43B
2017-08,$7.14B
2017-09,$7.48B
2017-10,$7.5B
2017-11,$7.07B
2017-12,$7.14B
2018-01,$6.89B
2018-02,$6.71B
2018-03,$6.77B
2018-04,$7.2B
2018-05,$8.97B
2018-06,$8.85B
2018-07,$8.65B
2018-08,$8.35B
2018-09,$8.55B
2018-10,$7.78B
2018-11,$9.24B
2018-12,$9.54B
2019-01,$9.29B
2019-02,$9.18B
2019-03,$10.06B
2019-04,$10.27B
2019-05,$10.35B
2019-06,$10.13B
2019-07,$11.43B
2019-08,$12.11B
2019-09,$13.04B
2019-10,$12.92B
2019-11,$12.86B
2019-12,$12.85B
2020-01,$12.36B
2020-02,$10.41B
2020-03,$10.75B
2020-04,$10.5B
2020-05,$11.61B
2020-06,$10.98B
2020-07,$11.27B
2020-08,$12.61B
2020-09,$13.91B
2020-10,$15.12B
2020-11,$17.14B
2020-12,$17.74B
2021-01,$17.68B
2021-02,$16.71B
2021-03,$15.72B
2021-04,$15.76B
2021-05,$15.28B
2021-06,$15.35B
2021-07,$14.04B
2021-08,$14.95B
2021-09,$17.25B
2021-10,$16.37B
2021-11,$17.86B
2021-12,$17.8B
