timeline,凸版印刷株式会社
2001-03,$5.81B
2001-04,$7.31B
2001-05,$8.11B
2001-06,$7.91B
2001-07,$7.51B
2001-08,$6.96B
2001-09,$6.66B
2001-10,$7.03B
2001-11,$6.94B
2001-12,$7.46B
2002-01,$6.33B
2002-02,$7.09B
2002-03,$7.28B
2002-04,$8.01B
2002-05,$8.54B
2002-06,$7.69B
2002-07,$6.48B
2002-08,$6.58B
2002-09,$6.63B
2002-10,$5.62B
2002-11,$5.57B
2002-12,$5.51B
2003-01,$5.03B
2003-02,$5.02B
2003-03,$4.65B
2003-04,$4.66B
2003-05,$4.76B
2003-06,$5.31B
2003-07,$5.68B
2003-08,$5.82B
2003-09,$5.68B
2003-10,$6.22B
2003-11,$6.19B
2003-12,$6.88B
2004-01,$7.28B
2004-02,$7.89B
2004-03,$8.27B
2004-04,$8.0B
2004-05,$8.26B
2004-06,$7.62B
2004-07,$6.87B
2004-08,$7.01B
2004-09,$6.67B
2004-10,$6.32B
2004-11,$6.61B
2004-12,$7.01B
2005-01,$6.85B
2005-03,$7.24B
2005-04,$7.07B
2005-05,$6.84B
2005-06,$7.25B
2005-07,$6.78B
2005-08,$6.79B
2005-09,$7.38B
2005-10,$6.9B
2005-11,$8.12B
2005-12,$8.5B
2006-01,$9.78B
2006-02,$9.18B
2006-03,$10.07B
2006-04,$9.38B
2006-05,$8.67B
2006-06,$7.98B
2006-07,$8.14B
2006-08,$8.19B
2006-09,$8.08B
2006-10,$7.91B
2006-11,$7.67B
2006-12,$8.11B
2007-01,$8.01B
2007-02,$7.38B
2007-03,$7.59B
2007-04,$7.53B
2007-05,$7.92B
2007-06,$8.17B
2007-07,$7.98B
2007-08,$7.17B
2007-09,$7.3B
2007-10,$6.92B
2007-11,$6.72B
2007-12,$6.78B
2008-01,$6.58B
2008-02,$7.08B
2008-03,$7.13B
2008-05,$7.49B
2008-06,$7.21B
2008-07,$6.91B
2008-08,$6.11B
2008-09,$5.05B
2008-10,$4.38B
2008-11,$4.41B
2008-12,$4.22B
2009-01,$3.79B
2009-02,$3.64B
2009-03,$3.88B
2009-04,$4.3B
2009-05,$4.97B
2009-06,$5.65B
2009-07,$5.6B
2009-08,$5.32B
2009-09,$4.92B
2009-10,$4.78B
2009-11,$4.06B
2009-12,$4.35B
2010-01,$4.58B
2010-02,$4.47B
2010-03,$4.8B
2010-04,$4.9B
2010-05,$4.42B
2010-06,$4.03B
2010-07,$4.06B
2010-08,$3.64B
2010-09,$3.72B
2010-10,$3.69B
2010-11,$3.98B
2010-12,$4.22B
2011-01,$4.24B
2011-02,$4.26B
2011-03,$3.72B
2011-04,$3.6B
2011-05,$3.52B
2011-06,$3.53B
2011-07,$3.46B
2011-08,$3.22B
2011-09,$3.23B
2011-10,$3.5B
2011-11,$3.17B
2011-12,$3.21B
2012-01,$3.46B
2012-02,$3.63B
2012-03,$3.66B
2012-04,$3.08B
2012-05,$2.71B
2012-06,$3.0B
2012-07,$2.77B
2012-08,$2.6B
2012-09,$2.57B
2012-10,$2.61B
2012-11,$2.89B
2012-12,$3.02B
2013-01,$3.21B
2013-02,$3.54B
2013-03,$3.83B
2013-04,$4.2B
2013-05,$3.79B
2013-06,$3.9B
2013-07,$3.77B
2013-08,$4.09B
2013-09,$4.48B
2013-10,$4.38B
2013-11,$4.69B
2013-12,$4.76B
2014-01,$4.28B
2014-03,$4.18B
2014-04,$3.98B
2014-05,$4.27B
2014-06,$4.44B
2014-07,$4.49B
2014-08,$4.33B
2014-09,$4.46B
2014-10,$4.23B
2014-11,$4.33B
2014-12,$4.46B
2015-01,$4.48B
2015-02,$4.86B
2015-03,$5.23B
2015-04,$5.69B
2015-05,$5.95B
2015-06,$5.78B
2015-07,$6.09B
2015-08,$5.69B
2015-09,$5.43B
2015-10,$6.16B
2015-11,$6.1B
2015-12,$6.32B
2016-01,$5.87B
2016-02,$5.38B
2016-03,$5.33B
2016-04,$5.35B
2016-05,$5.66B
2016-06,$4.96B
2016-07,$5.15B
2016-08,$5.21B
2016-09,$5.13B
2016-10,$5.58B
2016-11,$5.86B
2016-12,$6.3B
2017-01,$6.26B
2017-02,$6.39B
2017-03,$6.44B
2017-04,$6.37B
2017-05,$6.93B
2017-06,$7.0B
2017-07,$6.62B
2017-08,$6.25B
2017-09,$6.34B
2017-10,$6.52B
2017-11,$5.94B
2017-12,$5.79B
2018-01,$5.82B
2018-02,$5.22B
2018-03,$4.96B
2018-04,$5.2B
2018-05,$5.04B
2018-06,$4.93B
2018-07,$4.88B
2018-08,$4.92B
2018-09,$5.18B
2018-10,$4.54B
2018-11,$5.19B
2018-12,$4.59B
2019-01,$5.06B
2019-02,$5.03B
2019-03,$4.74B
2019-04,$5.11B
2019-05,$4.5B
2019-06,$4.64B
2019-07,$5.05B
2019-09,$5.71B
2019-10,$6.0B
2019-11,$6.5B
2019-12,$6.75B
2020-01,$6.56B
2020-02,$5.62B
2020-03,$5.06B
2020-04,$4.92B
2020-06,$5.52B
2020-07,$5.21B
2020-08,$5.06B
2020-09,$4.71B
2020-10,$4.26B
2020-11,$4.41B
2020-12,$4.55B
2021-01,$4.58B
2021-02,$4.95B
2021-03,$5.65B
2021-04,$5.8B
2021-05,$5.56B
2021-06,$5.63B
2021-07,$5.56B
2021-08,$5.76B
2021-09,$6.23B
2021-10,$5.55B
2021-11,$5.6B
2021-12,$5.4B
