timeline,ヤマハ株式会社
2001-01,$2.25B
2001-02,$2.51B
2001-03,$2.4B
2001-04,$2.29B
2001-05,$2.25B
2001-06,$2.29B
2001-07,$2.27B
2001-08,$2.2B
2001-09,$1.56B
2001-10,$1.77B
2001-11,$1.89B
2001-12,$1.77B
2002-01,$1.75B
2002-02,$1.57B
2002-03,$1.66B
2002-04,$1.76B
2002-05,$2.22B
2002-06,$2.12B
2002-07,$2.01B
2002-08,$2.07B
2002-09,$2.1B
2002-10,$1.92B
2002-11,$2.15B
2002-12,$2.0B
2003-01,$2.38B
2003-02,$2.42B
2003-03,$2.43B
2003-04,$2.46B
2003-05,$2.94B
2003-06,$3.0B
2003-07,$2.94B
2003-08,$3.5B
2003-09,$3.85B
2003-10,$4.03B
2003-11,$3.56B
2003-12,$3.83B
2004-01,$3.66B
2004-02,$3.69B
2004-03,$3.54B
2004-04,$3.77B
2004-05,$3.03B
2004-06,$3.26B
2004-07,$3.08B
2004-08,$2.98B
2004-09,$3.05B
2004-10,$2.95B
2004-11,$2.65B
2004-12,$2.85B
2005-01,$2.88B
2005-02,$2.87B
2005-03,$2.82B
2005-04,$2.83B
2005-05,$2.89B
2005-06,$3.15B
2005-07,$3.3B
2005-08,$3.47B
2005-09,$3.58B
2005-10,$3.73B
2005-11,$3.41B
2005-12,$3.57B
2006-01,$3.74B
2006-02,$3.65B
2006-03,$3.79B
2006-04,$3.83B
2006-05,$4.19B
2006-06,$3.91B
2006-07,$4.05B
2006-08,$4.43B
2006-09,$4.52B
2006-10,$4.55B
2006-11,$4.41B
2006-12,$4.59B
2007-01,$4.48B
2007-02,$4.93B
2007-03,$4.79B
2007-04,$5.05B
2007-05,$4.68B
2007-06,$4.66B
2007-07,$4.73B
2007-08,$4.46B
2007-09,$4.69B
2007-10,$4.86B
2007-11,$4.89B
2007-12,$4.65B
2008-01,$3.99B
2008-02,$3.77B
2008-03,$3.47B
2008-04,$3.72B
2008-05,$3.81B
2008-06,$3.73B
2008-07,$4.05B
2008-08,$3.51B
2008-09,$3.25B
2008-10,$1.69B
2008-11,$1.6B
2008-12,$1.49B
2009-01,$1.46B
2009-02,$1.39B
2009-03,$1.68B
2009-04,$1.97B
2009-05,$2.11B
2009-06,$2.1B
2009-07,$2.19B
2009-08,$2.08B
2009-09,$1.85B
2009-10,$1.66B
2009-11,$1.53B
2009-12,$1.94B
2010-01,$1.88B
2010-02,$1.83B
2010-03,$2.1B
2010-04,$2.01B
2010-05,$1.62B
2010-06,$1.59B
2010-07,$1.67B
2010-08,$1.5B
2010-09,$1.69B
2010-10,$1.72B
2010-11,$1.71B
2010-12,$1.75B
2011-02,$1.82B
2011-03,$1.61B
2011-04,$1.73B
2011-05,$1.56B
2011-08,$1.47B
2011-09,$1.45B
2011-10,$1.38B
2011-11,$1.24B
2011-12,$1.21B
2012-01,$1.2B
2012-02,$1.33B
2012-03,$1.46B
2012-04,$1.33B
2012-05,$1.15B
2012-06,$1.39B
2012-07,$1.3B
2012-08,$1.34B
2012-09,$1.24B
2012-10,$1.19B
2012-11,$1.24B
2012-12,$1.55B
2013-01,$1.65B
2013-02,$1.57B
2013-03,$1.59B
2013-04,$1.78B
2013-05,$1.88B
2013-06,$1.94B
2013-07,$2.15B
2013-08,$2.12B
2013-09,$2.39B
2013-10,$2.49B
2013-11,$2.75B
2013-12,$2.85B
2014-01,$2.61B
2014-02,$2.37B
2014-03,$2.27B
2014-04,$2.34B
2014-05,$2.71B
2014-06,$2.73B
2014-07,$2.72B
2014-08,$2.55B
2014-09,$2.45B
2014-10,$2.56B
2014-11,$3.02B
2014-12,$3.06B
2015-01,$2.95B
2015-02,$3.46B
2015-03,$3.59B
2015-04,$3.72B
2015-05,$4.32B
2015-06,$4.22B
2015-07,$4.99B
2015-08,$4.74B
2015-09,$4.5B
2015-10,$5.16B
2015-11,$5.29B
2015-12,$5.03B
2016-01,$4.83B
2016-02,$5.38B
2016-03,$5.63B
2016-04,$5.31B
2016-05,$5.58B
2016-06,$4.54B
2016-07,$4.75B
2016-08,$5.57B
2016-09,$5.39B
2016-10,$6.23B
2016-11,$5.78B
2016-12,$5.93B
2017-01,$5.73B
2017-02,$4.86B
2017-03,$5.06B
2017-04,$5.11B
2017-05,$5.92B
2017-06,$6.41B
2017-07,$6.44B
2017-08,$6.33B
2017-09,$6.86B
2017-10,$7.34B
2017-11,$6.83B
2017-12,$6.88B
2018-01,$7.32B
2018-02,$7.63B
2018-03,$7.54B
2018-04,$8.48B
2018-05,$9.11B
2018-06,$9.23B
2018-07,$8.11B
2018-08,$8.25B
2018-09,$9.35B
2018-10,$7.73B
2018-11,$7.59B
2018-12,$7.27B
2019-01,$7.39B
2019-02,$8.74B
2019-03,$8.82B
2019-04,$9.05B
2019-05,$7.68B
2019-06,$8.04B
2019-07,$8.11B
2019-08,$7.21B
2019-09,$7.63B
2019-10,$7.97B
2019-11,$9.48B
2019-12,$9.5B
2020-01,$8.82B
2020-02,$8.34B
2020-03,$6.53B
2020-04,$6.79B
2020-05,$8.12B
2020-06,$7.86B
2020-07,$7.53B
2020-08,$7.8B
2020-09,$7.8B
2020-10,$7.68B
2020-11,$8.9B
2020-12,$9.58B
2021-01,$9.44B
2021-02,$9.32B
2021-03,$9.67B
2021-04,$9.57B
2021-05,$9.82B
2021-06,$9.8B
2021-07,$9.38B
2021-08,$9.99B
2021-09,$11.56B
2021-10,$10.73B
2021-11,$9.83B
2021-12,$9.04B
