timeline,ピジョン株式会社
2006-01,$0.29B
2006-04,$0.3B
2006-05,$0.29B
2006-06,$0.31B
2006-08,$0.34B
2006-09,$0.35B
2006-10,$0.37B
2006-12,$0.36B
2007-01,$0.37B
2007-02,$0.36B
2007-04,$0.32B
2007-05,$0.35B
2007-07,$0.34B
2007-10,$0.35B
2007-11,$0.34B
2007-12,$0.33B
2008-01,$0.3B
2008-02,$0.29B
2008-03,$0.36B
2008-04,$0.34B
2008-06,$0.37B
2008-07,$0.44B
2008-08,$0.45B
2008-09,$0.52B
2008-10,$0.5B
2008-11,$0.54B
2008-12,$0.47B
2009-01,$0.4B
2009-02,$0.33B
2009-03,$0.43B
2009-06,$0.54B
2009-07,$0.6B
2009-08,$0.68B
2009-09,$0.63B
2009-10,$0.62B
2009-11,$0.66B
2009-12,$0.64B
2010-01,$0.63B
2010-02,$0.61B
2010-04,$0.62B
2010-05,$0.55B
2010-06,$0.58B
2010-07,$0.56B
2010-08,$0.55B
2010-09,$0.47B
2010-10,$0.42B
2010-11,$0.5B
2010-12,$0.49B
2011-01,$0.44B
2011-02,$0.43B
2011-03,$0.46B
2011-04,$0.49B
2011-06,$0.47B
2011-07,$0.52B
2011-08,$0.49B
2011-09,$0.56B
2011-10,$0.51B
2011-11,$0.53B
2011-12,$0.55B
2012-01,$0.51B
2012-02,$0.5B
2012-03,$0.54B
2012-04,$0.57B
2012-05,$0.56B
2012-06,$0.62B
2012-07,$0.6B
2012-08,$0.65B
2012-09,$0.63B
2012-10,$0.65B
2012-12,$0.73B
2013-01,$0.88B
2013-02,$0.92B
2013-03,$1.21B
2013-04,$1.48B
2013-05,$1.44B
2013-06,$1.39B
2013-07,$1.63B
2013-08,$1.6B
2013-09,$1.7B
2013-10,$1.78B
2013-11,$1.73B
2013-12,$1.8B
2014-01,$1.66B
2014-02,$1.62B
2014-03,$1.65B
2014-04,$1.62B
2014-05,$1.67B
2014-06,$1.89B
2014-07,$2.1B
2014-08,$2.17B
2014-09,$2.19B
2014-10,$2.42B
2014-11,$2.58B
2014-12,$2.49B
2015-01,$2.61B
2015-02,$2.92B
2015-03,$3.56B
2015-04,$3.35B
2015-05,$3.44B
2015-06,$4.07B
2015-07,$3.99B
2015-08,$3.4B
2015-09,$2.94B
2015-10,$3.61B
2015-11,$3.73B
2015-12,$3.13B
2016-01,$2.69B
2016-02,$2.78B
2016-03,$3.1B
2016-04,$3.09B
2016-05,$3.19B
2016-06,$3.2B
2016-07,$2.73B
2016-08,$2.91B
2016-09,$3.21B
2016-10,$3.13B
2016-11,$3.05B
2016-12,$3.16B
2017-01,$3.23B
2017-02,$3.49B
2017-03,$3.76B
2017-04,$3.64B
2017-05,$4.04B
2017-06,$4.3B
2017-07,$4.32B
2017-08,$4.49B
2017-09,$4.06B
2017-10,$4.23B
2017-11,$4.54B
2017-12,$4.53B
2018-01,$4.5B
2018-02,$4.6B
2018-03,$5.08B
2018-04,$5.42B
2018-05,$5.65B
2018-06,$5.69B
2018-07,$5.67B
2018-09,$6.76B
2018-10,$5.06B
2018-11,$4.94B
2018-12,$4.96B
2019-01,$4.48B
2019-02,$4.8B
2019-03,$4.78B
2019-04,$4.98B
2019-05,$4.37B
2019-06,$4.58B
2019-07,$4.25B
2019-08,$4.08B
2019-09,$4.75B
2019-10,$5.62B
2019-11,$5.38B
2019-12,$4.24B
2020-01,$4.13B
2020-02,$3.87B
2020-03,$4.38B
2020-05,$4.24B
2020-06,$4.4B
2020-07,$4.49B
2020-08,$4.92B
2020-09,$4.96B
2020-10,$5.04B
2020-11,$4.86B
2020-12,$4.7B
2021-01,$4.77B
2021-02,$4.48B
2021-03,$4.28B
2021-04,$4.24B
2021-05,$3.62B
2021-06,$3.37B
2021-07,$3.4B
2021-08,$3.53B
2021-09,$3.33B
2021-10,$2.76B
2021-11,$2.49B
2021-12,$2.3B
