timeline,任天堂株式会社
2009-09,$32.35B
2009-10,$32.67B
2009-11,$32.01B
2009-12,$30.49B
2010-01,$35.79B
2010-02,$34.84B
2010-03,$43.38B
2010-04,$42.75B
2010-05,$37.81B
2010-06,$37.66B
2010-07,$35.59B
2010-08,$35.37B
2010-09,$31.79B
2010-10,$32.37B
2010-11,$34.73B
2010-12,$37.38B
2011-01,$34.69B
2011-02,$37.58B
2011-03,$34.97B
2011-04,$30.15B
2011-05,$29.73B
2011-06,$23.78B
2011-07,$20.18B
2011-08,$22.35B
2011-09,$18.7B
2011-10,$20.37B
2011-11,$19.02B
2011-12,$17.35B
2012-01,$17.19B
2012-02,$19.2B
2012-03,$19.36B
2012-04,$17.24B
2012-05,$14.59B
2012-06,$14.98B
2012-07,$14.32B
2012-08,$14.2B
2012-09,$16.37B
2012-10,$16.42B
2012-11,$15.48B
2012-12,$13.49B
2013-01,$12.45B
2013-03,$13.61B
2013-04,$14.01B
2013-05,$12.81B
2013-06,$15.14B
2013-07,$16.2B
2013-08,$14.46B
2013-09,$14.55B
2013-10,$14.3B
2013-11,$16.4B
2013-12,$17.07B
2014-01,$15.12B
2014-02,$15.72B
2014-03,$14.1B
2014-04,$12.39B
2014-05,$13.69B
2014-06,$14.15B
2014-07,$13.26B
2014-08,$13.16B
2014-09,$12.91B
2014-11,$13.82B
2014-12,$12.49B
2015-01,$11.44B
2015-02,$12.67B
2015-03,$17.43B
2015-04,$20.21B
2015-05,$20.19B
2015-06,$19.75B
2015-07,$20.8B
2015-08,$24.42B
2015-09,$19.81B
2015-10,$19.05B
2015-11,$18.22B
2015-12,$16.46B
2016-01,$16.58B
2016-02,$16.46B
2016-03,$17.1B
2016-04,$16.84B
2016-05,$17.83B
2016-06,$17.04B
2016-07,$24.65B
2016-08,$26.48B
2016-09,$31.57B
2016-10,$29.22B
2016-11,$29.66B
2016-12,$25.35B
2017-01,$24.43B
2017-02,$25.03B
2017-03,$27.76B
2017-04,$30.28B
2017-05,$36.47B
2017-06,$40.4B
2017-07,$40.75B
2017-08,$39.83B
2017-09,$44.38B
2017-10,$46.56B
2017-11,$48.47B
2017-12,$43.83B
2018-01,$52.99B
2018-02,$54.86B
2018-03,$52.85B
2018-04,$50.86B
2018-05,$49.71B
2018-06,$39.35B
2018-07,$39.78B
2018-08,$43.46B
2018-09,$43.92B
2018-10,$37.36B
2018-11,$36.65B
2018-12,$31.88B
2019-01,$37.28B
2019-02,$32.98B
2019-03,$34.26B
2019-04,$40.52B
2019-05,$42.15B
2019-06,$43.65B
2019-07,$43.99B
2019-08,$45.08B
2019-09,$44.16B
2019-10,$42.28B
2019-11,$46.06B
2019-12,$48.1B
2020-01,$44.59B
2020-02,$39.39B
2020-03,$45.87B
2020-04,$49.89B
2020-05,$48.17B
2020-06,$53.15B
2020-07,$53.38B
2020-08,$56.64B
2020-09,$66.73B
2020-10,$64.81B
2020-11,$64.26B
2020-12,$71.85B
2021-01,$73.42B
2021-02,$74.12B
2021-03,$68.78B
2021-04,$69.87B
2021-05,$70.91B
2021-06,$71.91B
2021-07,$66.46B
2021-08,$57.08B
2021-09,$57.89B
2021-10,$52.67B
2021-11,$52.62B
2021-12,$53.59B
