timeline,三井物産株式会社
2001-01,$9.84B
2001-02,$9.3B
2001-03,$9.33B
2001-04,$9.86B
2001-05,$10.95B
2001-06,$11.71B
2001-07,$11.59B
2001-08,$11.44B
2001-09,$8.85B
2001-10,$10.08B
2001-11,$9.7B
2001-12,$9.06B
2002-01,$9.24B
2002-02,$10.42B
2002-03,$10.85B
2002-04,$11.33B
2002-05,$11.49B
2002-06,$11.19B
2002-07,$9.04B
2002-08,$8.74B
2002-09,$8.92B
2002-10,$8.08B
2002-11,$8.65B
2002-12,$7.73B
2003-01,$8.24B
2003-02,$8.86B
2003-03,$8.0B
2003-04,$7.88B
2003-05,$7.7B
2003-06,$8.39B
2003-07,$9.36B
2003-08,$10.39B
2003-09,$10.55B
2003-10,$11.15B
2003-11,$10.28B
2003-12,$12.03B
2004-01,$11.21B
2004-02,$11.78B
2004-03,$13.07B
2004-04,$12.73B
2004-05,$11.86B
2004-06,$11.43B
2004-07,$11.68B
2004-08,$12.45B
2004-09,$12.91B
2004-10,$12.46B
2004-11,$12.48B
2004-12,$12.86B
2005-01,$13.44B
2005-02,$14.91B
2005-03,$13.8B
2005-04,$13.91B
2005-05,$13.6B
2005-06,$14.65B
2005-07,$15.12B
2005-08,$16.22B
2005-09,$19.82B
2005-10,$19.85B
2005-11,$20.59B
2005-12,$21.13B
2006-01,$23.53B
2006-02,$22.32B
2006-03,$25.85B
2006-04,$26.14B
2006-05,$24.02B
2006-06,$24.55B
2006-07,$26.54B
2006-08,$25.81B
2006-09,$22.82B
2006-10,$24.26B
2006-11,$24.0B
2006-12,$27.04B
2007-01,$29.29B
2007-02,$32.35B
2007-03,$34.61B
2007-04,$33.91B
2007-05,$37.76B
2007-06,$38.63B
2007-07,$44.21B
2007-08,$37.92B
2007-09,$43.9B
2007-10,$46.41B
2007-11,$39.81B
2007-12,$37.21B
2008-01,$33.43B
2008-02,$36.66B
2008-03,$32.35B
2008-04,$39.08B
2008-05,$41.4B
2008-06,$37.68B
2008-07,$35.92B
2008-08,$30.21B
2008-09,$20.52B
2008-10,$14.87B
2008-11,$13.58B
2008-12,$14.47B
2009-01,$15.41B
2009-02,$14.76B
2009-03,$15.83B
2009-04,$16.67B
2009-05,$19.52B
2009-06,$18.4B
2009-07,$19.06B
2009-08,$19.46B
2009-09,$18.9B
2009-10,$19.68B
2009-11,$18.41B
2009-12,$21.09B
2010-01,$21.43B
2010-02,$22.19B
2010-03,$25.27B
2010-04,$22.97B
2010-05,$20.82B
2010-06,$16.96B
2010-07,$17.82B
2010-08,$17.58B
2010-09,$19.98B
2010-10,$20.35B
2010-11,$21.03B
2010-12,$21.57B
2011-01,$22.2B
2011-02,$23.9B
2011-03,$23.99B
2011-04,$23.04B
2011-05,$22.27B
2011-07,$23.41B
2011-08,$20.83B
2011-09,$18.24B
2011-10,$18.74B
2011-11,$19.02B
2011-12,$19.26B
2012-01,$20.82B
2012-02,$22.51B
2012-03,$21.83B
2012-04,$20.18B
2012-05,$17.76B
2012-06,$18.89B
2012-07,$18.82B
2012-08,$17.59B
2012-09,$17.67B
2012-10,$18.1B
2012-11,$18.33B
2012-12,$20.64B
2013-01,$22.22B
2013-02,$22.11B
2013-03,$21.13B
2013-04,$21.53B
2013-05,$20.77B
2013-06,$20.05B
2013-07,$21.16B
2013-08,$22.03B
2013-09,$22.95B
2013-10,$22.53B
2013-11,$22.83B
2013-12,$23.57B
2014-01,$22.29B
2014-02,$25.17B
2014-03,$23.48B
2014-04,$23.32B
2014-05,$24.81B
2014-06,$25.2B
2014-07,$25.85B
2014-08,$26.32B
2014-09,$26.84B
2014-10,$25.85B
2014-11,$25.41B
2014-12,$25.16B
2015-01,$23.39B
2015-02,$25.8B
2015-03,$25.48B
2015-04,$26.56B
2015-05,$27.58B
2015-06,$26.27B
2015-07,$25.47B
2015-08,$24.95B
2015-09,$21.18B
2015-10,$24.35B
2015-11,$23.86B
2015-12,$22.84B
2016-01,$21.42B
2016-02,$20.57B
2016-03,$20.47B
2016-04,$21.2B
2016-05,$21.1B
2016-06,$19.18B
2016-07,$19.1B
2016-08,$21.76B
2016-09,$21.97B
2016-10,$23.04B
2016-11,$24.36B
2016-12,$25.4B
2017-01,$26.18B
2017-02,$27.17B
2017-03,$25.49B
2017-04,$24.87B
2017-05,$23.64B
2017-06,$25.38B
2017-07,$25.37B
2017-08,$26.0B
2017-09,$26.29B
2017-10,$26.7B
2017-11,$26.96B
2017-12,$28.96B
2018-01,$30.26B
2018-02,$30.07B
2018-03,$28.08B
2018-04,$30.28B
2018-05,$29.37B
2018-06,$27.42B
2018-07,$27.74B
2018-08,$27.5B
2018-09,$29.99B
2018-10,$27.99B
2018-11,$26.34B
2018-12,$25.09B
2019-01,$26.31B
2019-02,$25.98B
2019-03,$25.51B
2019-04,$27.49B
2019-05,$25.7B
2019-06,$26.88B
2019-07,$27.26B
2019-08,$25.49B
2019-09,$27.1B
2019-10,$28.62B
2019-11,$29.55B
2019-12,$29.64B
2020-01,$29.77B
2020-02,$28.08B
2020-03,$24.43B
2020-04,$22.39B
2020-05,$24.48B
2020-06,$23.66B
2020-07,$23.35B
2020-08,$25.62B
2020-09,$28.14B
2020-10,$25.76B
2020-11,$26.81B
2020-12,$27.62B
2021-01,$29.58B
2021-02,$30.81B
2021-03,$34.19B
2021-04,$33.3B
2021-05,$35.69B
2021-06,$36.88B
2021-07,$36.27B
2021-08,$37.14B
2021-09,$36.76B
2021-10,$36.4B
2021-11,$36.94B
2021-12,$36.67B
