timeline,東京エレクトロン株式会社
2008-12,$6.11B
2010-12,$11.29B
2011-11,$9.39B
2011-12,$9.02B
2012-03,$10.3B
2012-12,$8.2B
2013-02,$8.34B
2013-03,$7.93B
2013-04,$9.14B
2013-05,$9.04B
2013-06,$9.13B
2013-07,$8.16B
2013-08,$7.46B
2013-09,$9.63B
2013-10,$9.77B
2013-11,$9.72B
2013-12,$9.84B
2014-01,$9.27B
2014-02,$10.25B
2014-03,$11.01B
2014-04,$10.14B
2014-05,$10.77B
2014-06,$12.1B
2014-07,$11.74B
2014-08,$12.32B
2014-09,$11.72B
2014-10,$11.4B
2014-11,$12.3B
2014-12,$13.83B
2015-01,$12.84B
2015-02,$13.49B
2015-03,$12.52B
2015-04,$9.94B
2015-05,$11.5B
2015-06,$11.32B
2015-07,$9.88B
2015-08,$9.43B
2015-09,$8.39B
2015-10,$10.82B
2015-11,$11.96B
2015-12,$10.89B
2016-01,$11.27B
2016-02,$9.81B
2016-03,$10.71B
2016-04,$11.25B
2016-05,$12.17B
2016-06,$13.68B
2016-07,$14.13B
2016-08,$15.16B
2016-09,$14.39B
2016-10,$14.88B
2016-11,$15.27B
2016-12,$15.58B
2017-01,$16.9B
2017-02,$16.3B
2017-03,$17.84B
2017-04,$19.12B
2017-05,$23.22B
2017-06,$22.2B
2017-07,$23.13B
2017-08,$22.96B
2017-09,$25.2B
2017-10,$28.68B
2017-11,$30.4B
2017-12,$29.65B
2018-01,$30.87B
2018-02,$32.15B
2018-03,$30.83B
2018-04,$31.69B
2018-05,$30.79B
2018-06,$28.24B
2018-07,$28.32B
2018-08,$27.9B
2018-09,$22.59B
2018-10,$22.77B
2018-11,$22.97B
2018-12,$18.61B
2019-01,$23.54B
2019-02,$22.42B
2019-03,$23.73B
2019-04,$25.9B
2019-05,$22.2B
2019-06,$23.04B
2019-07,$27.44B
2019-08,$28.45B
2019-09,$30.09B
2019-10,$31.92B
2019-11,$32.59B
2019-12,$34.27B
2020-01,$35.08B
2020-02,$31.75B
2020-03,$28.91B
2020-04,$33.46B
2020-05,$31.37B
2020-06,$38.35B
2020-07,$42.91B
2020-08,$41.92B
2020-09,$39.88B
2020-10,$42.55B
2020-11,$49.33B
2020-12,$55.6B
2021-01,$60.16B
2021-02,$63.85B
2021-03,$61.98B
2021-04,$69.29B
2021-05,$66.8B
2021-06,$68.01B
2021-07,$65.04B
2021-08,$64.64B
2021-09,$76.2B
2021-10,$69.51B
2021-11,$81.97B
2021-12,$84.86B
