timeline,住友商事株式会社
2009-06,$10.82B
2009-07,$10.33B
2009-08,$10.5B
2009-09,$10.19B
2009-10,$9.92B
2009-11,$9.37B
2009-12,$10.39B
2010-01,$11.23B
2010-02,$10.67B
2010-03,$11.85B
2010-04,$12.59B
2010-05,$10.88B
2010-06,$9.89B
2010-07,$10.12B
2010-08,$10.61B
2010-09,$11.86B
2010-10,$11.24B
2010-11,$12.03B
2010-12,$12.66B
2011-01,$13.02B
2011-02,$13.31B
2011-03,$13.1B
2011-04,$12.2B
2011-05,$11.92B
2011-06,$12.0B
2011-07,$11.99B
2011-08,$10.97B
2011-09,$10.66B
2011-10,$10.88B
2011-11,$11.1B
2011-12,$11.48B
2012-01,$12.07B
2012-02,$13.28B
2012-03,$13.18B
2012-04,$12.56B
2012-05,$11.61B
2012-06,$12.21B
2012-07,$12.19B
2012-08,$11.42B
2012-09,$11.61B
2012-10,$11.99B
2012-11,$11.28B
2012-12,$12.13B
2013-01,$13.03B
2013-02,$12.5B
2013-03,$12.99B
2013-04,$13.41B
2013-05,$14.19B
2013-06,$13.64B
2013-07,$14.46B
2013-08,$13.74B
2013-09,$14.58B
2013-10,$14.06B
2013-11,$13.97B
2013-12,$14.56B
2014-01,$14.22B
2014-02,$14.8B
2014-03,$14.44B
2014-04,$14.6B
2014-05,$14.65B
2014-06,$15.05B
2014-07,$15.08B
2014-08,$14.77B
2014-09,$13.32B
2014-10,$12.94B
2014-11,$13.93B
2014-12,$13.66B
2015-01,$12.85B
2015-02,$14.47B
2015-03,$14.14B
2015-04,$15.6B
2015-05,$16.3B
2015-06,$15.66B
2015-07,$15.52B
2015-08,$14.16B
2015-09,$12.67B
2015-10,$14.64B
2015-11,$14.38B
2015-12,$13.65B
2016-01,$13.07B
2016-02,$12.22B
2016-03,$12.31B
2016-04,$12.87B
2016-05,$12.52B
2016-06,$11.27B
2016-07,$11.93B
2016-08,$12.35B
2016-09,$12.36B
2016-10,$13.31B
2016-11,$15.02B
2016-12,$15.14B
2017-01,$15.58B
2017-02,$16.61B
2017-03,$16.48B
2017-04,$16.38B
2017-05,$15.54B
2017-06,$16.09B
2017-07,$16.41B
2017-08,$17.13B
2017-09,$17.81B
2017-10,$17.98B
2017-11,$19.19B
2017-12,$21.07B
2018-01,$20.68B
2018-02,$20.79B
2018-03,$19.71B
2018-04,$21.68B
2018-05,$20.12B
2018-06,$20.03B
2018-07,$20.2B
2018-08,$19.85B
2018-09,$20.85B
2018-10,$18.86B
2018-11,$19.19B
2018-12,$17.19B
2019-01,$18.51B
2019-02,$17.62B
2019-03,$16.85B
2019-04,$17.5B
2019-05,$17.27B
2019-06,$17.98B
2019-07,$17.88B
2019-08,$17.54B
2019-09,$18.59B
2019-10,$19.42B
2019-11,$18.16B
2019-12,$17.88B
2020-01,$18.04B
2020-02,$17.19B
2020-03,$14.86B
2020-04,$13.25B
2020-05,$14.3B
2020-06,$13.6B
2020-07,$12.89B
2020-08,$14.24B
2020-09,$14.38B
2020-10,$13.21B
2020-11,$14.16B
2020-12,$14.83B
2021-01,$15.61B
2021-02,$16.74B
2021-03,$17.52B
2021-04,$16.83B
2021-05,$16.84B
2021-06,$16.84B
2021-07,$16.47B
2021-08,$17.52B
2021-09,$18.25B
2021-10,$17.59B
2021-11,$18.07B
2021-12,$17.78B
