timeline,株式会社三井住友フィナンシャルグループ
2003-03,$10.62B
2003-04,$8.9B
2003-05,$9.3B
2003-06,$12.11B
2003-07,$13.78B
2003-08,$19.52B
2003-09,$24.46B
2003-10,$30.71B
2003-11,$27.56B
2003-12,$29.85B
2004-01,$30.43B
2004-02,$31.58B
2004-03,$40.47B
2004-04,$42.49B
2004-05,$39.89B
2004-07,$34.11B
2004-08,$34.4B
2004-09,$32.38B
2004-10,$36.71B
2004-11,$40.18B
2004-12,$41.91B
2005-01,$40.47B
2005-02,$39.02B
2005-03,$39.91B
2005-04,$37.27B
2005-05,$36.98B
2005-06,$39.91B
2005-07,$38.44B
2005-08,$47.25B
2005-09,$55.17B
2005-10,$52.53B
2005-11,$56.35B
2005-12,$62.51B
2006-01,$66.62B
2006-02,$64.56B
2006-03,$81.6B
2006-04,$80.48B
2006-05,$77.52B
2006-06,$77.96B
2006-07,$80.11B
2006-08,$82.71B
2006-09,$77.89B
2006-10,$83.08B
2006-11,$74.55B
2006-12,$75.66B
2007-02,$70.84B
2007-03,$68.84B
2007-04,$65.06B
2007-05,$73.99B
2007-06,$70.05B
2007-07,$69.22B
2007-08,$59.76B
2007-09,$58.33B
2007-10,$61.05B
2007-11,$63.92B
2007-12,$55.07B
2008-01,$60.6B
2008-02,$56.21B
2008-03,$52.36B
2008-04,$66.35B
2008-05,$66.43B
2008-06,$58.09B
2008-07,$60.65B
2008-08,$47.62B
2008-09,$45.91B
2008-10,$29.92B
2008-11,$27.89B
2008-12,$31.97B
2009-01,$31.35B
2009-02,$25.07B
2009-03,$26.6B
2009-04,$26.61B
2009-05,$29.67B
2009-06,$40.43B
2009-07,$42.39B
2009-08,$42.78B
2009-09,$34.95B
2009-10,$35.12B
2009-11,$33.05B
2009-12,$28.44B
2010-01,$32.49B
2010-02,$32.16B
2010-03,$46.49B
2010-04,$46.33B
2010-05,$41.5B
2010-06,$39.99B
2010-07,$43.1B
2010-08,$41.33B
2010-09,$40.56B
2010-10,$41.24B
2010-11,$42.6B
2010-12,$49.57B
2011-01,$47.51B
2011-02,$52.79B
2011-03,$42.94B
2011-04,$42.26B
2011-05,$40.13B
2011-06,$42.71B
2011-07,$43.72B
2011-08,$41.09B
2011-09,$40.65B
2011-10,$41.36B
2011-11,$37.87B
2011-12,$39.02B
2012-01,$43.8B
2012-02,$47.24B
2012-03,$45.65B
2012-04,$45.45B
2012-05,$40.95B
2012-06,$46.54B
2012-07,$43.34B
2012-08,$41.78B
2012-09,$42.55B
2012-10,$43.37B
2012-11,$45.67B
2012-12,$49.05B
2013-01,$54.56B
2013-02,$54.4B
2013-03,$54.28B
2013-04,$63.72B
2013-05,$54.3B
2013-06,$62.54B
2013-07,$62.55B
2013-08,$60.49B
2013-09,$66.31B
2013-10,$65.43B
2013-11,$67.73B
2013-12,$70.62B
2014-01,$64.17B
2014-02,$60.78B
2014-03,$58.58B
2014-04,$53.75B
2014-05,$55.16B
2014-06,$57.21B
2014-07,$56.61B
2014-08,$55.37B
2014-09,$55.88B
2014-10,$55.07B
2014-11,$51.92B
2014-12,$50.07B
2015-01,$46.13B
2015-02,$54.5B
2015-03,$52.41B
2015-04,$60.23B
2015-05,$62.6B
2015-06,$60.83B
2015-07,$61.08B
2015-08,$55.99B
2015-09,$51.45B
2015-10,$54.91B
2015-11,$52.28B
2015-12,$52.27B
2016-01,$45.76B
2016-02,$38.02B
2016-03,$41.51B
2016-04,$43.17B
2016-05,$44.62B
2016-06,$38.91B
2016-07,$43.15B
2016-08,$48.12B
2016-09,$45.65B
2016-10,$47.75B
2016-11,$51.11B
2016-12,$52.43B
2017-01,$53.53B
2017-02,$53.06B
2017-03,$51.01B
2017-04,$52.26B
2017-05,$50.55B
2017-06,$55.12B
2017-07,$53.54B
2017-08,$52.5B
2017-09,$54.15B
2017-10,$56.38B
2017-11,$57.25B
2017-12,$60.82B
2018-01,$63.27B
2018-02,$61.5B
2018-03,$59.04B
2018-04,$58.85B
2018-05,$58.19B
2018-06,$54.75B
2018-07,$55.87B
2018-08,$55.08B
2018-09,$56.44B
2018-10,$54.48B
2018-11,$51.47B
2018-12,$46.1B
2019-01,$51.79B
2019-02,$49.62B
2019-03,$48.88B
2019-04,$50.24B
2019-05,$48.12B
2019-06,$49.13B
2019-07,$48.26B
2019-08,$44.84B
2019-09,$47.0B
2019-10,$48.96B
2019-11,$50.0B
2019-12,$50.78B
2020-01,$48.83B
2020-02,$43.5B
2020-03,$36.65B
2020-04,$35.6B
2020-05,$39.67B
2020-07,$39.29B
2020-08,$38.7B
2020-09,$39.51B
2020-10,$38.52B
2020-11,$40.16B
2020-12,$41.53B
2021-01,$44.37B
2021-02,$46.02B
2021-03,$51.61B
2021-04,$48.24B
2021-05,$49.86B
2021-06,$49.3B
2021-07,$46.48B
2021-08,$48.25B
2021-09,$49.27B
2021-10,$46.82B
2021-11,$46.08B
2021-12,$46.33B
