timeline,株式会社千葉銀行
2006-12,$7.56B
2008-12,$5.41B
2010-12,$5.79B
2011-03,$5.01B
2011-06,$5.27B
2011-08,$5.21B
2012-04,$5.32B
2012-05,$4.91B
2012-06,$5.28B
2012-07,$5.14B
2012-08,$5.07B
2012-09,$5.14B
2012-10,$5.08B
2012-11,$5.2B
2012-12,$5.09B
2013-01,$5.44B
2013-02,$5.56B
2013-03,$6.23B
2013-04,$6.64B
2013-05,$5.43B
2013-06,$5.9B
2013-07,$5.96B
2013-08,$5.89B
2013-09,$6.29B
2013-10,$6.09B
2013-11,$5.98B
2013-12,$5.81B
2014-01,$5.49B
2014-02,$5.19B
2014-03,$5.23B
2014-04,$5.35B
2014-05,$5.5B
2014-06,$5.96B
2014-07,$6.23B
2014-08,$5.98B
2014-09,$5.81B
2014-10,$5.96B
2014-11,$5.58B
2014-12,$5.53B
2015-01,$5.63B
2015-02,$6.28B
2015-03,$6.12B
2015-04,$6.91B
2015-05,$6.6B
2015-06,$6.33B
2015-07,$6.64B
2015-08,$6.08B
2015-09,$5.83B
2015-10,$6.06B
2015-11,$5.71B
2015-12,$5.92B
2016-01,$5.12B
2016-02,$3.84B
2016-03,$4.1B
2016-04,$4.29B
2016-05,$4.31B
2016-06,$3.84B
2016-07,$3.9B
2016-08,$4.9B
2016-09,$4.53B
2016-10,$5.0B
2016-11,$4.85B
2016-12,$4.96B
2017-01,$5.24B
2017-02,$5.6B
2017-03,$5.1B
2017-04,$5.35B
2017-05,$5.23B
2017-06,$5.8B
2017-07,$5.72B
2017-08,$5.26B
2017-09,$5.65B
2017-10,$6.02B
2017-11,$6.05B
2017-12,$6.55B
2018-01,$6.85B
2018-02,$6.58B
2018-03,$6.39B
2018-04,$6.33B
2018-05,$6.0B
2018-06,$5.51B
2018-07,$5.56B
2018-08,$5.1B
2018-09,$5.3B
2018-10,$4.87B
2018-11,$5.05B
2018-12,$4.28B
2019-01,$4.67B
2019-02,$4.66B
2019-03,$4.15B
2019-04,$3.96B
2019-05,$3.63B
2019-06,$3.72B
2019-07,$3.79B
2019-09,$3.83B
2019-10,$4.06B
2019-11,$4.21B
2019-12,$4.32B
2020-01,$4.11B
2020-02,$3.67B
2020-03,$3.37B
2020-04,$3.5B
2020-05,$3.53B
2020-07,$3.54B
2020-08,$3.78B
2020-09,$4.18B
2020-10,$4.0B
2020-11,$4.19B
2020-12,$4.14B
2021-01,$4.14B
2021-02,$4.62B
2021-03,$4.98B
2021-04,$4.71B
2021-05,$4.88B
2021-06,$4.62B
2021-07,$4.34B
2021-08,$4.59B
2021-09,$4.99B
2021-10,$4.88B
2021-11,$4.54B
2021-12,$4.46B
