timeline,株式会社みずほフィナンシャルグループ
2006-11,$85.56B
2006-12,$83.69B
2007-01,$84.39B
2007-02,$81.37B
2007-03,$76.93B
2007-04,$72.18B
2007-05,$84.35B
2007-06,$80.61B
2007-07,$81.83B
2007-08,$73.01B
2007-09,$64.53B
2007-10,$63.97B
2007-11,$61.52B
2007-12,$54.4B
2008-01,$53.2B
2008-02,$46.88B
2008-03,$0.04B
2008-04,$0.06B
2008-05,$0.06B
2008-06,$0.05B
2008-07,$0.06B
2008-08,$0.05B
2008-09,$0.05B
2008-10,$0.03B
2008-11,$0.03B
2008-12,$0.03B
2009-01,$0.03B
2009-02,$0.02B
2009-03,$21.22B
2009-04,$23.32B
2009-05,$26.66B
2009-06,$26.19B
2009-07,$25.35B
2009-08,$27.39B
2009-09,$30.14B
2009-10,$30.84B
2009-11,$28.48B
2009-12,$27.34B
2010-01,$29.67B
2010-02,$29.66B
2010-03,$30.85B
2010-04,$29.96B
2010-05,$27.91B
2010-06,$25.72B
2010-07,$25.21B
2010-08,$23.67B
2010-09,$31.36B
2010-10,$30.84B
2010-11,$34.0B
2010-12,$40.51B
2011-01,$41.53B
2011-02,$44.41B
2011-03,$36.12B
2011-04,$34.17B
2011-05,$34.45B
2011-06,$35.63B
2011-07,$35.58B
2011-08,$32.96B
2011-09,$35.54B
2011-10,$35.06B
2011-11,$30.68B
2011-12,$32.03B
2012-01,$36.11B
2012-02,$40.52B
2012-03,$39.34B
2012-04,$37.95B
2012-05,$34.94B
2012-06,$40.56B
2012-07,$39.98B
2012-08,$38.54B
2012-09,$39.3B
2012-10,$37.7B
2012-11,$38.61B
2012-12,$43.97B
2013-01,$48.38B
2013-02,$53.2B
2013-03,$50.89B
2013-04,$53.05B
2013-05,$46.56B
2013-06,$50.5B
2013-07,$50.06B
2013-08,$49.17B
2013-09,$52.65B
2013-10,$50.32B
2013-11,$50.8B
2013-12,$52.57B
2014-01,$51.55B
2014-02,$49.51B
2014-03,$48.08B
2014-04,$47.28B
2014-05,$47.2B
2014-06,$49.76B
2014-07,$47.52B
2014-08,$46.3B
2014-09,$43.66B
2014-10,$44.64B
2014-11,$42.3B
2014-12,$41.42B
2015-01,$40.09B
2015-02,$45.13B
2015-03,$43.29B
2015-04,$47.3B
2015-05,$54.57B
2015-06,$53.47B
2015-07,$53.45B
2015-08,$50.8B
2015-09,$46.22B
2015-10,$51.42B
2015-11,$50.29B
2015-12,$50.26B
2016-01,$43.04B
2016-02,$36.31B
2016-03,$37.43B
2016-04,$38.84B
2016-05,$39.37B
2016-06,$36.1B
2016-07,$39.89B
2016-08,$43.71B
2016-09,$42.25B
2016-10,$42.95B
2016-11,$45.68B
2016-12,$45.75B
2017-01,$46.92B
2017-02,$47.17B
2017-03,$46.28B
2017-04,$46.42B
2017-05,$44.12B
2017-06,$46.51B
2017-07,$45.09B
2017-08,$43.41B
2017-09,$44.44B
2017-10,$45.98B
2017-11,$46.16B
2017-12,$45.96B
2018-01,$47.89B
2018-02,$47.06B
2018-03,$45.58B
2018-04,$46.15B
2018-05,$44.25B
2018-06,$42.8B
2018-07,$44.46B
2018-08,$44.58B
2018-09,$44.33B
2018-10,$43.51B
2018-11,$42.1B
2018-12,$39.13B
2019-01,$41.74B
2019-02,$40.07B
2019-03,$39.25B
2019-04,$39.39B
2019-05,$35.63B
2019-06,$36.73B
2019-07,$36.06B
2019-08,$36.85B
2019-09,$38.9B
2019-10,$39.34B
2019-11,$39.54B
2019-12,$39.2B
2020-01,$37.84B
2020-02,$34.13B
2020-03,$29.89B
2020-04,$29.92B
2020-05,$30.45B
2020-07,$31.62B
2020-08,$33.31B
2020-09,$33.08B
2020-10,$31.57B
2020-11,$33.45B
2020-12,$32.36B
2021-01,$34.23B
2021-02,$37.43B
2021-03,$37.87B
2021-04,$35.85B
2021-05,$38.05B
2021-06,$37.84B
2021-07,$36.36B
2021-08,$36.47B
2021-09,$36.95B
2021-10,$34.74B
2021-11,$33.11B
2021-12,$32.42B
