timeline,信金中央金庫
2010-03,$1.02B
2010-04,$1.01B
2010-05,$1.0B
2010-09,$0.99B
2010-10,$0.97B
2010-11,$0.99B
2010-12,$1.01B
2011-01,$1.06B
2011-03,$0.96B
2011-04,$0.94B
2011-06,$0.93B
2011-07,$0.94B
2011-10,$0.97B
2011-11,$0.98B
2011-12,$1.04B
2012-01,$1.03B
2012-02,$1.02B
2012-03,$6.45B
2012-04,$6.53B
2012-05,$6.68B
2012-06,$6.73B
2012-07,$6.75B
2012-08,$6.8B
2012-10,$6.91B
2012-11,$6.9B
2012-12,$6.93B
2013-01,$6.92B
2013-02,$7.12B
2013-03,$6.8B
2013-04,$7.04B
2013-05,$6.99B
2013-06,$6.96B
2013-07,$7.02B
2013-08,$7.06B
2013-09,$7.04B
2013-10,$7.07B
2013-11,$7.26B
2013-12,$7.84B
2014-01,$7.97B
2014-02,$7.95B
2014-03,$7.84B
2014-04,$7.86B
2014-05,$7.85B
2014-06,$8.18B
2014-07,$8.38B
2014-08,$8.39B
2014-09,$8.64B
2014-10,$8.57B
2014-11,$8.72B
2014-12,$8.96B
2015-01,$9.12B
2015-02,$9.86B
2015-03,$9.93B
2015-04,$9.62B
2015-05,$9.38B
2015-06,$9.31B
2015-07,$9.33B
2015-08,$9.29B
2015-09,$13.03B
2015-10,$13.26B
2015-11,$13.31B
2015-12,$13.34B
2016-01,$13.38B
2016-02,$13.32B
2016-03,$13.21B
2016-04,$13.43B
2016-05,$13.38B
2016-06,$13.32B
2016-07,$13.39B
2016-08,$13.53B
2016-09,$13.62B
2016-10,$13.61B
2016-11,$13.59B
2016-12,$13.74B
2017-01,$13.71B
2017-02,$13.95B
2017-03,$13.87B
2017-04,$13.69B
2017-05,$13.67B
2017-06,$13.76B
2017-07,$13.78B
2017-08,$13.88B
2017-09,$13.75B
2017-10,$13.76B
2017-11,$13.77B
2017-12,$13.84B
2018-01,$14.18B
2018-02,$14.25B
2018-03,$13.83B
2018-04,$13.92B
2018-05,$13.96B
2018-06,$14.08B
2018-07,$14.21B
2018-08,$14.2B
2018-09,$14.15B
2018-10,$14.02B
2018-11,$14.18B
2018-12,$14.19B
2019-01,$14.22B
2019-02,$14.41B
2019-03,$14.14B
2019-04,$14.05B
2019-05,$14.03B
2019-06,$14.08B
2019-07,$14.11B
2019-08,$14.08B
2019-09,$14.09B
2019-10,$14.18B
2019-11,$14.28B
2019-12,$14.44B
2020-01,$14.45B
2020-02,$14.24B
2020-03,$13.69B
2020-04,$12.86B
2020-05,$13.74B
2020-06,$13.43B
2020-07,$13.6B
2020-08,$13.57B
2020-09,$13.67B
2020-10,$13.71B
2020-11,$13.79B
2020-12,$13.95B
2021-01,$14.03B
2021-02,$14.18B
2021-03,$14.26B
2021-04,$14.07B
2021-05,$14.07B
2021-06,$14.14B
2021-07,$14.28B
2021-08,$14.63B
2021-09,$14.65B
2021-10,$14.28B
2021-11,$14.21B
2021-12,$14.32B
