timeline,東京センチュリー株式会社
2006-03,$0.91B
2006-04,$0.84B
2006-05,$0.8B
2006-06,$0.83B
2006-07,$0.78B
2006-08,$0.71B
2006-09,$0.7B
2006-10,$0.74B
2006-11,$0.83B
2006-12,$0.71B
2007-01,$0.78B
2007-02,$0.76B
2007-04,$0.74B
2007-05,$0.84B
2007-06,$0.79B
2007-07,$0.72B
2007-08,$0.65B
2007-09,$0.58B
2007-10,$0.55B
2007-11,$0.45B
2008-01,$0.44B
2008-02,$0.4B
2008-05,$0.54B
2008-06,$0.52B
2008-07,$0.62B
2008-08,$0.52B
2008-09,$0.41B
2008-10,$0.29B
2008-11,$0.39B
2008-12,$0.36B
2009-01,$0.37B
2009-02,$0.25B
2009-03,$0.27B
2009-04,$0.28B
2009-05,$0.4B
2009-06,$1.03B
2009-07,$0.96B
2009-08,$1.01B
2009-09,$0.92B
2009-10,$0.97B
2009-11,$0.84B
2009-12,$0.93B
2010-01,$1.01B
2010-02,$1.16B
2010-03,$1.22B
2010-04,$1.17B
2010-05,$1.1B
2010-06,$1.02B
2010-07,$0.98B
2010-08,$1.02B
2010-09,$0.95B
2010-10,$1.09B
2010-11,$1.16B
2010-12,$1.24B
2011-01,$1.36B
2011-02,$1.46B
2011-03,$1.28B
2011-04,$1.31B
2011-05,$1.3B
2011-06,$1.36B
2011-07,$1.4B
2011-08,$1.41B
2011-09,$1.45B
2011-10,$1.5B
2011-11,$1.42B
2011-12,$1.37B
2012-01,$1.46B
2012-02,$1.5B
2012-03,$1.57B
2012-04,$1.5B
2012-05,$1.3B
2012-06,$1.39B
2012-07,$1.28B
2012-08,$1.37B
2012-09,$1.42B
2012-10,$1.48B
2012-11,$1.51B
2012-12,$1.67B
2013-01,$1.91B
2013-02,$2.02B
2013-03,$2.34B
2013-04,$2.69B
2013-05,$2.45B
2013-06,$2.42B
2013-07,$2.53B
2013-08,$2.5B
2013-09,$2.89B
2013-10,$2.91B
2013-11,$3.3B
2013-12,$3.25B
2014-01,$2.83B
2014-02,$2.73B
2014-03,$2.7B
2014-04,$2.76B
2014-05,$2.94B
2014-06,$3.19B
2014-07,$3.13B
2014-08,$2.87B
2014-09,$2.72B
2014-10,$2.68B
2014-11,$2.74B
2014-12,$2.8B
2015-01,$2.62B
2015-02,$2.89B
2015-03,$3.4B
2015-04,$3.54B
2015-05,$3.62B
2015-06,$3.69B
2015-07,$3.91B
2015-08,$3.49B
2015-09,$3.21B
2015-10,$3.85B
2015-11,$3.95B
2015-12,$4.05B
2016-01,$4.09B
2016-02,$3.58B
2016-03,$3.89B
2016-04,$3.51B
2016-05,$3.59B
2016-06,$3.06B
2016-07,$3.34B
2016-08,$3.62B
2016-09,$3.39B
2016-10,$3.45B
2016-11,$3.44B
2016-12,$3.72B
2017-01,$3.58B
2017-02,$3.53B
2017-04,$3.58B
2017-05,$3.91B
2017-06,$4.18B
2017-07,$4.38B
2017-08,$4.44B
2017-09,$4.71B
2017-10,$4.59B
2017-11,$4.74B
2017-12,$5.09B
2018-01,$5.48B
2018-02,$5.65B
2018-03,$6.14B
2018-04,$6.37B
2018-05,$6.1B
2018-06,$5.85B
2018-07,$5.68B
2018-08,$5.72B
2018-09,$6.58B
2018-10,$5.63B
2018-11,$5.05B
2018-12,$4.5B
2019-01,$4.73B
2019-02,$4.62B
2019-03,$4.48B
2019-04,$4.77B
2019-05,$4.1B
2019-06,$4.23B
2019-07,$4.22B
2019-08,$3.99B
2019-09,$4.65B
2019-10,$4.7B
2019-11,$5.44B
2019-12,$5.45B
2020-01,$5.27B
2020-02,$4.82B
2020-03,$3.64B
2020-04,$3.97B
2020-05,$4.36B
2020-06,$5.62B
2020-07,$6.32B
2020-08,$5.95B
2020-09,$6.05B
2020-10,$5.76B
2020-11,$7.11B
2020-12,$8.23B
2021-01,$9.32B
2021-02,$8.71B
2021-03,$7.96B
2021-04,$7.63B
2021-05,$7.13B
2021-06,$6.66B
2021-07,$6.35B
2021-08,$6.63B
2021-09,$7.24B
2021-10,$6.88B
2021-11,$6.46B
2021-12,$6.12B
