timeline,オリックス株式会社
2001-01,$6.88B
2001-02,$6.12B
2001-03,$7.21B
2001-04,$7.46B
2001-05,$8.78B
2001-06,$8.25B
2001-07,$7.14B
2001-08,$8.42B
2001-09,$7.0B
2001-10,$7.56B
2001-11,$8.09B
2001-12,$7.54B
2002-01,$6.78B
2002-02,$6.4B
2002-03,$6.42B
2002-04,$7.06B
2002-05,$7.5B
2002-06,$6.92B
2002-07,$5.89B
2002-08,$6.09B
2002-09,$5.0B
2002-10,$4.88B
2002-11,$5.72B
2002-12,$5.47B
2003-01,$5.15B
2003-02,$4.72B
2003-03,$4.43B
2003-04,$3.85B
2003-05,$4.07B
2003-06,$4.73B
2003-07,$5.26B
2003-08,$5.65B
2003-09,$6.68B
2003-10,$7.27B
2003-11,$6.14B
2003-12,$6.88B
2004-01,$7.25B
2004-02,$7.8B
2004-03,$9.3B
2004-04,$9.06B
2004-05,$8.88B
2004-06,$9.67B
2004-07,$9.07B
2004-08,$8.66B
2004-09,$8.59B
2004-10,$9.85B
2004-11,$10.76B
2004-12,$11.58B
2005-01,$11.24B
2005-02,$11.01B
2005-03,$11.23B
2005-04,$11.87B
2005-05,$12.71B
2005-06,$13.15B
2005-07,$13.05B
2005-08,$14.42B
2005-09,$15.83B
2005-10,$16.43B
2005-11,$18.79B
2005-12,$22.25B
2006-01,$22.76B
2006-02,$23.16B
2006-03,$27.96B
2006-04,$27.24B
2006-05,$25.98B
2006-06,$21.98B
2006-07,$23.34B
2006-08,$23.89B
2006-09,$24.83B
2006-10,$25.37B
2006-11,$24.34B
2006-12,$26.4B
2007-01,$26.33B
2007-02,$24.65B
2007-03,$23.95B
2007-04,$24.76B
2007-05,$24.85B
2007-06,$24.39B
2007-07,$22.17B
2007-08,$19.45B
2007-09,$20.75B
2007-10,$18.9B
2007-11,$18.59B
2007-12,$15.52B
2008-01,$15.16B
2008-02,$13.59B
2008-03,$13.23B
2008-04,$17.56B
2008-05,$18.32B
2008-06,$13.3B
2008-07,$13.87B
2008-08,$11.33B
2008-09,$11.49B
2008-10,$9.49B
2008-11,$5.79B
2008-12,$5.24B
2009-01,$4.02B
2009-02,$1.82B
2009-03,$3.09B
2009-04,$4.38B
2009-05,$5.9B
2009-06,$5.56B
2009-07,$5.83B
2009-08,$7.09B
2009-09,$6.57B
2009-10,$7.17B
2009-11,$7.45B
2009-12,$7.24B
2010-01,$8.08B
2010-02,$8.25B
2010-03,$9.6B
2010-04,$9.88B
2010-05,$8.2B
2010-06,$7.88B
2010-07,$8.43B
2010-08,$8.04B
2010-09,$8.19B
2010-10,$9.66B
2010-11,$9.12B
2010-12,$10.54B
2011-01,$10.6B
2011-02,$12.05B
2011-03,$10.07B
2011-04,$10.42B
2011-05,$10.31B
2011-06,$10.38B
2011-07,$11.53B
2011-08,$9.63B
2011-09,$8.6B
2011-10,$9.88B
2011-11,$8.74B
2011-12,$8.8B
2012-01,$10.03B
2012-02,$10.46B
2012-03,$10.32B
2012-04,$10.27B
2012-05,$9.22B
2012-06,$9.98B
2012-07,$10.29B
2012-08,$9.91B
2012-09,$10.86B
2012-10,$11.35B
2012-11,$11.1B
2012-12,$12.12B
2013-01,$11.54B
2013-02,$12.02B
2013-03,$13.6B
2013-04,$18.67B
2013-05,$16.66B
2013-06,$16.8B
2013-07,$18.36B
2013-08,$17.03B
2013-09,$20.78B
2013-10,$21.81B
2013-11,$23.23B
2013-12,$22.82B
2014-01,$20.05B
2014-02,$19.04B
2014-03,$18.68B
2014-04,$19.05B
2014-05,$20.98B
2014-06,$21.69B
2014-07,$21.57B
2014-08,$19.83B
2014-09,$18.09B
2014-10,$18.07B
2014-11,$17.38B
2014-12,$16.69B
2015-01,$15.12B
2015-02,$18.59B
2015-03,$18.41B
2015-04,$20.39B
2015-05,$20.86B
2015-06,$19.43B
2015-07,$19.55B
2015-08,$17.65B
2015-09,$16.73B
2015-10,$19.27B
2015-11,$18.93B
2015-12,$18.64B
2016-01,$18.57B
2016-02,$17.0B
2016-03,$18.71B
2016-04,$19.22B
2016-05,$18.19B
2016-06,$16.66B
2016-07,$18.29B
2016-08,$18.93B
2016-09,$19.1B
2016-10,$20.84B
2016-11,$20.72B
2016-12,$20.52B
2017-01,$19.63B
2017-02,$20.25B
2017-03,$19.19B
2017-04,$19.91B
2017-05,$20.54B
2017-06,$19.87B
2017-07,$20.28B
2017-08,$20.37B
2017-09,$20.63B
2017-10,$21.94B
2017-11,$22.09B
2017-12,$21.58B
2018-01,$23.98B
2018-02,$22.77B
2018-03,$22.58B
2018-05,$21.5B
2018-06,$20.29B
2018-07,$20.9B
2018-08,$20.63B
2018-09,$20.82B
2018-10,$20.87B
2018-11,$20.79B
2018-12,$18.65B
2019-01,$19.28B
2019-02,$18.64B
2019-03,$18.41B
2019-04,$18.01B
2019-05,$17.96B
2019-06,$19.1B
2019-07,$18.43B
2019-08,$18.89B
2019-09,$19.13B
2019-10,$20.1B
2019-11,$20.97B
2019-12,$21.2B
2020-01,$21.68B
2020-02,$20.18B
2020-03,$17.42B
2020-05,$16.56B
2020-06,$15.41B
2020-07,$13.54B
2020-08,$15.71B
2020-09,$16.69B
2020-10,$16.28B
2020-11,$18.17B
2020-12,$18.61B
2021-01,$20.67B
2021-02,$21.05B
2021-03,$21.23B
2021-04,$20.12B
2021-05,$20.76B
2021-06,$20.5B
2021-07,$20.61B
2021-08,$22.48B
2021-09,$23.52B
2021-10,$23.08B
2021-11,$24.49B
2021-12,$24.07B
