timeline,野村ホールディングス株式会社
2001-03,$35.14B
2001-04,$42.01B
2001-05,$39.46B
2001-06,$38.08B
2001-07,$31.8B
2001-08,$33.76B
2001-09,$25.13B
2001-10,$26.44B
2001-11,$27.29B
2001-12,$24.07B
2002-01,$21.81B
2002-02,$22.48B
2002-03,$26.03B
2002-04,$27.8B
2002-05,$32.44B
2002-06,$28.9B
2002-07,$26.64B
2002-08,$25.95B
2002-09,$25.36B
2002-10,$22.9B
2002-11,$23.79B
2002-12,$21.15B
2003-01,$23.53B
2003-02,$23.18B
2003-03,$20.31B
2003-04,$19.74B
2003-05,$20.52B
2003-06,$24.7B
2003-07,$26.4B
2003-08,$28.38B
2003-09,$31.15B
2003-10,$33.3B
2003-11,$31.01B
2003-12,$33.28B
2004-01,$32.6B
2004-02,$31.38B
2004-03,$35.42B
2004-04,$31.8B
2004-05,$29.9B
2004-06,$29.02B
2004-07,$26.79B
2004-08,$26.95B
2004-09,$25.06B
2004-10,$23.63B
2004-11,$27.06B
2004-12,$28.27B
2005-01,$25.68B
2005-02,$26.89B
2005-03,$26.91B
2005-04,$24.77B
2005-05,$24.58B
2005-06,$22.88B
2005-07,$22.78B
2005-08,$26.37B
2005-09,$30.17B
2005-10,$30.05B
2005-11,$32.32B
2005-12,$36.6B
2006-01,$37.16B
2006-02,$36.74B
2006-03,$42.23B
2006-04,$43.2B
2006-05,$37.53B
2006-06,$35.83B
2006-07,$33.96B
2006-08,$36.69B
2006-09,$33.51B
2006-10,$33.58B
2006-11,$33.28B
2006-12,$36.11B
2007-01,$38.87B
2007-02,$41.18B
2007-03,$39.53B
2007-04,$36.73B
2007-05,$39.19B
2007-06,$37.06B
2007-07,$36.2B
2007-08,$33.72B
2007-09,$31.78B
2007-10,$34.03B
2007-11,$34.15B
2007-12,$31.98B
2008-01,$27.95B
2008-02,$29.9B
2008-03,$30.33B
2008-04,$35.14B
2008-05,$34.17B
2008-06,$28.16B
2008-07,$27.45B
2008-08,$25.43B
2008-09,$24.97B
2008-10,$17.95B
2008-11,$13.9B
2008-12,$15.94B
2009-01,$12.28B
2009-02,$7.81B
2009-03,$13.1B
2009-04,$15.65B
2009-05,$19.74B
2009-06,$22.13B
2009-07,$22.93B
2009-08,$23.2B
2009-09,$17.17B
2009-10,$20.23B
2009-11,$20.05B
2009-12,$26.84B
2010-01,$27.75B
2010-02,$27.08B
2010-03,$27.23B
2010-04,$25.55B
2010-05,$22.82B
2010-06,$20.26B
2010-07,$20.37B
2010-08,$20.56B
2010-09,$17.36B
2010-10,$18.42B
2010-11,$20.59B
2010-12,$22.75B
2011-01,$21.88B
2011-02,$22.85B
2011-03,$18.83B
2011-04,$18.19B
2011-05,$18.16B
2011-06,$17.68B
2011-07,$17.42B
2011-08,$15.08B
2011-09,$13.64B
2011-10,$14.69B
2011-11,$11.64B
2011-12,$10.98B
2012-01,$13.38B
2012-02,$17.06B
2012-03,$16.29B
2012-04,$15.04B
2012-05,$12.0B
2012-06,$13.57B
2012-07,$13.13B
2012-08,$12.55B
2012-09,$13.74B
2012-10,$13.36B
2012-11,$15.33B
2012-12,$21.67B
2013-01,$21.39B
2013-02,$21.34B
2013-03,$22.7B
2013-04,$30.08B
2013-05,$28.96B
2013-06,$27.54B
2013-07,$28.2B
2013-08,$25.82B
2013-09,$28.98B
2013-10,$27.2B
2013-11,$29.37B
2013-12,$28.64B
2014-01,$26.21B
2014-02,$24.99B
2014-03,$23.91B
2014-04,$21.31B
2014-05,$24.44B
2014-06,$25.7B
2014-07,$23.34B
2014-08,$23.4B
2014-09,$21.75B
2014-10,$22.49B
2014-11,$22.05B
2014-12,$21.05B
2015-01,$19.55B
2015-02,$22.43B
2015-03,$21.17B
2015-04,$23.39B
2015-05,$23.93B
2015-06,$24.36B
2015-07,$25.56B
2015-08,$22.75B
2015-09,$21.13B
2015-10,$22.76B
2015-11,$21.38B
2015-12,$20.33B
2016-01,$19.71B
2016-02,$15.09B
2016-03,$16.15B
2016-04,$15.99B
2016-05,$15.64B
2016-06,$12.75B
2016-07,$16.06B
2016-08,$16.99B
2016-09,$15.67B
2016-10,$17.9B
2016-11,$19.4B
2016-12,$21.06B
2017-01,$21.8B
2017-02,$22.78B
2017-03,$21.84B
2017-04,$21.22B
2017-05,$21.21B
2017-06,$21.32B
2017-07,$21.08B
2017-08,$19.54B
2017-09,$19.74B
2017-10,$19.82B
2017-11,$20.53B
2017-12,$20.21B
2018-01,$22.06B
2018-02,$20.81B
2018-03,$19.59B
2018-04,$19.68B
2018-05,$17.6B
2018-06,$16.52B
2018-07,$16.19B
2018-08,$15.56B
2018-09,$16.26B
2018-10,$16.2B
2018-11,$15.01B
2018-12,$12.61B
2019-01,$13.41B
2019-02,$12.85B
2019-03,$11.96B
2019-04,$12.38B
2019-05,$10.4B
2019-06,$11.7B
2019-07,$10.52B
2019-08,$13.37B
2019-09,$13.71B
2019-10,$14.43B
2019-11,$16.23B
2019-12,$16.0B
2020-01,$15.84B
2020-02,$13.32B
2020-03,$13.74B
2020-04,$12.59B
2020-06,$13.74B
2020-07,$14.0B
2020-08,$15.35B
2020-09,$14.56B
2020-10,$14.21B
2020-11,$14.92B
2020-12,$16.1B
2021-01,$16.85B
2021-02,$17.89B
2021-03,$18.33B
2021-04,$16.31B
2021-05,$16.54B
2021-06,$16.39B
2021-07,$15.45B
2021-08,$15.23B
2021-09,$15.97B
2021-10,$15.02B
2021-11,$13.54B
2021-12,$13.45B
