timeline,ＳＯＭＰＯホールディングス株式会社
2011-03,$7.95B
2011-04,$7.58B
2011-05,$7.5B
2011-06,$7.74B
2011-07,$7.47B
2011-08,$6.57B
2011-09,$6.32B
2011-10,$5.84B
2011-11,$5.49B
2011-12,$5.52B
2012-01,$6.06B
2012-02,$6.96B
2012-03,$6.77B
2012-04,$6.05B
2012-05,$5.27B
2012-06,$6.16B
2012-07,$5.5B
2012-08,$5.15B
2012-09,$5.59B
2012-10,$5.33B
2012-11,$5.72B
2012-12,$6.72B
2013-01,$7.03B
2013-02,$7.19B
2013-04,$9.02B
2013-05,$8.49B
2013-06,$8.65B
2013-07,$9.01B
2013-08,$8.8B
2013-09,$9.15B
2013-10,$9.17B
2013-11,$10.3B
2013-12,$10.61B
2014-01,$9.84B
2014-02,$9.32B
2014-03,$9.62B
2014-04,$9.24B
2014-05,$10.25B
2014-06,$9.89B
2014-07,$9.57B
2014-08,$9.11B
2014-09,$9.57B
2014-10,$9.89B
2014-11,$10.58B
2014-12,$10.97B
2015-01,$11.87B
2015-02,$13.39B
2015-03,$13.44B
2015-04,$14.14B
2015-05,$16.3B
2015-06,$16.16B
2015-07,$15.73B
2015-08,$14.47B
2015-09,$12.31B
2015-10,$13.64B
2015-11,$13.52B
2015-12,$14.43B
2016-01,$12.66B
2016-02,$11.58B
2016-03,$11.36B
2016-04,$10.48B
2016-05,$11.14B
2016-06,$9.62B
2016-07,$11.99B
2016-08,$11.82B
2016-09,$10.28B
2016-10,$11.8B
2016-11,$12.93B
2016-12,$13.73B
2017-01,$14.21B
2017-02,$14.56B
2017-03,$14.15B
2017-04,$14.59B
2017-05,$14.82B
2017-06,$15.07B
2017-07,$15.05B
2017-08,$14.37B
2017-09,$15.21B
2017-10,$15.25B
2017-11,$15.23B
2017-12,$14.67B
2018-02,$13.92B
2018-03,$14.39B
2018-04,$15.4B
2018-05,$15.74B
2018-06,$15.03B
2018-07,$14.91B
2018-08,$15.6B
2018-09,$15.91B
2018-10,$15.39B
2018-11,$14.42B
2018-12,$12.27B
2019-01,$13.44B
2019-02,$13.67B
2019-03,$13.48B
2019-04,$13.66B
2019-05,$13.51B
2019-06,$13.67B
2019-07,$14.7B
2019-08,$13.77B
2019-09,$14.5B
2019-10,$13.76B
2019-11,$13.9B
2019-12,$13.84B
2020-01,$13.31B
2020-02,$12.93B
2020-04,$11.04B
2020-05,$12.3B
2020-06,$11.89B
2020-07,$11.47B
2020-08,$12.54B
2020-09,$11.91B
2020-10,$12.41B
2020-11,$12.64B
2020-12,$13.07B
2021-01,$13.19B
2021-02,$13.41B
2021-03,$13.41B
2021-04,$12.96B
2021-05,$13.6B
2021-06,$13.33B
2021-07,$14.09B
2021-08,$15.23B
2021-09,$16.22B
2021-10,$15.32B
2021-11,$15.01B
2021-12,$15.18B
