timeline,株式会社日本取引所グループ
2008-09,$0.69B
2008-10,$0.74B
2008-11,$1.02B
2008-12,$0.94B
2009-01,$0.99B
2009-02,$0.78B
2009-03,$0.75B
2009-04,$0.74B
2009-05,$1.06B
2009-06,$1.1B
2009-07,$1.01B
2009-09,$0.97B
2009-10,$1.05B
2009-11,$1.03B
2009-12,$1.05B
2010-01,$1.2B
2010-02,$1.15B
2010-03,$1.16B
2010-04,$1.15B
2010-05,$1.07B
2010-06,$0.9B
2010-07,$1.02B
2010-08,$0.97B
2010-10,$0.96B
2010-11,$0.99B
2010-12,$0.97B
2011-01,$1.0B
2011-02,$1.06B
2011-03,$0.99B
2011-04,$0.98B
2011-05,$0.86B
2011-06,$0.85B
2011-07,$0.92B
2011-08,$0.97B
2011-09,$0.85B
2011-10,$0.88B
2011-11,$1.05B
2012-01,$1.06B
2012-02,$1.1B
2012-03,$1.09B
2012-05,$1.08B
2012-06,$1.07B
2012-07,$1.1B
2012-08,$0.85B
2012-09,$0.81B
2012-10,$0.71B
2012-11,$0.77B
2012-12,$1.02B
2013-01,$1.31B
2013-02,$4.54B
2013-03,$5.48B
2013-04,$5.79B
2013-05,$4.59B
2013-06,$4.85B
2013-07,$4.45B
2013-08,$3.76B
2013-09,$5.26B
2013-10,$5.49B
2013-11,$6.62B
2013-12,$7.23B
2014-01,$6.1B
2014-02,$5.84B
2014-03,$6.09B
2014-04,$4.88B
2014-05,$5.89B
2014-06,$6.04B
2014-07,$5.78B
2014-08,$5.97B
2014-09,$6.3B
2014-10,$6.5B
2014-11,$7.37B
2014-12,$6.86B
2015-01,$6.71B
2015-02,$8.16B
2015-03,$8.43B
2015-04,$8.45B
2015-05,$9.16B
2015-06,$9.62B
2015-07,$10.46B
2015-08,$9.15B
2015-09,$8.41B
2015-10,$9.51B
2015-11,$9.34B
2015-12,$9.25B
2016-01,$8.16B
2016-02,$8.48B
2016-03,$8.35B
2016-04,$8.11B
2016-05,$7.31B
2016-06,$5.65B
2016-07,$7.12B
2016-08,$7.82B
2016-09,$7.58B
2016-10,$7.57B
2016-11,$8.2B
2016-12,$8.08B
2017-01,$8.16B
2017-02,$7.52B
2017-03,$7.55B
2017-04,$7.44B
2017-05,$8.53B
2017-06,$9.62B
2017-07,$9.37B
2017-08,$8.86B
2017-09,$9.41B
2017-10,$9.6B
2017-11,$9.75B
2017-12,$9.27B
2018-02,$8.78B
2018-03,$9.32B
2018-04,$9.59B
2018-05,$9.77B
2018-06,$9.73B
2018-07,$9.38B
2018-08,$9.25B
2018-09,$9.35B
2018-10,$9.57B
2018-11,$9.66B
2018-12,$8.4B
2019-01,$9.03B
2019-02,$9.28B
2019-03,$9.32B
2019-04,$8.54B
2019-05,$7.95B
2019-06,$8.08B
2019-07,$7.57B
2019-08,$7.94B
2019-09,$8.02B
2019-10,$8.5B
2019-11,$8.79B
2019-12,$9.11B
2020-01,$9.37B
2020-02,$8.57B
2020-03,$9.0B
2020-05,$10.26B
2020-06,$11.76B
2020-07,$11.89B
2020-08,$12.6B
2020-09,$13.63B
2020-10,$12.59B
2020-11,$11.74B
2020-12,$12.08B
2021-01,$12.35B
2021-02,$11.24B
2021-03,$11.98B
2021-04,$12.57B
2021-05,$12.08B
2021-06,$11.73B
2021-07,$11.97B
2021-08,$12.56B
2021-09,$14.04B
2021-10,$12.96B
2021-11,$11.53B
2021-12,$11.28B
