timeline,東京海上ホールディングス株式会社
2002-04,$14.79B
2002-05,$15.75B
2002-06,$14.26B
2002-07,$13.74B
2002-08,$14.26B
2002-10,$13.07B
2002-11,$13.39B
2002-12,$11.78B
2003-01,$11.37B
2003-02,$11.02B
2003-03,$12.16B
2003-04,$12.02B
2003-05,$12.69B
2003-06,$14.05B
2003-07,$17.04B
2003-08,$19.71B
2003-09,$20.28B
2003-10,$21.91B
2003-11,$19.08B
2003-12,$21.39B
2004-01,$22.44B
2004-02,$21.39B
2004-03,$26.05B
2004-04,$24.53B
2004-05,$23.22B
2004-06,$24.23B
2004-08,$23.42B
2004-09,$21.0B
2004-10,$20.19B
2004-11,$22.41B
2004-12,$21.2B
2005-01,$21.6B
2005-02,$21.81B
2005-03,$21.56B
2005-04,$20.39B
2005-05,$20.0B
2005-06,$20.78B
2005-07,$20.59B
2005-08,$23.3B
2005-09,$25.64B
2005-10,$28.82B
2005-11,$27.07B
2005-12,$28.02B
2006-01,$30.27B
2006-02,$33.16B
2006-03,$30.54B
2006-04,$29.65B
2006-05,$25.54B
2006-06,$27.32B
2006-07,$28.43B
2006-08,$26.83B
2006-09,$25.91B
2006-10,$27.73B
2006-11,$25.49B
2006-12,$25.18B
2007-01,$25.69B
2007-02,$26.56B
2007-03,$25.51B
2007-04,$25.09B
2007-05,$27.1B
2007-06,$27.88B
2007-07,$26.56B
2007-08,$25.78B
2007-09,$26.02B
2007-10,$25.07B
2007-11,$21.88B
2007-12,$20.7B
2008-01,$23.15B
2008-02,$22.61B
2008-03,$21.26B
2008-04,$24.92B
2008-05,$24.31B
2008-06,$22.63B
2008-07,$20.89B
2008-08,$21.09B
2008-09,$22.69B
2008-10,$21.85B
2008-11,$17.17B
2008-12,$18.55B
2009-01,$17.7B
2009-03,$16.22B
2009-04,$17.66B
2009-05,$18.44B
2009-06,$17.56B
2009-07,$18.1B
2009-08,$18.47B
2009-09,$17.62B
2009-10,$15.99B
2009-11,$17.08B
2009-12,$16.87B
2010-01,$17.29B
2010-02,$18.41B
2010-03,$18.78B
2010-04,$20.04B
2010-05,$20.3B
2010-06,$19.36B
2010-07,$18.55B
2010-08,$18.73B
2010-09,$17.54B
2010-10,$17.92B
2010-11,$19.07B
2010-12,$19.91B
2011-01,$19.52B
2011-02,$21.25B
2011-03,$16.84B
2011-04,$16.52B
2011-05,$17.11B
2011-06,$16.5B
2011-07,$17.6B
2011-08,$16.02B
2011-09,$16.35B
2011-10,$14.6B
2011-11,$15.17B
2011-12,$14.54B
2012-01,$16.25B
2012-02,$17.71B
2012-03,$17.75B
2012-04,$16.75B
2012-05,$15.11B
2012-06,$17.42B
2012-07,$15.6B
2012-08,$15.76B
2012-09,$16.44B
2012-10,$17.72B
2012-11,$17.18B
2012-12,$18.15B
2013-01,$18.95B
2013-02,$17.81B
2013-03,$18.15B
2013-04,$20.89B
2013-05,$19.67B
2013-06,$21.22B
2013-07,$20.88B
2013-08,$20.2B
2013-09,$21.03B
2013-10,$20.54B
2013-11,$21.16B
2013-12,$21.02B
2014-01,$18.86B
2014-02,$18.64B
2014-03,$18.96B
2014-04,$18.41B
2014-05,$20.13B
2014-06,$20.86B
2014-07,$20.57B
2014-08,$20.09B
2014-09,$21.24B
2014-10,$22.1B
2014-11,$22.9B
2014-12,$23.46B
2015-01,$26.76B
2015-02,$28.18B
2015-03,$29.75B
2015-04,$31.58B
2015-05,$32.29B
2015-06,$31.54B
2015-07,$32.42B
2015-08,$30.57B
2015-09,$28.06B
2015-10,$30.06B
2015-11,$29.76B
2015-12,$30.48B
2016-01,$27.84B
2016-02,$26.99B
2016-03,$25.42B
2016-04,$25.61B
2016-05,$26.48B
2016-06,$25.09B
2016-07,$29.64B
2016-08,$30.19B
2016-09,$28.78B
2016-10,$30.79B
2016-11,$34.87B
2016-12,$33.25B
2017-01,$33.13B
2017-02,$35.13B
2017-03,$33.29B
2017-04,$32.88B
2017-05,$32.15B
2017-06,$30.67B
2017-07,$30.17B
2017-08,$28.11B
2017-09,$27.94B
2017-10,$31.02B
2017-11,$31.42B
2017-12,$32.09B
2018-01,$31.65B
2018-02,$31.17B
2018-03,$29.81B
2018-04,$32.06B
2018-05,$33.85B
2018-06,$33.3B
2018-07,$33.2B
2018-08,$32.78B
2018-09,$34.62B
2018-10,$33.71B
2018-11,$35.08B
2018-12,$33.45B
2019-01,$34.09B
2019-02,$34.4B
2019-03,$34.52B
2019-04,$35.77B
2019-05,$35.4B
2019-06,$35.15B
2019-07,$38.05B
2019-08,$36.95B
2019-09,$38.8B
2019-10,$38.34B
2019-11,$39.13B
2019-12,$39.71B
2020-01,$39.38B
2020-02,$38.02B
2020-03,$33.19B
2020-04,$34.22B
2020-05,$30.84B
2020-06,$30.59B
2020-07,$29.66B
2020-08,$30.45B
2020-09,$30.41B
2020-10,$30.55B
2020-11,$33.91B
2020-12,$32.95B
2021-01,$32.84B
2021-02,$33.4B
2021-03,$32.55B
2021-04,$31.34B
2021-05,$30.91B
2021-06,$30.5B
2021-07,$31.53B
2021-08,$33.72B
2021-09,$36.6B
2021-10,$36.64B
2021-11,$35.9B
2021-12,$36.02B
