timeline,ジャパンリアルエステート投資法人
2009-03,$2.95B
2009-04,$2.72B
2009-05,$2.87B
2009-06,$3.13B
2009-07,$3.09B
2009-08,$2.96B
2009-09,$2.87B
2009-10,$2.84B
2009-11,$2.46B
2009-12,$2.67B
2010-01,$2.96B
2010-02,$3.0B
2010-03,$3.11B
2010-04,$3.07B
2010-05,$2.88B
2010-06,$2.83B
2010-07,$2.99B
2010-08,$2.91B
2010-09,$3.27B
2010-10,$3.34B
2010-11,$3.48B
2010-12,$3.63B
2011-01,$3.54B
2011-02,$3.63B
2011-03,$3.4B
2011-04,$3.46B
2011-05,$3.43B
2011-06,$3.41B
2011-07,$3.34B
2011-08,$3.33B
2011-09,$3.25B
2011-10,$2.9B
2011-11,$2.77B
2011-12,$2.59B
2012-01,$2.88B
2012-02,$3.1B
2012-03,$3.15B
2012-04,$3.43B
2012-05,$3.35B
2012-06,$3.54B
2012-08,$3.7B
2012-09,$3.81B
2012-10,$3.87B
2012-11,$3.92B
2012-12,$4.45B
2013-01,$4.84B
2013-02,$5.33B
2013-03,$6.76B
2013-04,$6.84B
2013-05,$5.26B
2013-06,$5.8B
2013-07,$5.43B
2013-08,$5.48B
2013-09,$6.02B
2013-10,$5.9B
2013-11,$5.67B
2013-12,$5.91B
2014-01,$5.54B
2014-02,$5.78B
2014-03,$5.43B
2014-04,$5.67B
2014-05,$6.24B
2014-06,$6.51B
2014-07,$6.42B
2014-08,$6.31B
2014-09,$6.23B
2014-10,$6.71B
2014-11,$6.46B
2014-12,$6.4B
2015-01,$6.33B
2015-02,$6.58B
2015-03,$6.24B
2015-04,$6.25B
2015-05,$6.31B
2015-06,$6.42B
2015-08,$5.89B
2015-09,$6.36B
2015-10,$6.47B
2015-11,$6.77B
2015-12,$6.78B
2016-01,$7.37B
2016-02,$7.86B
2016-03,$7.51B
2016-04,$7.78B
2016-05,$7.5B
2016-06,$7.32B
2016-07,$7.15B
2016-08,$7.02B
2016-09,$6.99B
2016-10,$7.01B
2016-11,$7.15B
2016-12,$7.36B
2017-01,$7.41B
2017-02,$7.15B
2017-03,$6.81B
2017-04,$6.78B
2017-05,$6.72B
2017-06,$6.46B
2017-07,$6.69B
2017-08,$6.58B
2017-09,$6.25B
2017-10,$6.14B
2017-11,$6.31B
2017-12,$6.18B
2018-01,$6.48B
2018-02,$6.4B
2018-03,$6.36B
2018-04,$6.56B
2018-05,$6.59B
2018-06,$7.16B
2018-07,$7.15B
2018-08,$7.22B
2018-09,$7.28B
2018-10,$7.11B
2018-11,$7.66B
2018-12,$7.53B
2019-01,$7.8B
2019-02,$7.88B
2019-03,$7.98B
2019-04,$7.54B
2019-05,$7.88B
2019-06,$8.02B
2019-07,$8.32B
2019-08,$8.64B
2019-09,$8.86B
2019-10,$9.0B
2019-11,$9.1B
2019-12,$8.8B
2020-01,$9.66B
2020-02,$8.99B
2020-03,$7.73B
2020-04,$7.14B
2020-05,$7.18B
2020-06,$6.76B
2020-07,$6.6B
2020-08,$7.0B
2020-09,$6.71B
2020-10,$6.4B
2020-11,$6.52B
2020-12,$6.97B
2021-01,$7.41B
2021-02,$7.79B
2021-03,$8.13B
2021-04,$8.22B
2021-05,$8.19B
2021-06,$8.34B
2021-07,$8.6B
2021-08,$8.57B
2021-09,$8.62B
2021-10,$8.36B
2021-11,$8.29B
2021-12,$8.22B
