timeline,東武鉄道株式会社
2007-03,$4.29B
2007-04,$4.16B
2007-05,$4.15B
2007-06,$4.22B
2007-07,$3.95B
2007-09,$4.09B
2007-10,$4.11B
2007-11,$4.07B
2007-12,$3.95B
2008-01,$3.92B
2008-02,$3.8B
2008-03,$4.03B
2008-04,$4.01B
2008-05,$3.91B
2008-06,$3.81B
2008-07,$3.73B
2008-08,$3.76B
2008-09,$3.87B
2008-10,$3.75B
2008-11,$3.92B
2008-12,$4.05B
2009-01,$3.76B
2009-02,$3.71B
2009-03,$3.75B
2009-04,$3.87B
2009-05,$3.9B
2009-06,$4.26B
2009-07,$4.32B
2009-08,$4.4B
2009-09,$4.12B
2009-10,$3.73B
2009-11,$3.61B
2009-12,$3.65B
2010-02,$3.67B
2010-03,$3.92B
2010-04,$3.75B
2010-05,$3.59B
2010-06,$3.62B
2010-07,$3.75B
2010-08,$3.63B
2010-10,$3.42B
2010-11,$3.44B
2011-01,$3.42B
2011-02,$3.0B
2011-03,$3.21B
2011-04,$2.97B
2011-05,$2.9B
2011-06,$3.19B
2011-07,$3.17B
2011-08,$3.29B
2011-09,$3.45B
2011-10,$3.54B
2011-11,$3.67B
2011-12,$3.7B
2012-01,$3.76B
2012-02,$3.99B
2012-03,$4.14B
2012-04,$3.84B
2012-05,$3.62B
2012-06,$3.95B
2012-07,$4.0B
2012-08,$4.1B
2012-09,$3.96B
2012-10,$4.0B
2012-11,$4.02B
2012-12,$4.31B
2013-01,$4.63B
2013-02,$4.8B
2013-03,$5.06B
2013-04,$5.33B
2013-05,$4.98B
2013-06,$4.82B
2013-07,$4.77B
2013-08,$4.67B
2013-09,$4.88B
2013-10,$4.79B
2013-11,$4.71B
2013-12,$4.81B
2014-01,$4.51B
2014-02,$4.66B
2014-03,$4.7B
2014-04,$4.71B
2014-05,$4.77B
2014-06,$4.99B
2014-07,$5.12B
2014-08,$5.13B
2014-09,$5.2B
2014-10,$5.27B
2014-11,$5.04B
2014-12,$4.88B
2015-01,$5.35B
2015-02,$5.6B
2015-03,$5.37B
2015-04,$5.38B
2015-05,$5.16B
2015-06,$4.95B
2015-07,$5.62B
2015-08,$5.09B
2015-09,$4.83B
2015-10,$5.53B
2015-11,$5.65B
2015-12,$5.63B
2016-01,$5.5B
2016-02,$5.54B
2016-03,$5.3B
2016-04,$5.31B
2016-05,$5.32B
2016-06,$5.3B
2016-07,$5.24B
2016-08,$4.74B
2016-09,$4.84B
2016-10,$4.87B
2016-11,$5.17B
2016-12,$5.48B
2017-01,$5.41B
2017-02,$5.43B
2017-03,$5.32B
2017-04,$5.33B
2017-05,$5.58B
2017-06,$5.79B
2017-07,$5.51B
2017-08,$5.74B
2017-09,$5.83B
2017-10,$6.27B
2017-11,$6.73B
2017-12,$6.85B
2018-01,$6.86B
2018-02,$6.17B
2018-03,$5.97B
2018-04,$6.5B
2018-05,$6.29B
2018-06,$6.32B
2018-07,$6.13B
2018-08,$5.78B
2018-09,$6.26B
2018-10,$5.84B
2018-11,$6.06B
2018-12,$5.52B
2019-01,$5.72B
2019-02,$5.8B
2019-03,$5.95B
2019-04,$5.85B
2019-05,$5.89B
2019-06,$5.85B
2019-07,$5.8B
2019-08,$6.07B
2019-09,$6.52B
2019-10,$6.75B
2019-11,$7.46B
2019-12,$7.32B
2020-01,$7.13B
2020-02,$5.93B
2020-03,$6.95B
2020-04,$6.74B
2020-05,$7.03B
2020-06,$6.56B
2020-07,$5.42B
2020-08,$6.02B
2020-09,$6.08B
2020-10,$5.68B
2020-11,$6.19B
2020-12,$5.66B
2021-01,$5.53B
2021-02,$5.77B
2021-03,$5.69B
2021-04,$5.34B
2021-05,$5.19B
2021-06,$5.47B
2021-07,$5.28B
2021-08,$5.42B
2021-09,$5.55B
2021-10,$5.29B
2021-11,$5.1B
2021-12,$4.88B
