timeline,東急株式会社
2001-03,$5.29B
2001-04,$6.87B
2001-05,$6.21B
2001-06,$6.58B
2001-07,$6.79B
2001-08,$6.73B
2001-09,$5.32B
2001-10,$5.34B
2001-11,$4.61B
2001-12,$3.82B
2002-01,$3.67B
2002-02,$3.72B
2002-03,$4.02B
2002-04,$4.22B
2002-05,$5.15B
2002-06,$4.6B
2002-07,$4.52B
2002-08,$4.33B
2002-09,$4.45B
2002-10,$4.26B
2002-11,$4.23B
2002-12,$4.14B
2003-01,$3.97B
2003-02,$3.83B
2003-03,$3.52B
2003-04,$3.25B
2003-05,$3.2B
2003-06,$3.89B
2003-07,$3.59B
2003-08,$4.09B
2003-09,$4.63B
2003-10,$5.48B
2003-11,$5.12B
2003-12,$5.53B
2004-01,$5.46B
2004-02,$5.9B
2004-03,$6.56B
2004-04,$5.54B
2004-05,$5.45B
2004-06,$5.62B
2004-07,$5.14B
2004-08,$5.28B
2004-09,$5.05B
2004-10,$4.83B
2004-11,$5.27B
2004-12,$5.57B
2005-01,$5.74B
2005-02,$5.64B
2005-04,$5.13B
2005-05,$4.89B
2005-06,$5.03B
2005-07,$4.87B
2005-08,$5.24B
2005-09,$6.08B
2005-10,$6.38B
2005-11,$7.22B
2005-12,$8.42B
2006-01,$8.28B
2006-02,$7.38B
2006-03,$8.3B
2006-04,$8.4B
2006-05,$7.66B
2006-06,$6.99B
2006-07,$7.44B
2006-08,$8.17B
2006-09,$8.5B
2006-10,$8.29B
2006-11,$7.99B
2006-12,$7.98B
2007-01,$8.48B
2007-02,$9.99B
2007-03,$9.89B
2007-04,$9.42B
2007-05,$9.02B
2007-06,$8.87B
2007-07,$7.98B
2007-08,$7.79B
2007-09,$8.08B
2007-10,$8.02B
2007-11,$8.34B
2007-12,$7.92B
2008-01,$7.12B
2008-02,$6.55B
2008-03,$5.47B
2008-04,$5.93B
2008-05,$5.97B
2008-06,$5.93B
2008-07,$6.43B
2008-08,$6.05B
2008-09,$5.36B
2008-10,$4.1B
2008-11,$4.09B
2008-12,$4.84B
2009-01,$4.24B
2009-02,$4.11B
2009-03,$4.59B
2009-04,$4.68B
2009-05,$4.8B
2009-06,$5.41B
2009-07,$5.15B
2009-08,$5.08B
2009-09,$4.78B
2009-10,$4.42B
2009-11,$4.21B
2009-12,$4.11B
2010-01,$4.07B
2010-02,$4.19B
2010-03,$4.3B
2010-04,$4.34B
2010-05,$4.01B
2010-06,$3.98B
2010-07,$4.09B
2010-08,$4.23B
2010-09,$4.06B
2010-10,$3.96B
2010-11,$4.07B
2010-12,$4.09B
2011-02,$4.17B
2011-03,$3.8B
2011-04,$3.68B
2011-05,$3.71B
2011-06,$3.68B
2011-07,$3.82B
2011-08,$4.08B
2011-09,$4.3B
2011-10,$4.19B
2011-11,$4.08B
2011-12,$4.18B
2012-01,$4.14B
2012-02,$4.31B
2012-03,$4.34B
2012-04,$4.13B
2012-05,$3.85B
2012-06,$4.14B
2012-07,$4.16B
2012-08,$4.26B
2012-09,$4.12B
2012-10,$4.49B
2012-11,$4.68B
2012-12,$5.37B
2013-01,$5.49B
2013-02,$6.13B
2013-03,$7.84B
2013-04,$8.56B
2013-05,$7.01B
2013-06,$7.19B
2013-07,$7.05B
2013-08,$6.99B
2013-09,$7.75B
2013-10,$7.39B
2013-11,$7.64B
2013-12,$7.54B
2014-01,$7.1B
2014-02,$6.87B
2014-03,$6.99B
2014-04,$7.13B
2014-05,$7.69B
2014-06,$7.96B
2014-07,$8.29B
2014-08,$8.0B
2014-09,$7.88B
2014-10,$7.98B
2014-11,$7.86B
2014-12,$8.21B
2015-01,$8.58B
2015-02,$8.89B
2015-03,$8.17B
2015-04,$8.77B
2015-05,$8.96B
2015-06,$9.0B
2015-07,$10.01B
2015-08,$9.45B
2015-09,$9.6B
2015-10,$10.81B
2015-11,$10.5B
2015-12,$10.54B
2016-01,$10.22B
2016-02,$10.37B
2016-03,$10.2B
2016-04,$10.26B
2016-05,$10.27B
2016-06,$9.7B
2016-07,$9.16B
2016-08,$8.35B
2016-09,$8.31B
2016-10,$8.51B
2016-11,$9.24B
2016-12,$9.29B
2017-01,$8.99B
2017-02,$9.0B
2017-03,$8.44B
2017-04,$8.54B
2017-05,$8.72B
2017-06,$9.18B
2017-07,$8.69B
2017-08,$8.57B
2017-09,$8.53B
2017-10,$9.15B
2017-11,$9.59B
2017-12,$9.63B
2018-01,$9.76B
2018-02,$9.17B
2018-03,$8.88B
2018-04,$9.86B
2018-05,$10.36B
2018-06,$10.22B
2018-07,$10.29B
2018-08,$9.81B
2018-09,$11.13B
2018-10,$9.98B
2018-11,$10.58B
2018-12,$9.61B
2019-01,$9.96B
2019-02,$10.11B
2019-03,$10.35B
2019-04,$9.71B
2019-05,$10.32B
2019-06,$10.24B
2019-07,$10.25B
2019-08,$10.18B
2019-09,$10.87B
2019-10,$10.99B
2019-11,$11.57B
2019-12,$10.76B
2020-01,$10.3B
2020-02,$8.83B
2020-03,$9.05B
2020-04,$8.62B
2020-05,$9.1B
2020-06,$8.08B
2020-07,$7.2B
2020-08,$7.23B
2020-09,$7.52B
2020-10,$6.89B
2020-11,$7.11B
2020-12,$6.7B
2021-01,$6.54B
2021-02,$7.61B
2021-03,$7.91B
2021-04,$7.45B
2021-05,$7.61B
2021-06,$8.36B
2021-07,$8.15B
2021-08,$8.16B
2021-09,$8.68B
2021-10,$8.66B
2021-11,$8.96B
2021-12,$8.56B
