timeline,東日本旅客鉄道株式会社
2001-01,$21.05B
2001-02,$23.24B
2001-03,$23.73B
2001-04,$24.26B
2001-05,$24.93B
2001-06,$25.39B
2001-07,$23.59B
2001-08,$24.76B
2001-09,$23.87B
2001-10,$25.14B
2001-11,$22.82B
2001-12,$22.32B
2002-01,$20.45B
2002-02,$17.99B
2002-03,$19.36B
2002-04,$19.15B
2002-05,$20.49B
2002-06,$19.78B
2002-07,$19.75B
2002-08,$20.1B
2002-09,$20.03B
2002-10,$19.68B
2002-11,$20.38B
2002-12,$20.77B
2003-01,$19.43B
2003-02,$19.22B
2003-03,$18.26B
2003-04,$19.04B
2003-05,$20.27B
2003-06,$18.83B
2003-07,$18.65B
2003-08,$17.38B
2003-09,$19.07B
2003-10,$17.56B
2003-11,$17.63B
2003-12,$17.81B
2004-01,$18.58B
2004-02,$17.98B
2004-03,$19.29B
2004-04,$19.89B
2004-05,$20.2B
2004-06,$21.58B
2004-07,$21.4B
2004-08,$21.65B
2004-09,$20.1B
2004-10,$19.64B
2004-11,$19.96B
2004-12,$20.1B
2005-01,$19.71B
2005-02,$19.64B
2005-03,$20.29B
2005-04,$19.24B
2005-05,$18.99B
2005-06,$20.08B
2005-07,$19.45B
2005-08,$20.96B
2005-09,$22.83B
2005-10,$24.31B
2005-11,$26.57B
2005-12,$28.57B
2006-01,$28.71B
2006-02,$29.17B
2006-03,$30.72B
2006-04,$31.32B
2006-05,$28.22B
2006-06,$29.95B
2006-07,$30.05B
2006-08,$30.55B
2006-09,$29.1B
2006-10,$28.82B
2006-11,$28.61B
2006-12,$28.01B
2007-01,$29.49B
2007-02,$31.99B
2007-03,$32.34B
2007-04,$34.28B
2007-05,$33.12B
2007-06,$33.47B
2007-07,$31.14B
2007-08,$32.52B
2007-09,$31.92B
2007-10,$33.36B
2007-11,$32.34B
2007-12,$32.48B
2008-01,$30.97B
2008-02,$29.56B
2008-03,$29.21B
2008-05,$28.68B
2008-06,$30.48B
2008-07,$29.81B
2008-08,$30.65B
2008-09,$27.69B
2008-10,$24.42B
2008-11,$25.9B
2008-12,$24.27B
2009-01,$21.67B
2009-02,$20.61B
2009-03,$18.07B
2009-04,$19.59B
2009-05,$20.01B
2009-06,$20.47B
2009-07,$19.13B
2009-08,$21.42B
2009-09,$22.76B
2009-10,$20.47B
2009-11,$21.49B
2009-12,$20.68B
2010-01,$21.38B
2010-02,$21.56B
2010-03,$22.9B
2010-04,$22.19B
2010-05,$20.71B
2010-06,$20.89B
2010-07,$19.62B
2010-08,$19.16B
2010-09,$17.75B
2010-10,$17.53B
2010-11,$17.61B
2010-12,$18.6B
2011-01,$19.09B
2011-02,$20.04B
2011-03,$16.13B
2011-04,$15.61B
2011-05,$16.53B
2011-06,$16.04B
2011-07,$16.88B
2011-08,$15.96B
2011-09,$16.43B
2011-10,$16.62B
2011-11,$16.37B
2011-12,$17.09B
2012-01,$17.21B
2012-02,$18.17B
2012-04,$17.37B
2012-05,$16.27B
2012-06,$17.44B
2012-07,$17.58B
2012-08,$18.27B
2012-09,$18.03B
2012-10,$19.11B
2012-11,$18.68B
2012-12,$19.23B
2013-01,$21.29B
2013-02,$23.57B
2013-03,$26.6B
2013-04,$28.65B
2013-05,$26.42B
2013-06,$26.88B
2013-07,$27.5B
2013-08,$26.22B
2013-09,$29.35B
2013-10,$29.59B
2013-11,$29.17B
2013-12,$29.14B
2014-01,$26.54B
2014-02,$27.62B
2014-03,$26.45B
2014-04,$25.91B
2014-05,$27.0B
2014-06,$27.74B
2014-07,$28.93B
2014-08,$28.1B
2014-09,$28.47B
2014-10,$29.94B
2014-11,$30.82B
2014-12,$31.6B
2015-01,$31.62B
2015-02,$34.76B
2015-03,$33.39B
2015-04,$36.7B
2015-05,$39.36B
2015-06,$38.13B
2015-07,$42.43B
2015-08,$38.71B
2015-09,$34.74B
2015-10,$39.97B
2015-11,$40.14B
2015-12,$39.56B
2016-01,$37.97B
2016-02,$34.26B
2016-03,$33.55B
2016-04,$33.94B
2016-05,$35.01B
2016-06,$32.59B
2016-07,$32.77B
2016-08,$30.37B
2016-09,$31.12B
2016-10,$31.73B
2016-11,$33.47B
2016-12,$34.62B
2017-01,$35.06B
2017-02,$34.8B
2017-03,$33.22B
2017-04,$34.12B
2017-05,$36.38B
2017-06,$36.57B
2017-07,$35.16B
2017-08,$33.99B
2017-09,$35.0B
2017-10,$37.27B
2017-11,$36.91B
2017-12,$37.35B
2018-01,$36.84B
2018-02,$34.18B
2018-03,$33.5B
2018-04,$35.64B
2018-05,$36.32B
2018-06,$35.85B
2018-07,$35.11B
2018-08,$33.82B
2018-09,$35.5B
2018-10,$33.21B
2018-11,$34.71B
2018-12,$32.66B
2019-01,$33.9B
2019-02,$35.85B
2019-03,$35.92B
2019-04,$35.2B
2019-05,$34.55B
2019-06,$33.78B
2019-07,$33.31B
2019-08,$33.44B
2019-09,$34.08B
2019-10,$32.56B
2019-11,$33.29B
2019-12,$32.48B
2020-01,$31.96B
2020-02,$27.8B
2020-03,$27.19B
2020-04,$26.18B
2020-05,$28.1B
2020-06,$24.86B
2020-07,$20.19B
2020-08,$21.65B
2020-09,$22.36B
2020-10,$19.9B
2020-11,$21.46B
2020-12,$22.79B
2021-01,$21.95B
2021-02,$25.46B
2021-03,$26.66B
2021-04,$25.02B
2021-05,$25.24B
2021-06,$27.23B
2021-07,$25.33B
2021-08,$24.79B
2021-09,$23.97B
2021-10,$24.53B
2021-11,$23.53B
2021-12,$23.93B
