timeline,西日本旅客鉄道株式会社
2001-01,$8.8B
2001-02,$8.9B
2001-03,$9.45B
2001-04,$10.49B
2001-05,$10.6B
2001-06,$11.92B
2001-07,$11.02B
2001-08,$11.48B
2001-09,$11.46B
2001-10,$11.83B
2001-11,$9.52B
2001-12,$10.33B
2002-01,$9.24B
2002-02,$8.32B
2002-03,$8.8B
2002-04,$8.76B
2002-05,$9.84B
2002-06,$8.53B
2002-07,$8.08B
2002-08,$7.65B
2002-09,$7.83B
2002-10,$7.0B
2002-11,$7.65B
2002-12,$7.42B
2003-01,$6.82B
2003-02,$6.75B
2003-03,$6.61B
2003-04,$6.56B
2003-05,$7.6B
2003-06,$8.02B
2003-07,$7.65B
2003-08,$7.14B
2003-09,$7.56B
2003-10,$7.21B
2003-11,$7.32B
2003-12,$7.42B
2004-01,$7.46B
2004-02,$7.0B
2004-03,$7.35B
2004-04,$7.56B
2004-05,$7.47B
2004-06,$7.75B
2004-07,$7.86B
2004-08,$7.98B
2004-09,$7.58B
2004-10,$7.46B
2004-11,$7.4B
2004-12,$7.3B
2005-01,$7.21B
2005-02,$7.26B
2005-03,$7.7B
2005-04,$6.87B
2005-05,$6.54B
2005-06,$6.7B
2005-07,$6.63B
2005-08,$6.98B
2005-09,$7.56B
2005-10,$7.26B
2005-11,$8.09B
2005-12,$8.67B
2006-01,$8.51B
2006-02,$8.32B
2006-03,$8.76B
2006-04,$8.92B
2006-05,$8.37B
2006-07,$8.44B
2006-08,$8.83B
2006-09,$8.9B
2006-10,$8.81B
2006-11,$9.32B
2006-12,$8.97B
2007-01,$9.48B
2007-02,$9.87B
2007-03,$9.59B
2007-04,$9.57B
2007-05,$9.98B
2007-06,$10.12B
2007-07,$9.5B
2007-08,$9.85B
2007-09,$9.66B
2007-10,$10.13B
2007-11,$9.57B
2007-12,$9.78B
2008-01,$9.06B
2008-02,$8.42B
2008-03,$7.65B
2008-04,$7.84B
2008-05,$8.63B
2008-06,$9.1B
2008-07,$8.95B
2008-08,$9.24B
2008-09,$7.9B
2008-10,$7.49B
2008-11,$7.41B
2008-12,$7.15B
2009-01,$6.43B
2009-02,$6.08B
2009-03,$5.33B
2009-04,$5.16B
2009-05,$5.33B
2009-06,$5.45B
2009-07,$5.16B
2009-08,$5.5B
2009-09,$5.8B
2009-10,$5.48B
2009-12,$5.33B
2010-01,$5.32B
2010-02,$5.34B
2010-03,$5.5B
2010-04,$5.84B
2010-05,$5.56B
2010-06,$5.55B
2010-07,$5.46B
2010-08,$5.33B
2010-09,$5.11B
2010-10,$5.1B
2010-11,$5.01B
2010-12,$5.18B
2011-01,$5.34B
2011-02,$5.79B
2011-03,$5.48B
2011-04,$5.01B
2011-05,$5.3B
2011-06,$5.36B
2011-07,$5.59B
2011-09,$5.85B
2011-10,$5.87B
2011-11,$5.61B
2011-12,$5.9B
2012-01,$5.69B
2012-02,$5.84B
2012-03,$5.68B
2012-04,$5.61B
2012-05,$5.25B
2012-06,$5.6B
2012-07,$5.78B
2012-08,$5.85B
2012-09,$5.69B
2012-10,$5.95B
2012-11,$5.63B
2012-12,$5.75B
2013-01,$6.11B
2013-02,$6.93B
2013-03,$7.64B
2013-04,$8.04B
2013-05,$7.21B
2013-06,$7.19B
2013-07,$7.07B
2013-08,$6.93B
2013-09,$7.18B
2013-10,$7.5B
2013-11,$7.65B
2013-12,$7.6B
2014-01,$7.05B
2014-02,$6.95B
2014-03,$7.19B
2014-04,$7.07B
2014-05,$7.39B
2014-06,$7.61B
2014-07,$8.02B
2014-08,$8.4B
2014-09,$8.38B
2014-10,$9.04B
2014-11,$9.67B
2014-12,$9.75B
2015-01,$10.38B
2015-02,$11.64B
2015-03,$10.76B
2015-04,$11.34B
2015-05,$12.61B
2015-06,$13.37B
2015-07,$15.21B
2015-08,$13.98B
2015-09,$12.77B
2015-10,$14.56B
2015-11,$13.27B
2015-12,$14.33B
2016-01,$13.21B
2016-02,$11.28B
2016-03,$11.86B
2016-04,$11.4B
2016-05,$11.84B
2016-06,$11.04B
2016-07,$10.93B
2016-08,$10.11B
2016-09,$10.65B
2016-10,$11.05B
2016-11,$11.87B
2016-12,$12.24B
2017-01,$12.56B
2017-02,$12.69B
2017-03,$12.36B
2017-04,$12.71B
2017-05,$13.12B
2017-06,$13.55B
2017-07,$13.52B
2017-08,$13.64B
2017-09,$13.35B
2017-10,$13.61B
2017-11,$14.09B
2017-12,$14.04B
2018-01,$13.96B
2018-02,$12.7B
2018-03,$12.68B
2018-04,$13.24B
2018-05,$13.37B
2018-06,$13.94B
2018-07,$13.24B
2018-08,$12.65B
2018-09,$13.44B
2018-10,$12.86B
2018-11,$13.42B
2018-12,$13.17B
2019-01,$13.47B
2019-02,$14.24B
2019-03,$14.15B
2019-04,$14.02B
2019-05,$14.4B
2019-06,$14.77B
2019-07,$15.08B
2019-08,$15.12B
2019-09,$15.4B
2019-10,$15.89B
2019-11,$16.26B
2019-12,$15.93B
2020-01,$15.64B
2020-02,$12.85B
2020-03,$12.47B
2020-04,$11.24B
2020-05,$11.72B
2020-06,$10.19B
2020-07,$8.38B
2020-08,$8.59B
2020-09,$9.33B
2020-10,$7.99B
2020-11,$8.63B
2020-12,$8.97B
2021-01,$9.04B
2021-02,$10.89B
2021-03,$10.86B
2021-04,$9.93B
2021-05,$10.46B
2021-06,$11.25B
2021-07,$10.11B
2021-08,$10.14B
2021-09,$8.96B
2021-10,$9.18B
2021-11,$9.82B
2021-12,$10.88B
