timeline,阪急阪神ホールディングス株式会社
2006-03,$6.31B
2006-04,$6.24B
2006-05,$5.39B
2006-06,$5.18B
2006-07,$4.94B
2006-08,$5.81B
2006-09,$6.85B
2006-10,$6.49B
2006-11,$6.67B
2006-12,$6.29B
2007-01,$6.47B
2007-02,$7.33B
2007-03,$6.59B
2007-04,$6.32B
2007-05,$6.45B
2007-06,$6.02B
2007-07,$5.56B
2007-08,$5.44B
2007-09,$5.43B
2007-10,$4.99B
2007-11,$4.76B
2007-12,$4.47B
2008-01,$4.56B
2008-02,$4.3B
2008-03,$3.99B
2008-04,$4.35B
2008-05,$4.23B
2009-03,$4.97B
2009-04,$5.13B
2009-05,$5.2B
2009-06,$5.03B
2009-07,$4.85B
2009-08,$4.96B
2009-09,$4.78B
2009-10,$4.51B
2009-11,$4.46B
2009-12,$4.61B
2010-01,$4.64B
2010-02,$4.75B
2010-03,$4.82B
2010-04,$4.87B
2010-05,$4.48B
2010-06,$4.36B
2010-07,$4.35B
2010-08,$4.29B
2010-09,$4.46B
2010-10,$4.3B
2010-11,$4.23B
2010-12,$4.2B
2011-01,$4.23B
2011-02,$4.39B
2011-03,$4.27B
2011-04,$3.99B
2011-05,$3.4B
2011-06,$3.54B
2011-07,$3.45B
2011-08,$3.5B
2011-09,$3.7B
2011-11,$3.48B
2011-12,$3.61B
2012-01,$3.81B
2012-02,$3.83B
2012-03,$4.02B
2012-04,$4.18B
2012-05,$4.26B
2012-06,$4.51B
2012-07,$4.68B
2012-08,$4.95B
2012-09,$4.69B
2012-10,$4.92B
2012-11,$4.84B
2012-12,$4.96B
2013-01,$5.55B
2013-02,$5.66B
2013-03,$6.33B
2013-04,$7.01B
2013-05,$6.01B
2013-06,$6.28B
2013-07,$6.24B
2013-08,$5.91B
2013-09,$6.06B
2013-10,$6.12B
2013-11,$6.28B
2013-12,$6.32B
2014-01,$5.81B
2014-02,$6.21B
2014-03,$6.25B
2014-04,$6.23B
2014-05,$6.28B
2014-06,$6.43B
2014-07,$6.7B
2014-08,$6.81B
2014-09,$7.1B
2014-10,$7.24B
2014-11,$7.26B
2014-12,$7.21B
2015-01,$7.3B
2015-02,$8.42B
2015-03,$8.26B
2015-04,$8.05B
2015-05,$8.31B
2015-06,$8.04B
2015-07,$8.72B
2015-08,$8.1B
2015-09,$8.12B
2015-10,$8.8B
2015-11,$8.76B
2015-12,$8.77B
2016-01,$8.28B
2016-02,$8.04B
2016-03,$7.95B
2016-04,$7.7B
2016-05,$8.43B
2016-06,$8.44B
2016-07,$8.49B
2016-08,$7.4B
2016-09,$7.69B
2016-10,$7.71B
2016-11,$8.01B
2016-12,$8.31B
2017-01,$8.49B
2017-02,$8.33B
2017-03,$7.98B
2017-04,$8.11B
2017-05,$8.78B
2017-06,$8.89B
2017-07,$8.63B
2017-08,$9.19B
2017-09,$9.36B
2017-10,$9.66B
2017-11,$9.54B
2017-12,$9.93B
2018-01,$9.64B
2018-02,$8.77B
2018-03,$8.65B
2018-04,$9.4B
2018-05,$9.84B
2018-06,$9.71B
2018-07,$9.66B
2018-08,$8.61B
2018-09,$8.75B
2018-10,$8.08B
2018-11,$8.36B
2018-12,$7.93B
2019-01,$8.43B
2019-02,$8.78B
2019-03,$9.02B
2019-04,$8.96B
2019-05,$8.49B
2019-06,$8.38B
2019-07,$8.29B
2019-08,$8.72B
2019-09,$8.96B
2019-10,$9.35B
2019-11,$10.11B
2019-12,$10.06B
2020-01,$9.61B
2020-02,$7.63B
2020-03,$7.77B
2020-04,$7.91B
2020-05,$8.5B
2020-06,$7.84B
2020-07,$6.99B
2020-08,$7.18B
2020-09,$7.46B
2020-10,$6.99B
2020-11,$7.65B
2020-12,$7.35B
2021-01,$7.25B
2021-02,$7.77B
2021-03,$7.83B
2021-04,$7.35B
2021-05,$7.32B
2021-06,$7.61B
2021-07,$7.1B
2021-08,$7.22B
2021-09,$7.62B
2021-10,$7.36B
2021-11,$7.58B
2021-12,$7.3B
