timeline,名古屋鉄道株式会社
2006-03,$3.45B
2006-04,$3.25B
2006-05,$2.93B
2006-06,$2.89B
2006-07,$2.93B
2006-08,$3.03B
2006-09,$2.96B
2006-10,$2.83B
2006-12,$2.75B
2007-01,$2.86B
2007-02,$3.07B
2007-03,$2.81B
2007-04,$2.83B
2007-05,$2.8B
2007-06,$2.79B
2007-07,$2.72B
2007-08,$2.62B
2007-09,$2.61B
2007-10,$2.63B
2007-11,$2.52B
2007-12,$2.5B
2008-01,$2.54B
2008-02,$2.58B
2008-03,$2.51B
2008-04,$2.58B
2008-05,$2.22B
2008-06,$2.31B
2008-07,$2.38B
2008-08,$2.37B
2008-09,$2.34B
2008-10,$2.36B
2008-11,$2.28B
2008-12,$2.23B
2009-01,$2.15B
2009-02,$2.19B
2009-03,$2.27B
2009-04,$2.31B
2009-05,$2.33B
2009-06,$2.4B
2009-07,$2.44B
2009-08,$2.47B
2009-09,$2.34B
2009-10,$2.13B
2009-11,$2.16B
2009-12,$2.09B
2010-01,$2.06B
2010-02,$2.07B
2010-03,$2.08B
2010-04,$2.03B
2010-05,$1.93B
2010-06,$1.98B
2010-07,$1.99B
2010-08,$1.96B
2010-09,$1.91B
2010-10,$1.71B
2011-02,$1.74B
2011-03,$1.75B
2011-04,$1.65B
2011-05,$1.62B
2011-06,$1.59B
2011-08,$1.67B
2011-09,$1.75B
2011-10,$1.59B
2011-11,$1.61B
2012-01,$1.7B
2012-02,$1.71B
2012-03,$1.77B
2012-04,$1.66B
2012-05,$1.61B
2012-06,$1.7B
2012-07,$1.64B
2012-08,$1.7B
2012-09,$1.65B
2012-10,$1.69B
2012-11,$1.71B
2012-12,$1.78B
2013-01,$1.93B
2013-02,$2.21B
2013-03,$2.3B
2013-04,$2.34B
2013-05,$2.07B
2013-06,$2.16B
2013-07,$2.12B
2013-08,$2.13B
2013-09,$2.23B
2013-10,$2.21B
2013-11,$2.23B
2013-12,$2.35B
2014-01,$2.37B
2014-02,$2.4B
2014-03,$2.43B
2014-04,$2.54B
2014-05,$2.81B
2014-06,$3.18B
2014-07,$3.41B
2014-08,$3.4B
2014-09,$3.5B
2014-10,$3.77B
2014-11,$3.68B
2014-12,$3.63B
2015-01,$3.75B
2015-02,$4.1B
2015-03,$3.89B
2015-04,$3.84B
2015-05,$3.82B
2015-06,$3.71B
2015-07,$3.78B
2015-08,$3.92B
2015-09,$3.8B
2015-10,$4.07B
2015-11,$4.02B
2015-12,$4.1B
2016-01,$4.43B
2016-02,$4.38B
2016-03,$4.27B
2016-04,$4.48B
2016-05,$4.53B
2016-06,$4.68B
2016-07,$4.69B
2016-08,$4.11B
2016-09,$4.45B
2016-10,$4.49B
2016-11,$4.55B
2016-12,$4.58B
2017-01,$4.51B
2017-02,$4.18B
2017-03,$4.06B
2017-04,$4.15B
2017-05,$4.19B
2017-06,$4.25B
2017-07,$4.1B
2017-08,$3.99B
2017-09,$3.93B
2017-10,$4.13B
2017-11,$4.44B
2017-12,$4.6B
2018-01,$4.7B
2018-02,$4.53B
2018-03,$4.47B
2018-04,$4.82B
2018-05,$4.7B
2018-06,$4.81B
2018-07,$4.74B
2018-08,$4.28B
2018-09,$4.76B
2018-10,$4.61B
2018-11,$4.81B
2018-12,$4.89B
2019-01,$4.87B
2019-02,$5.18B
2019-04,$5.21B
2019-05,$5.19B
2019-06,$5.17B
2019-07,$5.21B
2019-08,$5.49B
2019-09,$5.6B
2019-10,$5.98B
2019-11,$6.05B
2019-12,$5.88B
2020-01,$5.58B
2020-02,$4.95B
2020-03,$5.26B
2020-05,$5.48B
2020-06,$5.45B
2020-07,$4.85B
2020-08,$5.08B
2020-09,$5.06B
2020-10,$4.79B
2020-11,$5.23B
2020-12,$4.68B
2021-01,$4.67B
2021-02,$4.79B
2021-03,$4.79B
2021-04,$4.39B
2021-05,$3.8B
2021-06,$3.77B
2021-07,$3.36B
2021-08,$3.35B
2021-09,$3.57B
2021-10,$3.39B
2021-11,$3.24B
2021-12,$2.98B
